"","cluster","Oligo","OPC","oligo_ratio","cell_type","n","cluster_anno"
"1","18",2,4443,0.000450146297546703,"OPC",4445,"multi_OPC.1"
"2","22",2,2974,0.000672494956287828,"OPC",2976,"multi_OPC.2"
"3","10",0,2722,0,"OPC",2722,"multi_OPC.3"
"4","17",12,2026,0.00592300098716683,"OPC",2038,"multi_OPC.4"
"5","29",25,1840,0.0135869565217391,"OPC",1865,"multi_OPC.5"
"6","23",156,1219,0.127973748974569,"OPC",1375,"multi_OPC.6"
"7","11",0,1059,0,"OPC",1059,"multi_OPC.7"
"8","20",0,643,0,"OPC",643,"multi_OPC.8"
"9","27",0,577,0,"OPC",577,"multi_OPC.9"
"10","30",0,499,0,"OPC",499,"multi_OPC.10"
"11","37",0,426,0,"OPC",426,"multi_OPC.11"
"12","28",0,142,0,"OPC",142,"multi_OPC.12"
"13","14",0,116,0,"OPC",116,"multi_OPC.13"
"14","3",18,80,0.225,"OPC",98,"multi_OPC.14"
"15","26",26,63,0.412698412698413,"OPC",89,"multi_OPC.15"
"16","21",31,35,0.885714285714286,"OPC",66,"multi_OPC.16"
"17","36",4,54,0.0740740740740741,"OPC",58,"multi_OPC.17"
"18","31",0,53,0,"OPC",53,"multi_OPC.18"
"19","2",22462,0,Inf,"Oligo",22462,"multi_Oligo.1"
"20","12",19760,0,Inf,"Oligo",19760,"multi_Oligo.2"
"21","8",14321,13,1101.61538461538,"Oligo",14334,"multi_Oligo.3"
"22","5",6627,0,Inf,"Oligo",6627,"multi_Oligo.4"
"23","7",2625,8,328.125,"Oligo",2633,"multi_Oligo.5"
"24","24",2533,0,Inf,"Oligo",2533,"multi_Oligo.6"
"25","15",1737,130,13.3615384615385,"Oligo",1867,"multi_Oligo.7"
"26","38",653,0,Inf,"Oligo",653,"multi_Oligo.8"
"27","1",623,4,155.75,"Oligo",627,"multi_Oligo.9"
"28","16",565,2,282.5,"Oligo",567,"multi_Oligo.10"
"29","19",472,4,118,"Oligo",476,"multi_Oligo.11"
"30","4",343,1,343,"Oligo",344,"multi_Oligo.12"
"31","35",323,0,Inf,"Oligo",323,"multi_Oligo.13"
"32","9",300,6,50,"Oligo",306,"multi_Oligo.14"
"33","13",263,0,Inf,"Oligo",263,"multi_Oligo.15"
"34","43",261,0,Inf,"Oligo",261,"multi_Oligo.16"
"35","33",205,20,10.25,"Oligo",225,"multi_Oligo.17"
"36","6",190,0,Inf,"Oligo",190,"multi_Oligo.18"
"37","39",120,18,6.66666666666667,"Oligo",138,"multi_Oligo.19"
"38","41",132,3,44,"Oligo",135,"multi_Oligo.20"
"39","42",121,0,Inf,"Oligo",121,"multi_Oligo.21"
"40","32",103,3,34.3333333333333,"Oligo",106,"multi_Oligo.22"
"41","40",88,14,6.28571428571429,"Oligo",102,"multi_Oligo.23"
"42","25",84,1,84,"Oligo",85,"multi_Oligo.24"
"43","34",31,2,15.5,"Oligo",33,"multi_Oligo.25"
