gene_id,gene_name,n_sig_hits,n_sig_up,n_sig_down,consistent_sig_direction,sig_cell_types,sig_vSpDs,n_xenium_contexts,xenium_contexts,xenium_cell_types,n_xenium_up,n_xenium_down,xenium_direction,xenium_validated,discovery_direction,direction_agrees
ENSG00000221890,NPTXR,6,6,0,TRUE,sn_broad__Astro (up); sn_broad__Excit (up); sn_broad__Oligo (up); sn_fine__Astro.1 (up); sn_fine__Oligo.3 (up),vL5a (up),3,cell_type; Oligo.3_Nbr; xSpD,Astro.1; Oligo.3,20,0,up,TRUE,up,TRUE
ENSG00000010278,CD9,4,0,4,TRUE,sn_fine__Oligo.3 (down),vL5a (down); vL6 (down); vWMuf (down),0,NA,NA,NA,NA,NA,FALSE,down,FALSE
ENSG00000123560,PLP1,4,0,4,TRUE,sn_broad__Inhib (down); sn_fine__Astro.3 (down); sn_fine__Inhib.VIP (down); sn_fine__Oligo.3 (down),,0,NA,NA,NA,NA,NA,FALSE,down,FALSE
ENSG00000144290,SLC4A10,4,4,0,TRUE,sn_broad__Astro (up); sn_fine__Astro.2 (up); sn_fine__Micro.4 (up); sn_fine__Oligo.3 (up),,0,NA,NA,NA,NA,NA,FALSE,up,FALSE
ENSG00000150656,CNDP1,4,0,4,TRUE,sn_fine__Astro.3 (down); sn_fine__Inhib.VIP (down); sn_fine__Oligo.3 (down),vWMuf (down),3,cell_type; Oligo.3_Nbr; xSpD,Inhib.VIP; Oligo.3,0,19,down,TRUE,down,TRUE
ENSG00000253877,LINC01608,4,0,4,TRUE,sn_broad__Inhib (down); sn_fine__Astro.3 (down); sn_fine__Inhib.VIP (down); sn_fine__Oligo.3 (down),,0,NA,NA,NA,NA,NA,FALSE,down,FALSE
ENSG00000278662,GOLGA6L10,4,0,4,TRUE,sn_broad__Astro (down); sn_broad__Excit (down); sn_broad__Inhib (down); sn_fine__Astro.1 (down),,0,NA,NA,NA,NA,NA,FALSE,down,FALSE
ENSG00000186469,GNG2,4,2,2,FALSE,sn_broad__Macro (down); sn_fine__Macro (down); sn_fine__Oligo.3 (up); sn_fine__Oligo.5 (up),,0,NA,NA,NA,NA,NA,FALSE,NA,FALSE
ENSG00000028137,TNFRSF1B,3,3,0,TRUE,sn_broad__Macro (up); sn_fine__Macro (up); sn_fine__Oligo.3 (up),,0,NA,NA,NA,NA,NA,FALSE,up,FALSE
ENSG00000033327,GAB2,3,0,3,TRUE,sn_broad__Excit (down); sn_fine__Excit.L2_5.mix (down); sn_fine__Oligo.3 (down),,0,NA,NA,NA,NA,NA,FALSE,down,FALSE
ENSG00000066322,ELOVL1,3,0,3,TRUE,sn_fine__Oligo.3 (down),vVasc (down); vWMuf (down),0,NA,NA,NA,NA,NA,FALSE,down,FALSE
ENSG00000078018,MAP2,3,3,0,TRUE,sn_fine__Oligo.3 (up),vL5a (up); vWMuf (up),0,NA,NA,NA,NA,NA,FALSE,up,FALSE
ENSG00000080573,COL5A3,3,3,0,TRUE,sn_broad__Oligo (up); sn_fine__Oligo.3 (up),vL5a (up),0,NA,NA,NA,NA,NA,FALSE,up,FALSE
ENSG00000086205,FOLH1,3,0,3,TRUE,sn_broad__Astro (down); sn_broad__Excit (down); sn_fine__Oligo.3 (down),,0,NA,NA,NA,NA,NA,FALSE,down,FALSE
