"","SpD","deg-1","deg0","degNA","deg1","mod","deg_total"
"82","Inhib~Sp09D09",NA,11322,19172,0,"APOE_i",0
"83","L1~Sp09D05",NA,10830,19664,0,"APOE_i",0
"84","L2.3~Sp09D01",NA,12690,17804,0,"APOE_i",0
"85","L5~Sp09D03",NA,13076,17418,0,"APOE_i",0
"86","L6~Sp09D04",NA,13231,17263,0,"APOE_i",0
"87","LD~Sp09D02",NA,14318,16175,1,"APOE_i",1
"88","Vasc~Sp09D08",NA,7217,23277,0,"APOE_i",0
"89","WM.uf~Sp09D07",NA,2321,28173,0,"APOE_i",0
"90","WM~Sp09D06",NA,9247,21245,2,"APOE_i",2
"91","Inhib~Sp09D09",NA,11322,19172,NA,"APOE_ni0",0
"92","L1~Sp09D05",NA,10830,19664,NA,"APOE_ni0",0
"93","L2.3~Sp09D01",NA,12690,17804,NA,"APOE_ni0",0
"94","L5~Sp09D03",NA,13076,17418,NA,"APOE_ni0",0
"95","L6~Sp09D04",NA,13231,17263,NA,"APOE_ni0",0
"96","LD~Sp09D02",NA,14319,16175,NA,"APOE_ni0",0
"97","Vasc~Sp09D08",NA,7217,23277,NA,"APOE_ni0",0
"98","WM.uf~Sp09D07",NA,2321,28173,NA,"APOE_ni0",0
"99","WM~Sp09D06",NA,9249,21245,NA,"APOE_ni0",0
"100","Inhib~Sp09D09",NA,11322,19172,NA,"APOE_ni1",0
"101","L1~Sp09D05",NA,10830,19664,NA,"APOE_ni1",0
"102","L2.3~Sp09D01",NA,12690,17804,NA,"APOE_ni1",0
"103","L5~Sp09D03",NA,13076,17418,NA,"APOE_ni1",0
"104","L6~Sp09D04",NA,13231,17263,NA,"APOE_ni1",0
"105","LD~Sp09D02",NA,14319,16175,NA,"APOE_ni1",0
"106","Vasc~Sp09D08",NA,7217,23277,NA,"APOE_ni1",0
"107","WM.uf~Sp09D07",NA,2321,28173,NA,"APOE_ni1",0
"108","WM~Sp09D06",NA,9249,21245,NA,"APOE_ni1",0
"109","Inhib~Sp09D09",NA,11322,19172,NA,"E4E4",0
"110","L1~Sp09D05",NA,10830,19664,NA,"E4E4",0
"111","L2.3~Sp09D01",NA,12690,17804,NA,"E4E4",0
"112","L5~Sp09D03",NA,13076,17418,NA,"E4E4",0
"113","L6~Sp09D04",NA,13231,17263,NA,"E4E4",0
"114","LD~Sp09D02",NA,14319,16175,NA,"E4E4",0
"115","Vasc~Sp09D08",NA,7217,23277,NA,"E4E4",0
"116","WM.uf~Sp09D07",NA,2321,28173,NA,"E4E4",0
"117","WM~Sp09D06",NA,9249,21245,NA,"E4E4",0
"118","Inhib~Sp09D09",NA,11322,19172,NA,"E4E4_i",0
"119","L1~Sp09D05",NA,10830,19664,NA,"E4E4_i",0
"120","L2.3~Sp09D01",NA,12690,17804,NA,"E4E4_i",0
