"","SpD","deg-1","deg0","deg1","degNA","mod","pair","deg_total"
"1","Inhib~Sp09D09",6,10527,7,19954,"APOE","E3/E4-E4/E4",13
"2","L1~Sp09D05",0,10432,0,20062,"APOE","E3/E4-E4/E4",0
"3","L2.3~Sp09D01",63,12111,30,18290,"APOE","E3/E4-E4/E4",93
"4","L5~Sp09D03",14,12250,8,18222,"APOE","E3/E4-E4/E4",22
"5","L6~Sp09D04",40,12423,21,18010,"APOE","E3/E4-E4/E4",61
"6","LD~Sp09D02",6,13528,7,16953,"APOE","E3/E4-E4/E4",13
"7","Vasc~Sp09D08",0,5597,0,24897,"APOE","E3/E4-E4/E4",0
"8","WM.uf~Sp09D07",0,1867,0,28627,"APOE","E3/E4-E4/E4",0
"9","WM~Sp09D06",2,7765,0,22727,"APOE","E3/E4-E4/E4",2
"10","Inhib~Sp09D09",2,9266,2,21224,"APOE","E2/E2-E3/E4",4
"11","L1~Sp09D05",0,10483,0,20011,"APOE","E2/E2-E3/E4",0
"12","L2.3~Sp09D01",2,11026,3,19463,"APOE","E2/E2-E3/E4",5
"13","L5~Sp09D03",5,11522,1,18966,"APOE","E2/E2-E3/E4",6
"14","L6~Sp09D04",0,11685,0,18809,"APOE","E2/E2-E3/E4",0
"15","LD~Sp09D02",0,13199,0,17295,"APOE","E2/E2-E3/E4",0
"16","Vasc~Sp09D08",1,5998,1,24494,"APOE","E2/E2-E3/E4",2
"17","WM.uf~Sp09D07",2,2250,2,28240,"APOE","E2/E2-E3/E4",4
"18","WM~Sp09D06",0,7940,0,22554,"APOE","E2/E2-E3/E4",0
"19","Inhib~Sp09D09",8,10596,19,19871,"APOE","E2/E3-E3/E4",27
"20","L1~Sp09D05",0,9665,0,20829,"APOE","E2/E3-E3/E4",0
"21","L2.3~Sp09D01",0,12173,0,18321,"APOE","E2/E3-E3/E4",0
"22","L5~Sp09D03",0,12799,0,17695,"APOE","E2/E3-E3/E4",0
"23","L6~Sp09D04",14,12173,49,18258,"APOE","E2/E3-E3/E4",63
"24","LD~Sp09D02",19,13490,26,16959,"APOE","E2/E3-E3/E4",45
"25","Vasc~Sp09D08",1,5780,0,24713,"APOE","E2/E3-E3/E4",1
"26","WM.uf~Sp09D07",23,1579,3,28889,"APOE","E2/E3-E3/E4",26
"27","WM~Sp09D06",0,7285,0,23209,"APOE","E2/E3-E3/E4",0
