cellType,MeanRatio_Oligo,Enrichment_Oligo,MeanRatio_OligoOPC,Enrichment_OligoOPC,multiHit
Oligo.1,"OPALIN,SEMA6D,FIGN,LRP6,ABCG1,LINC01608,PPP3CA,LINC03048,ANO4,TNIK","ERBB4,GOLGA7,EMC10,OPALIN,ANK3,SEMA6D,OMG,ENOX1,GPRC5B,PRKACB","OPALIN,LRP6,ABCG1,LINC01608,LINC03048,ANO4,PLXDC2,MAPT,QDPR,CCNH","EMC10,OMG,PRKACB,KBTBD3,SYT11,SAR1B,CDC42BPA,MARCHF1,NUP133,CLASP2","ABCG1,ANO4,EMC10,LINC01608,LINC03048,LRP6,OMG,OPALIN,PRKACB,SEMA6D"
Oligo.2,"ANKRD18A,LINC01877,ITGAV,ENSG00000258342,DPYSL5,PPP2R2C,SLC5A11,RASGRF2,CRYBG3,EEPD1","MTX2,LINC00609,ITGAV,ZDHHC14,RASGRF2,CEP170,CPXM2,KIF5C,S100B,ACTN2","ANKRD18A,LINC01877,ENSG00000258342,DPYSL5,PPP2R2C,SLC5A11,RASGRF2,CRYBG3,EEPD1,LRRC63","CEP170,KIF5C,ACTN2,CPXM2,MTX2,KCTD8,S100B,GAS2,LMCD1-AS1,LGR4","ACTN2,ANKRD18A,CEP170,CPXM2,CRYBG3,DPYSL5,EEPD1,ENSG00000258342,ITGAV,KIF5C,LINC01877,MTX2,PPP2R2C,RASGRF2,S100B,SLC5A11"
Oligo.3,"MT-CO3,CNTNAP2","GPM6A,KCNJ3,KCND2,LINGO2,NTRK3,ADGRV1,MYT1L,NR2F1-AS1,GRIK1,SLC1A2",MT-CO3,"LINGO2,SLC12A5,SYT1,AQP4,KCNC2,SRRM2,CAMKV,FBLN1,MGAT4C,ELAVL2","LINGO2,MT-CO3"
Oligo.5,ARHGEF3,"ARHGEF3,ADGRF5,PRKCH,ABCG2,ATP10A,ABCB1,FLI1,CLDN5,EPAS1,ST8SIA6",ARHGEF3,"ADGRF5,PRKCH,ATP10A,FLI1,CLDN5,ABCB1,ST8SIA6,MECOM,SLFN12L,ARHGEF3","ABCB1,ADGRF5,ARHGEF3,ATP10A,CLDN5,FLI1,PRKCH,ST8SIA6"
OPC,NA,NA,"ENSG00000286778,ENSG00000287550,GALR1,PLAAT1,ENSG00000278254,ENSG00000264015,STK32A,MYT1,SPRY4,COL9A1","LRRC4C,REV3L,NOVA1,CCDC50,DISC1,USP24,EPN2,OPHN1,NLGN4X,CASK",NA
