Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12
ENSG00000228794,LINC01128,27,0.66058,7,-1.4371,7,-1.3075,26,0.58137,22,0.34499,4,-2.1894,10,-0.9062,16,-0.1374,21,0.28506,34,1.04962,22,0.37457
ENSG00000188976,NOC2L,27,-0.5226,12,-1.6651,40,0.07307,54,0.55810,55,0.61011,51,0.46906,29,-0.4137,34,-0.1943,57,0.66596,25,-0.6333,36,-0.0725
ENSG00000188290,HES4,27,-1.4044,59,-0.2307,10,-2.7691,89,0.42879,58,-0.2346,23,-1.6239,88,0.40114,50,-0.5015,158,1.39029,113,0.82218,90,0.44971
ENSG00000187608,ISG15,27,-1.4745,45,-0.7224,32,-1.2223,161,1.34236,28,-1.4095,34,-1.1417,25,-1.5701,59,-0.3268,123,0.87576,102,0.57600,163,1.35876
ENSG00000188157,AGRN,27,-0.2268,48,0.67520,22,-0.4961,47,0.64507,23,-0.4322,15,-1.1308,28,-0.1488,25,-0.3563,37,0.26453,34,0.14859,42,0.47604
ENSG00000131591,C1orf159,27,1.21315,5,-1.3831,15,0.26868,11,-0.2421,16,0.39180,24,1.00530,10,-0.2787,9,-0.4630,8,-0.5991,9,-0.4936,7,-0.8635
ENSG00000078808,SDF4,27,-1.4014,88,0.40023,86,0.35989,72,0.07247,69,0.01384,82,0.27274,58,-0.2696,55,-0.3750,80,0.24868,84,0.32439,67,-0.0360
ENSG00000176022,B3GALT6,27,0.09292,13,-1.0312,16,-0.6469,42,0.80046,27,0.12960,8,-1.7458,35,0.49346,20,-0.3504,17,-0.6055,43,0.84776,35,0.50934
ENSG00000160087,UBE2J2,27,-0.3972,21,-0.7664,36,0.05865,50,0.56246,56,0.77189,12,-1.5428,30,-0.2016,25,-0.5257,39,0.19636,48,0.51478,46,0.45327
ENSG00000162572,SCNN1D,27,1.13072,12,-0.1533,12,-0.1951,10,-0.4342,11,-0.2173,18,0.43962,18,0.49188,8,-0.8212,20,0.65834,12,-0.1370,3,-1.9709
ENSG00000131584,ACAP3,324,2.36622,52,-0.7392,55,-0.6682,76,-0.1546,91,0.11043,70,-0.2986,45,-0.9749,51,-0.8452,57,-0.6145,50,-0.8062,93,0.14901
ENSG00000127054,INTS11,27,-0.8855,69,0.56523,54,0.18707,60,0.36247,61,0.37469,55,0.21926,32,-0.6328,33,-0.6273,46,-0.0737,50,0.04911,57,0.28091
ENSG00000224051,CPTP,27,0.13892,31,0.38373,12,-1.1183,36,0.62646,33,0.46971,6,-2.0336,13,-0.9670,22,-0.1776,30,0.30458,23,-0.1144,39,0.75558
ENSG00000107404,DVL1,27,-1.0873,45,-0.3081,53,-0.0706,45,-0.3126,40,-0.4832,53,-0.0687,76,0.50940,71,0.45313,66,0.27890,57,0.05216,57,0.06539
ENSG00000175756,AURKAIP1,27,-2.6831,204,0.35781,177,0.13040,190,0.24708,161,-0.0148,192,0.26279,188,0.22974,152,-0.1195,138,-0.2560,213,0.42751,159,-0.0363
ENSG00000221978,CCNL2,27,-0.8491,49,0.07511,54,0.23320,63,0.46070,49,0.07335,48,0.04978,29,-0.7274,38,-0.3407,57,0.31183,49,0.06415,60,0.39664
ENSG00000224870,MRPL20-AS1,27,1.40893,17,0.65341,11,-0.0971,10,-0.1993,10,-0.1097,10,-0.1842,8,-0.5448,6,-0.8885,1,-2.6683,21,0.96470,7,-0.6156
ENSG00000242485,MRPL20,27,-2.8085,166,-0.1042,209,0.26236,188,0.09659,202,0.20865,192,0.12345,249,0.54107,171,-0.0583,148,-0.2802,237,0.46056,167,-0.0970
ENSG00000235098,ANKRD65,355,3.57425,17,-1.8050,73,0.41579,25,-1.2006,20,-1.5466,21,-1.4619,15,-1.9241,26,-1.2663,45,-0.3487,23,-1.3676,31,-0.9276
ENSG00000179403,VWA1,52,-0.6882,104,0.40759,390,2.87728,14,-2.5491,37,-1.1841,138,0.86897,94,0.23882,41,-1.1227,10,-3.0021,26,-1.6891,22,-1.9672
ENSG00000197785,ATAD3A,27,0.83409,10,-0.6980,13,-0.2965,16,0.05511,32,1.15347,16,-0.0284,19,0.29965,5,-1.7976,12,-0.3570,17,0.11577,17,0.14309
ENSG00000205090,TMEM240,27,0.00485,18,-0.5716,6,-2.1023,38,0.54546,35,0.40924,22,-0.2790,17,-0.7271,30,0.17435,22,-0.2720,41,0.67721,36,0.44827
ENSG00000160075,SSU72,27,-2.3246,81,-0.6984,103,-0.3332,203,0.74997,141,0.15868,163,0.39620,103,-0.3206,138,0.14596,115,-0.1590,151,0.26886,164,0.40095
ENSG00000228594,FNDC10,27,0.14980,7,-1.9092,5,-2.2225,29,0.28136,18,-0.4735,3,-2.9431,12,-1.0794,22,-0.1554,34,0.53199,49,1.14424,64,1.60007
ENSG00000272106,AL691432.2,27,0.39607,22,0.10962,19,-0.1441,17,-0.3058,31,0.65361,14,-0.5915,29,0.50179,16,-0.4249,18,-0.2119,13,-0.7574,28,0.44011
ENSG00000197530,MIB2,27,-0.4020,31,-0.1859,20,-0.8078,31,-0.1625,36,0.06805,71,1.14484,45,0.41870,29,-0.3067,31,-0.1733,27,-0.4136,41,0.23637
ENSG00000189339,SLC35E2B,27,-0.1021,30,0.08251,16,-0.8642,28,-0.0144,30,0.07182,25,-0.2294,35,0.29980,24,-0.2665,25,-0.2089,44,0.69593,35,0.29445
ENSG00000215790,SLC35E2A,27,0.24151,13,-0.8078,19,-0.2806,33,0.59355,17,-0.4777,15,-0.6204,14,-0.7259,24,0.08121,22,-0.0311,31,0.45996,35,0.67363
ENSG00000008130,NADK,27,0.14471,37,0.67109,19,-0.4137,27,0.14477,30,0.31866,26,0.09765,27,0.14712,21,-0.2588,12,-1.0829,21,-0.2155,26,0.08780
ENSG00000078369,GNB1,28,-3.7388,230,-0.6309,266,-0.4054,459,0.45214,466,0.47809,270,-0.3842,327,-0.0862,349,0.02009,427,0.33833,448,0.41604,525,0.67410
ENSG00000187730,GABRD,27,-1.4710,5,-3.7480,2,-5.1514,133,1.01737,141,1.11531,47,-0.6408,37,-0.9852,65,-0.1630,76,0.09810,152,1.24480,105,0.61927
ENSG00000067606,PRKCZ,27,-2.5349,53,-1.5429,87,-0.8010,217,0.62880,228,0.70374,109,-0.4675,164,0.17497,169,0.24794,200,0.48868,166,0.19676,173,0.26231
ENSG00000162585,FAAP20,27,-1.1214,66,0.25688,73,0.41408,50,-0.1869,39,-0.5699,51,-0.1478,51,-0.1549,69,0.35388,61,0.12531,60,0.10837,59,0.08331
ENSG00000157933,SKI,56,0.98467,36,0.26267,32,0.05390,20,-0.6223,13,-1.2904,17,-0.8909,28,-0.1076,38,0.39609,32,0.09127,29,-0.0600,26,-0.2730
ENSG00000157916,RER1,27,-1.3639,70,0.09017,100,0.65877,86,0.40662,78,0.25131,67,0.01767,76,0.22307,52,-0.4118,53,-0.3388,61,-0.1391,74,0.16928
ENSG00000157911,PEX10,27,-0.1963,46,0.64173,49,0.76809,33,0.10389,24,-0.3356,10,-1.7022,39,0.37170,24,-0.4200,38,0.35954,28,-0.1566,25,-0.2794
ENSG00000149527,PLCH2,27,0.63386,13,-0.4467,28,0.68939,29,0.75549,3,-2.6669,16,-0.1814,0,-7.8028,14,-0.4101,11,-0.7710,18,0.04734,43,1.43162
ENSG00000157881,PANK4,27,0.76528,8,-1.0118,7,-1.1559,29,0.89596,33,1.09521,2,-2.7082,3,-2.5119,13,-0.3648,15,-0.1004,27,0.78040,20,0.28040
ENSG00000157870,PRXL2B,27,-0.5637,27,-0.5529,13,-1.6130,54,0.52711,59,0.67983,23,-0.7690,43,0.17924,48,0.38436,42,0.10984,37,-0.0569,42,0.14271
ENSG00000177133,PRDM16-DT,27,0.58335,21,0.16538,1,-3.8345,8,-1.3006,0,-4.6616,7,-1.4267,42,1.31427,23,0.38772,30,0.75254,17,-0.1692,25,0.44293
