Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to4,Feature log2 fold change topic 2to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000188976,NOC2L,17,-2.2245,124,1.31329,38,-1.0353,61,-0.4931
ENSG00000188290,HES4,754,3.06113,78,-1.4005,44,-2.0092,110,-0.9000
ENSG00000187608,ISG15,1,-5.3510,37,-0.6259,78,0.69650,67,0.81002
ENSG00000078808,SDF4,185,0.91206,91,-0.3437,88,-0.3319,106,-0.0459
ENSG00000160087,UBE2J2,26,-1.4615,98,0.90342,33,-1.0935,63,-0.1557
ENSG00000131584,ACAP3,108,-0.6295,252,1.11939,135,-0.2845,113,-0.8223
ENSG00000127054,INTS11,136,1.03987,84,0.29790,28,-1.4732,62,-0.4349
ENSG00000107404,DVL1,17,-2.5664,71,-0.5415,130,0.54704,120,0.72398
ENSG00000175756,AURKAIP1,101,-0.3417,138,0.21554,83,-0.6519,133,0.14404
ENSG00000221978,CCNL2,90,0.75472,54,-0.1016,40,-0.5664,55,-0.0840
ENSG00000242485,MRPL20,163,0.45693,114,-0.1708,122,-0.0196,121,-0.0480
ENSG00000179403,VWA1,14,-2.1477,14,-2.5156,53,-0.1776,106,2.25647
ENSG00000205090,TMEM240,1,-5.9377,118,1.02855,55,-0.5400,72,-0.1802
ENSG00000160075,SSU72,66,-1.6709,286,0.92713,146,-0.4633,172,-0.3129
ENSG00000228594,FNDC10,60,0.13231,77,0.78017,50,-0.1506,39,-0.7900
ENSG00000197530,MIB2,1,-5.2189,67,0.85756,48,0.03441,43,-0.2161
ENSG00000078369,GNB1,435,0.07683,439,0.12434,321,-0.4091,415,0.00168
ENSG00000187730,GABRD,1,-6.6604,284,1.46651,70,-1.3072,136,-0.4425
ENSG00000067606,PRKCZ,275,0.42799,267,0.52815,227,0.11066,152,-0.7777
ENSG00000162585,FAAP20,136,1.03750,58,-0.5114,72,-0.0444,71,-0.0963
ENSG00000157933,SKI,112,0.39875,104,0.36999,74,-0.2778,74,-0.4302
ENSG00000157916,RER1,158,1.31078,82,0.22910,52,-0.5538,52,-0.7966
ENSG00000197921,HES5,10,-3.9712,46,-2.0113,73,-1.0267,261,2.54848
ENSG00000157870,PRXL2B,59,-1.0105,173,1.05994,91,-0.3457,87,-0.6244
ENSG00000177133,PRDM16-DT,8,-2.5949,11,-2.4330,38,-0.3047,84,2.34995
ENSG00000158109,TPRG1L,164,0.08008,188,0.42157,96,-0.7721,146,-0.1793
