Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,12,-0.9209,18,-0.3875,24,0.09723,33,0.61488,30,0.47259,10,-1.2673,33,0.61420,21,-0.0886
ENSG00000188976,NOC2L,54,0.03404,28,-1.0077,44,-0.2790,58,0.16481,85,0.80919,34,-0.7176,73,0.54252,47,-0.2042
ENSG00000188290,HES4,108,0.68620,74,0.03836,58,-0.3578,115,0.78782,68,-0.0959,91,0.38217,33,-1.2091,31,-1.3244
ENSG00000187608,ISG15,59,0.23851,65,0.39861,45,-0.2016,44,-0.2300,70,0.52261,47,-0.1341,38,-0.4673,40,-0.3769
ENSG00000188157,AGRN,25,-0.4065,22,-0.5951,21,-0.6733,35,0.13208,25,-0.4202,50,0.75805,42,0.44143,37,0.24995
ENSG00000131591,C1orf159,14,0.44365,11,0.00857,9,-0.2143,11,-0.0191,9,-0.3322,12,0.09983,13,0.22843,9,-0.3558
ENSG00000078808,SDF4,91,0.21202,64,-0.3622,72,-0.1620,69,-0.2311,75,-0.1014,103,0.42299,77,-0.0612,88,0.15938
ENSG00000176022,B3GALT6,41,-0.1898,37,-0.3555,62,0.48331,49,0.08400,54,0.24581,28,-0.7843,64,0.54972,36,-0.4297
ENSG00000160087,UBE2J2,57,0.14325,37,-0.5514,50,-0.0735,58,0.16236,67,0.41340,56,0.09718,53,0.02002,41,-0.3849
ENSG00000162572,SCNN1D,15,-0.0746,5,-1.6823,12,-0.3637,16,0.08286,20,0.42317,18,0.25775,16,0.02487,22,0.55071
ENSG00000131584,ACAP3,121,-0.0198,86,-0.5586,107,-0.2228,128,0.08170,101,-0.3168,114,-0.1176,170,0.55385,152,0.36183
ENSG00000169972,PUSL1,14,0.13282,21,0.81078,14,0.19243,8,-0.6367,12,-0.0788,6,-1.0312,15,0.26691,11,-0.2302
ENSG00000127054,INTS11,54,-0.4229,58,-0.3071,65,-0.1304,52,-0.4669,54,-0.4155,88,0.38838,93,0.47783,96,0.52861
ENSG00000224051,CPTP,20,-0.8897,22,-0.7417,20,-0.9214,56,0.75085,39,0.14149,43,0.27931,56,0.73735,31,-0.2158
ENSG00000107404,DVL1,70,-0.1874,81,0.05971,84,0.10279,93,0.28594,72,-0.1289,82,0.07273,64,-0.3169,81,0.04622
ENSG00000175756,AURKAIP1,180,0.21956,165,0.07336,193,0.33714,124,-0.3897,122,-0.4151,226,0.61176,120,-0.4366,131,-0.2981
ENSG00000221978,CCNL2,42,-0.5232,57,-0.0347,48,-0.3117,71,0.31065,57,-0.0387,53,-0.1754,59,0.02022,81,0.54559
ENSG00000224870,MRPL20-AS1,9,-0.3750,7,-0.8077,9,-0.3312,10,-0.2090,14,0.36121,6,-0.8623,20,0.95997,15,0.49903
ENSG00000242485,MRPL20,238,0.07551,199,-0.2118,283,0.36977,204,-0.1762,198,-0.2249,244,0.11915,244,0.12293,206,-0.1590
ENSG00000235098,ANKRD65,27,0.80613,21,0.34544,13,-0.4541,11,-0.6120,12,-0.5576,19,0.18941,20,0.23259,13,-0.4559
ENSG00000179403,VWA1,92,1.81510,47,0.53859,16,-1.1571,34,-0.0058,27,-0.3567,33,-0.0338,10,-1.8064,12,-1.5406
ENSG00000160072,ATAD3B,11,-0.5520,15,-0.1377,10,-0.6647,17,0.06053,23,0.58311,17,0.07698,17,0.10883,18,0.22685
ENSG00000197785,ATAD3A,11,-0.7016,15,-0.3058,11,-0.7698,8,-1.1410,12,-0.5850,24,0.50097,33,1.05932,28,0.74328
ENSG00000205090,TMEM240,57,0.01094,47,-0.3018,65,0.23831,47,-0.3031,79,0.54794,49,-0.2284,67,0.28544,42,-0.4855
ENSG00000160075,SSU72,189,-0.0182,151,-0.3818,216,0.20231,166,-0.2330,176,-0.1322,184,-0.0654,236,0.35384,211,0.16693
ENSG00000228594,FNDC10,58,0.00508,43,-0.4885,65,0.17134,67,0.22962,91,0.76745,40,-0.5976,77,0.46078,25,-1.3242
ENSG00000272106,AL691432.2,29,-0.1698,40,0.38358,29,-0.1385,18,-0.8694,15,-1.1650,23,-0.5146,44,0.53388,57,0.98688
ENSG00000197530,MIB2,43,-0.1035,45,-0.0340,34,-0.4645,58,0.39223,51,0.16818,48,0.08238,40,-0.2274,48,0.06555
ENSG00000189339,SLC35E2B,17,0.02463,25,0.63756,17,0.00242,13,-0.4252,21,0.39959,15,-0.1490,9,-0.8710,17,-0.0026
ENSG00000215790,SLC35E2A,35,-0.4765,37,-0.3674,52,0.18525,46,-0.0106,44,-0.0933,55,0.28030,55,0.26696,49,0.07314
ENSG00000008130,NADK,33,-0.0525,33,-0.0624,27,-0.3684,31,-0.1364,22,-0.7161,46,0.49939,45,0.46122,36,0.08469
ENSG00000078369,GNB1,405,-0.3534,432,-0.2471,505,0.00787,525,0.06955,489,-0.0476,556,0.16671,647,0.42400,465,-0.1288
ENSG00000187730,GABRD,38,-1.9988,88,-0.7172,151,0.15534,63,-1.2303,74,-0.9673,153,0.18177,297,1.37580,234,0.92092
ENSG00000067606,PRKCZ,189,-0.0723,141,-0.5439,203,0.03910,197,-0.0067,279,0.58297,156,-0.3832,232,0.26676,185,-0.1084
ENSG00000162585,FAAP20,85,0.54198,93,0.70976,50,-0.3453,76,0.34967,52,-0.2712,62,0.02722,42,-0.5888,31,-1.0710
