Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to9,Feature log2 fold change topic 8to9
ENSG00000188290,HES4,16,-4.1158,407,0.76302,1,-7.8688,131,-1.1626,16,-4.1524,1608,4.16472,6,-5.6643
ENSG00000131584,ACAP3,16,-3.6884,407,1.29710,608,2.11524,224,0.29166,16,-3.7239,1,-6.8475,116,-0.8782
ENSG00000175756,AURKAIP1,760,1.50705,407,0.38496,315,-0.0349,179,-1.0201,534,0.85400,272,-0.2700,126,-1.5826
ENSG00000179403,VWA1,16,-3.9725,407,0.93886,1,-7.7251,146,-0.8189,215,-0.1307,291,0.36409,439,1.32841
ENSG00000160075,SSU72,16,-3.7080,407,1.26987,337,0.92741,144,-0.5362,16,-3.7450,489,1.62786,100,-1.1459
ENSG00000078369,GNB1,16,-4.4425,407,0.37889,141,-1.2906,443,0.61509,525,0.81684,538,0.85892,198,-0.8578
ENSG00000067606,PRKCZ,16,-5.2825,3973,4.70064,589,0.03346,77,-3.2233,16,-5.3171,157,-2.0026,144,-2.2792
ENSG00000069424,KCNAB2,16,-3.6247,407,1.37979,755,2.74328,199,0.14438,16,-3.6606,63,-1.6443,0,-8.7693
ENSG00000116254,CHD5,16,-4.2821,407,0.56594,1641,3.76442,261,-0.1867,16,-4.3183,1,-7.4318,0,-9.4224
ENSG00000116251,RPL22,16,-5.8938,407,-1.2083,217,-2.1505,555,-0.8113,906,0.04642,1144,0.43106,2064,1.92648
ENSG00000171735,CAMTA1,24,-4.8305,3937,4.24255,856,0.52971,199,-1.8956,16,-5.4264,190,-1.8308,88,-3.1266
ENSG00000116288,PARK7,637,1.32923,407,0.52584,48,-2.7536,301,0.02968,16,-4.3521,581,1.15707,187,-0.8068
ENSG00000074800,ENO1,16,-5.0829,407,-0.3395,908,1.00565,1160,1.88087,16,-5.1184,397,-0.3793,230,-1.3339
ENSG00000171603,CLSTN1,16,-5.1854,407,-0.4525,1964,2.43788,550,0.03492,702,0.43327,380,-0.5575,145,-2.1638
ENSG00000054523,KIF1B,16,-4.3167,407,0.52562,611,1.24865,323,0.16403,16,-4.3527,154,-1.0229,408,0.62417
ENSG00000116661,FBXO2,16,-3.8282,407,1.11806,280,0.46124,522,2.08506,16,-3.8638,41,-2.4842,50,-2.3606
ENSG00000132879,FBXO44,16,-3.6979,407,1.28502,840,2.89503,116,-0.8875,16,-3.7334,84,-1.2984,72,-1.6449
ENSG00000116786,PLEKHM2,16,-3.5284,407,1.50783,173,0.01314,176,0.04708,264,0.71674,242,0.56950,46,-2.1570
ENSG00000077549,CAPZB,16,-5.5591,3997,3.80022,694,-0.0109,215,-1.9588,394,-0.9018,444,-0.7182,157,-2.4408
ENSG00000173436,MICOS10,16,-4.6597,407,0.13058,331,-0.2031,261,-0.6459,696,1.05217,540,0.60676,433,0.27273
ENSG00000158747,NBL1,16,-4.1190,407,0.76048,580,1.40855,314,0.37028,167,-0.6863,510,1.16570,9,-5.1202
ENSG00000162545,CAMK2N1,16,-5.1777,407,-0.4432,497,-0.1245,844,0.91036,16,-5.2130,423,-0.3799,892,1.03407
ENSG00000158828,PINK1,975,1.78312,407,0.19891,2,-7.4066,465,0.49465,20,-4.3106,377,0.07699,264,-0.5507
ENSG00000127483,HP1BP3,16,-5.3292,3961,4.48823,110,-2.5681,142,-2.3481,16,-5.3663,625,0.07577,178,-2.0043
ENSG00000076864,RAP1GAP,16,-4.0210,407,0.87814,1115,3.06974,156,-0.7687,172,-0.5434,102,-1.3464,26,-3.5389
ENSG00000070831,CDC42,16,-4.4051,407,0.42218,339,0.12053,207,-0.7406,748,1.51853,411,0.44006,250,-0.4164
ENSG00000142676,RPL11,25,-6.0109,411,-1.9669,89,-4.2008,770,-1.1243,3113,1.29099,2863,1.13505,2624,1.19124
ENSG00000001461,NIPAL3,16,-3.2620,407,1.87704,34,-2.1691,46,-1.8909,16,-3.2978,65,-1.2216,330,1.86781
ENSG00000169504,CLIC4,16,-3.8359,407,1.10835,53,-2.1118,66,-1.9436,211,-0.0154,517,1.56524,289,0.59666
ENSG00000117632,STMN1,16,-5.1895,407,-0.4563,1453,1.76503,223,-1.5035,16,-5.2252,504,-0.1140,1015,1.32096
ENSG00000142669,SH3BGRL3,16,-4.6696,407,0.11918,407,0.11942,154,-1.5145,878,1.47555,837,1.38350,274,-0.5717
ENSG00000198830,HMGN2,16,-4.2312,407,0.62683,1,-7.9821,149,-1.0780,595,1.31128,616,1.37558,289,0.06603
ENSG00000090273,NUDC,16,-3.4933,407,1.55464,96,-0.8836,173,0.05670,16,-3.5290,131,-0.3917,250,0.78698
ENSG00000126709,IFI6,16,-4.0495,407,0.84385,1,-7.8021,200,-0.3756,204,-0.3044,937,2.54685,126,-1.1480
ENSG00000130770,ATP5IF1,16,-3.4630,407,1.59630,1,-7.2197,202,0.39409,16,-3.4984,242,0.64574,197,0.34429
ENSG00000162512,SDC3,16,-4.3393,407,0.49908,539,0.99002,492,0.99979,213,-0.5490,143,-1.1624,202,-0.6994
ENSG00000121753,ADGRB2,16,-4.0116,407,0.89092,995,2.76910,264,0.17948,16,-4.0471,127,-0.9918,35,-3.0677
ENSG00000184007,PTP4A2,16,-5.2354,407,-0.5059,1,-8.9821,214,-1.6187,606,0.13252,515,-0.1322,1528,2.43776
ENSG00000175130,MARCKSL1,16,-5.3792,407,-0.6612,134,-2.3280,477,-0.4614,1081,0.95159,301,-1.1247,1330,1.68446
ENSG00000121905,HPCA,16,-4.4756,407,0.34145,1579,3.17565,259,-0.4345,331,0.00137,108,-1.7212,7,-5.8174
ENSG00000134686,PHC2,16,-3.6709,407,1.31938,106,-0.9197,117,-0.8396,16,-3.7037,524,1.82217,202,0.11914
ENSG00000116560,SFPQ,16,-3.6008,407,1.41151,1,-7.3562,174,-0.0725,357,1.16574,236,0.44166,131,-0.5668
ENSG00000020129,NCDN,16,-4.2996,407,0.54540,1540,3.48868,270,-0.1506,16,-4.3358,3,-6.5037,57,-2.6583
ENSG00000116871,MAP7D1,232,-1.6094,4003,4.07584,171,-2.0633,169,-2.2260,16,-5.5021,363,-0.9307,388,-0.9159
ENSG00000197982,C1orf122,16,-5.5577,3962,3.77040,18,-5.3882,288,-1.4974,316,-1.2380,482,-0.5897,455,-0.7519
ENSG00000168653,NDUFS5,16,-4.9504,407,-0.1938,406,-0.1968,289,-0.8101,938,1.23410,909,1.17423,437,-0.0889
ENSG00000127603,MACF1,465,1.03620,407,0.79880,214,-0.2673,243,-0.0738,16,-4.1231,296,0.25654,196,-0.4527
ENSG00000116983,HPCAL4,16,-3.8765,407,1.05785,841,2.57382,244,0.20602,16,-3.9121,200,-0.1425,0,-9.0187
ENSG00000065978,YBX1,164,-1.3669,407,0.05157,1,-8.4785,144,-1.6928,1586,2.69239,748,1.09569,177,-1.3655
ENSG00000117394,SLC2A1,275,-1.9811,407,-1.3969,139,-2.9876,284,-2.0786,1514,0.69756,5978,3.99234,49,-4.6715
ENSG00000066322,ELOVL1,16,-3.6198,407,1.38643,23,-3.0990,87,-1.2756,16,-3.6553,3,-5.8460,505,2.46307
ENSG00000142949,PTPRF,16,-3.3077,407,1.81223,1,-7.0661,353,1.97983,16,-3.3436,7,-4.3838,89,-0.8901
ENSG00000117408,IPO13,16,-3.5951,407,1.41827,130,-0.5157,104,-0.9544,246,0.51422,111,-0.7599,252,0.65453
ENSG00000117410,ATP6V0B,16,-4.8766,407,-0.1130,1788,2.74001,346,-0.4148,202,-1.2030,332,-0.4343,244,-1.0075
ENSG00000117419,ERI3,16,-3.7674,407,1.19430,713,2.35369,252,0.41870,16,-3.8041,16,-3.7827,77,-1.6320
ENSG00000187147,RNF220,16,-3.5900,407,1.42510,234,0.43711,94,-1.1187,16,-3.6263,88,-1.1186,334,1.29983
ENSG00000142937,RPS8,113,-4.3427,407,-2.4800,813,-1.4488,985,-1.2678,4611,1.40119,4002,1.13544,3329,0.96766
ENSG00000117450,PRDX1,16,-4.5419,407,0.26496,499,0.61083,475,0.62028,16,-4.5773,627,1.01232,299,-0.2655
ENSG00000173660,UQCRH,16,-4.3265,407,0.51409,696,1.48590,328,0.17865,29,-3.4987,243,-0.3242,318,0.12010
ENSG00000162374,ELAVL4,16,-3.7936,407,1.16267,1065,3.41864,167,-0.3768,16,-3.8277,1,-6.9519,9,-4.7800
ENSG00000123091,RNF11,237,-0.6229,407,0.24152,1458,2.77524,281,-0.3964,16,-4.5981,144,-1.3835,167,-1.2713
ENSG00000169213,RAB3B,16,-3.0414,407,2.20701,1,-6.8033,334,2.39669,16,-3.0775,1,-6.2077,0,-8.1932
ENSG00000162378,ZYG11B,16,-3.7206,407,1.25543,911,3.08300,171,-0.2536,16,-3.7564,8,-4.7769,34,-2.8013
ENSG00000116209,TMEM59,16,-4.2373,407,0.61901,234,-0.2881,175,-0.8231,725,1.68811,263,-0.1049,264,-0.1111
ENSG00000157216,SSBP3,16,-3.7480,407,1.21874,581,1.92636,129,-0.7708,241,0.30488,193,-0.0552,53,-2.1945
ENSG00000116133,DHCR24,16,-4.0984,407,0.78366,698,1.80430,113,-1.3798,59,-2.2416,149,-0.8473,370,0.73401
ENSG00000162407,PLPP3,16,-3.8299,407,1.11589,1,-7.5840,401,1.34466,408,1.12046,122,-0.8714,75,-1.7296
