"","cluster","mod","n_genes","n_FDR05","nUP","nDown"
"1","vVasc","carrier",7215,7,3,4
"2","vL1","carrier",12169,0,0,0
"3","vL2","carrier",14315,0,0,0
"4","vInhib","carrier",8653,0,0,0
"5","vLD","carrier",14020,0,0,0
"6","vL5a","carrier",14441,135,90,45
"7","vL5b","carrier",13430,0,0,0
"8","vL6","carrier",13237,12,7,5
"9","vWMuf","carrier",3418,26,3,23
"10","vWMpv","carrier",8248,0,0,0
"11","vWMd","carrier",6255,1,0,1
"12","vVasc","E4E4",7215,0,0,0
"13","vL1","E4E4",12169,0,0,0
"14","vL2","E4E4",14315,0,0,0
"15","vInhib","E4E4",8653,0,0,0
"16","vLD","E4E4",14020,0,0,0
"17","vL5a","E4E4",14441,0,0,0
"18","vL5b","E4E4",13430,0,0,0
"19","vL6","E4E4",13237,0,0,0
"20","vWMuf","E4E4",3418,0,0,0
"21","vWMpv","E4E4",8248,0,0,0
"22","vWMd","E4E4",6255,0,0,0
"23","vVasc","apoe_E2E2_E4E4",7215,3,2,1
"24","vL1","apoe_E2E2_E4E4",12169,0,0,0
"25","vL2","apoe_E2E2_E4E4",14315,0,0,0
"26","vInhib","apoe_E2E2_E4E4",8653,0,0,0
"27","vLD","apoe_E2E2_E4E4",14020,0,0,0
"28","vL5a","apoe_E2E2_E4E4",14441,16,4,12
"29","vL5b","apoe_E2E2_E4E4",13430,0,0,0
"30","vL6","apoe_E2E2_E4E4",13237,1,0,1
"31","vWMuf","apoe_E2E2_E4E4",3418,0,0,0
"32","vWMpv","apoe_E2E2_E4E4",8248,0,0,0
"33","vWMd","apoe_E2E2_E4E4",6255,0,0,0
"34","vVasc","apoe_E3E4_E4E4",7215,15,10,5
"35","vL1","apoe_E3E4_E4E4",12169,2,0,2
"36","vL2","apoe_E3E4_E4E4",14315,0,0,0
"37","vInhib","apoe_E3E4_E4E4",8653,0,0,0
"38","vLD","apoe_E3E4_E4E4",14020,0,0,0
"39","vL5a","apoe_E3E4_E4E4",14441,0,0,0
"40","vL5b","apoe_E3E4_E4E4",13430,0,0,0
"41","vL6","apoe_E3E4_E4E4",13237,0,0,0
"42","vWMuf","apoe_E3E4_E4E4",3418,0,0,0
"43","vWMpv","apoe_E3E4_E4E4",8248,0,0,0
"44","vWMd","apoe_E3E4_E4E4",6255,1,1,0
"45","vVasc","apoe_E2E3_E4E4",7215,0,0,0
"46","vL1","apoe_E2E3_E4E4",12169,0,0,0
"47","vL2","apoe_E2E3_E4E4",14315,0,0,0
"48","vInhib","apoe_E2E3_E4E4",8653,0,0,0
"49","vLD","apoe_E2E3_E4E4",14020,0,0,0
"50","vL5a","apoe_E2E3_E4E4",14441,0,0,0
"51","vL5b","apoe_E2E3_E4E4",13430,0,0,0
"52","vL6","apoe_E2E3_E4E4",13237,0,0,0
"53","vWMuf","apoe_E2E3_E4E4",3418,0,0,0
"54","vWMpv","apoe_E2E3_E4E4",8248,0,0,0
"55","vWMd","apoe_E2E3_E4E4",6255,0,0,0
"56","vVasc","apoe_E2E2_E3E4",7215,517,275,242
"57","vL1","apoe_E2E2_E3E4",12169,2,1,1
"58","vL2","apoe_E2E2_E3E4",14315,135,57,78
"59","vInhib","apoe_E2E2_E3E4",8653,2,1,1
"60","vLD","apoe_E2E2_E3E4",14020,65,39,26
"61","vL5a","apoe_E2E2_E3E4",14441,298,149,149
"62","vL5b","apoe_E2E2_E3E4",13430,7,0,7
"63","vL6","apoe_E2E2_E3E4",13237,78,62,16
"64","vWMuf","apoe_E2E2_E3E4",3418,0,0,0
"65","vWMpv","apoe_E2E2_E3E4",8248,0,0,0
"66","vWMd","apoe_E2E2_E3E4",6255,0,0,0
"67","vVasc","apoe_E2E2_E2E3",7215,332,217,115
"68","vL1","apoe_E2E2_E2E3",12169,0,0,0
"69","vL2","apoe_E2E2_E2E3",14315,8,8,0
"70","vInhib","apoe_E2E2_E2E3",8653,3,2,1
"71","vLD","apoe_E2E2_E2E3",14020,0,0,0
"72","vL5a","apoe_E2E2_E2E3",14441,17,5,12
"73","vL5b","apoe_E2E2_E2E3",13430,0,0,0
"74","vL6","apoe_E2E2_E2E3",13237,0,0,0
"75","vWMuf","apoe_E2E2_E2E3",3418,0,0,0
"76","vWMpv","apoe_E2E2_E2E3",8248,0,0,0
"77","vWMd","apoe_E2E2_E2E3",6255,0,0,0
