Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to9,Feature log2 fold change topic 7to9
ENSG00000188976,NOC2L,37,-0.3802,29,-0.7537,77,1.25273,23,-1.1118,34,-0.6237
ENSG00000188290,HES4,4,-4.5579,52,-0.8324,65,-0.6218,151,0.89020,132,0.97570
ENSG00000187608,ISG15,74,0.61131,35,-0.6068,47,-0.1790,31,-0.7759,60,0.35119
ENSG00000188157,AGRN,97,1.56091,18,-1.1812,33,-0.3609,37,-0.0876,35,-0.2718
ENSG00000078808,SDF4,370,1.95692,54,-1.3181,123,-0.0379,93,-0.4762,81,-0.8635
ENSG00000176022,B3GALT6,13,-1.2794,20,-0.6842,51,1.24906,15,-1.1060,26,-0.3560
ENSG00000160087,UBE2J2,51,0.03017,32,-0.6839,85,1.38066,33,-0.6726,26,-1.2239
ENSG00000131584,ACAP3,3,-5.3593,85,-0.4421,189,1.34697,67,-0.8024,96,-0.3199
ENSG00000127054,INTS11,3,-4.5354,39,-0.7786,106,1.32149,35,-0.9058,59,-0.1631
ENSG00000224051,CPTP,3,-3.7133,24,-0.7714,78,1.97104,23,-0.8384,23,-1.0473
ENSG00000107404,DVL1,3,-4.1943,49,-0.0421,68,0.72414,24,-1.1598,57,0.29151
ENSG00000175756,AURKAIP1,246,1.16863,66,-0.9978,110,-0.2464,200,0.79852,92,-0.6109
ENSG00000221978,CCNL2,82,0.54099,39,-0.6650,60,0.04202,34,-0.8722,65,0.22771
ENSG00000242485,MRPL20,88,-0.5173,56,-1.2211,152,0.49859,140,0.22725,120,-0.0401
ENSG00000235098,ANKRD65,3,-3.2885,12,-1.2096,7,-2.3693,37,0.54349,56,2.17974
ENSG00000179403,VWA1,66,-0.7917,35,-1.7566,29,-2.3522,152,0.55686,213,1.90880
ENSG00000205090,TMEM240,3,-4.0147,36,-0.3211,100,2.57867,2,-4.4449,19,-1.5426
ENSG00000160075,SSU72,150,0.22300,84,-0.6969,138,0.11589,204,0.73898,109,-0.3836
ENSG00000228594,FNDC10,3,-3.4200,29,0.00016,51,1.47336,50,0.89407,9,-2.0531
ENSG00000272106,AL691432.2,3,-2.9574,20,-0.0846,28,0.66718,2,-3.4005,27,0.56056
ENSG00000197530,MIB2,40,0.30743,23,-0.5570,39,0.38371,32,-0.0488,28,-0.3261
ENSG00000215790,SLC35E2A,3,-3.2246,13,-1.0743,40,1.08427,24,-0.0752,24,-0.1536
ENSG00000008130,NADK,3,-3.1101,19,-0.3406,32,0.70110,59,1.60748,12,-1.2706
ENSG00000078369,GNB1,430,0.69256,151,-0.9949,364,0.57847,223,-0.3869,220,-0.5225
ENSG00000187730,GABRD,3,-4.0948,30,-0.6983,123,3.81749,11,-2.2053,2,-4.6858
ENSG00000067606,PRKCZ,3,-4.9624,55,-0.8323,180,1.82629,27,-1.8825,72,-0.5223
ENSG00000162585,FAAP20,303,1.95352,61,-0.8289,84,-0.4173,90,-0.2197,74,-0.6731
ENSG00000157933,SKI,91,0.66698,31,-1.0460,68,0.24881,46,-0.4621,59,-0.0779
ENSG00000157916,RER1,144,0.98035,44,-0.9487,79,-0.0360,48,-0.8008,84,0.08523
ENSG00000157911,PEX10,14,-1.1410,24,-0.3706,40,0.65350,41,0.50126,24,-0.4523
ENSG00000197921,HES5,3,-3.1013,31,0.45596,39,1.26388,56,1.52404,2,-4.0529
ENSG00000157870,PRXL2B,19,-1.7994,38,-0.7735,129,2.09271,38,-0.7746,28,-1.5216
ENSG00000177133,PRDM16-DT,53,0.82611,41,0.40894,18,-1.0691,123,2.54803,6,-2.9317
ENSG00000158109,TPRG1L,320,1.84708,39,-1.6387,178,1.11413,24,-2.3399,36,-2.0559
ENSG00000130764,LRRC47,3,-4.1484,22,-1.1893,66,0.72158,56,0.24421,52,0.17098
ENSG00000069424,KCNAB2,3,-5.3581,68,-0.7777,279,3.23684,37,-1.6858,22,-2.8082
ENSG00000116254,CHD5,3,-5.6802,208,0.65257,329,2.81616,14,-3.3842,18,-3.4873
ENSG00000116251,RPL22,845,0.38191,322,-1.1468,301,-1.5028,533,-0.3686,1143,1.39638
ENSG00000116237,ICMT,98,1.60992,11,-1.9403,28,-0.6753,54,0.52810,35,-0.2146
ENSG00000097021,ACOT7,157,1.30467,44,-0.8130,118,1.19832,11,-2.8389,32,-1.5463
ENSG00000215788,TNFRSF25,3,-3.1827,18,-0.5271,59,2.89998,0,-6.8308,8,-1.9182
