Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,14,-0.9116,28,0.14669,40,0.71931,35,0.46394,26,0.01355,18,-0.5642,19,-0.4773,25,-0.0567
ENSG00000188976,NOC2L,48,-0.8430,70,-0.2867,164,1.18743,155,1.08381,69,-0.2797,29,-1.5811,58,-0.5489,75,-0.1402
ENSG00000188290,HES4,205,1.11941,48,-1.3428,64,-0.8058,123,0.24407,86,-0.3349,92,-0.2358,136,0.40389,155,0.62338
ENSG00000187608,ISG15,108,-0.1710,96,-0.3925,128,0.09958,123,0.04136,162,0.49247,74,-0.7572,144,0.30123,148,0.34900
ENSG00000188157,AGRN,45,0.24693,32,-0.3005,18,-1.1833,49,0.38628,20,-0.9725,55,0.60207,42,0.13986,52,0.49191
ENSG00000078808,SDF4,66,-0.5646,104,0.19162,85,-0.1710,103,0.14578,78,-0.2961,166,0.95789,62,-0.6476,79,-0.2863
ENSG00000176022,B3GALT6,31,-0.4716,49,0.26411,63,0.67459,50,0.28140,38,-0.1553,26,-0.7518,36,-0.2596,38,-0.1847
ENSG00000160087,UBE2J2,36,-1.0118,87,0.45505,104,0.68439,96,0.55099,70,0.02653,32,-1.1696,44,-0.7028,62,-0.1503
ENSG00000162572,SCNN1D,18,-0.5578,26,0.08652,27,0.08963,29,0.22593,26,0.05459,28,0.18747,14,-0.9115,32,0.40731
ENSG00000131584,ACAP3,192,-0.2960,309,0.55881,207,-0.1771,287,0.35352,185,-0.3535,254,0.15221,149,-0.6998,191,-0.3101
ENSG00000127054,INTS11,48,-0.9060,105,0.39672,98,0.23390,107,0.37538,54,-0.7153,99,0.24820,77,-0.1509,73,-0.2479
ENSG00000224051,CPTP,61,-0.0478,76,0.37546,82,0.44796,67,0.12301,34,-0.9634,35,-0.8944,72,0.22426,59,-0.0830
ENSG00000107404,DVL1,180,0.60585,118,-0.1067,106,-0.2595,91,-0.5067,120,-0.0675,142,0.20632,83,-0.6409,167,0.47753
ENSG00000175756,AURKAIP1,161,-0.1705,174,-0.0446,122,-0.6025,177,-0.0182,164,-0.1363,196,0.15193,250,0.55482,190,0.09794
ENSG00000221978,CCNL2,97,0.65493,49,-0.5223,48,-0.4764,96,0.64296,46,-0.5480,71,0.13810,55,-0.2688,77,0.26014
ENSG00000242485,MRPL20,164,-0.0721,137,-0.4053,207,0.31400,195,0.21460,138,-0.3409,207,0.30863,150,-0.2172,207,0.30971
ENSG00000179403,VWA1,9,-2.1669,24,-0.8936,22,-0.9385,31,-0.3826,49,0.35807,101,1.65212,15,-1.5011,82,1.24435
ENSG00000160072,ATAD3B,30,0.32043,20,-0.3263,33,0.46098,38,0.73103,18,-0.4792,20,-0.2996,22,-0.1354,18,-0.4444
ENSG00000205090,TMEM240,89,-0.5576,130,0.05708,209,0.84551,180,0.58340,82,-0.6848,127,0.01458,111,-0.2011,78,-0.7522
ENSG00000160075,SSU72,171,-0.3940,217,-0.0157,226,0.05192,258,0.26755,253,0.23416,177,-0.3424,234,0.10933,218,-0.0082
ENSG00000228594,FNDC10,13,-2.3180,74,0.34289,73,0.27237,86,0.53397,50,-0.3285,64,0.05579,51,-0.2976,71,0.22281
ENSG00000272106,AL691432.2,10,-2.2272,66,0.82311,25,-0.8559,43,-0.0200,53,0.32187,31,-0.5268,48,0.15291,50,0.21756
ENSG00000197530,MIB2,80,0.66463,34,-0.7949,34,-0.6988,85,0.76745,52,-0.0497,42,-0.3875,60,0.19624,61,0.20630
ENSG00000189339,SLC35E2B,27,-0.3924,42,0.36986,55,0.76677,36,0.06838,22,-0.7272,28,-0.3559,27,-0.4249,34,-0.0494
