Feature ID,Feature Name,Feature count topic 1to2,Feature log2 fold change topic 1to2,Feature count topic 3to8,Feature log2 fold change topic 3to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,9,-0.9308,23,1.54179,9,-0.8380,2,-3.2106
ENSG00000188976,NOC2L,31,-0.7942,57,0.60242,48,-0.0449,40,-0.3169
ENSG00000188290,HES4,106,-0.2910,88,-1.0441,343,1.76322,169,0.49483
ENSG00000187608,ISG15,77,0.04515,63,-0.5624,145,1.10011,74,-0.0213
ENSG00000188157,AGRN,38,-0.5635,42,-0.7042,146,1.79355,51,-0.0339
ENSG00000078808,SDF4,65,-0.3149,72,-0.2662,145,1.03771,72,-0.1343
ENSG00000176022,B3GALT6,24,-0.5666,43,1.02531,16,-1.1821,19,-0.9155
ENSG00000160087,UBE2J2,32,-0.6498,52,0.38011,39,-0.2843,55,0.26362
ENSG00000162572,SCNN1D,14,-0.2500,18,0.51769,23,0.56038,0,-5.0992
ENSG00000131584,ACAP3,91,-0.0052,107,0.68506,53,-0.8361,32,-1.6106
ENSG00000127054,INTS11,46,-0.1906,51,0.01699,66,0.42218,45,-0.2054
ENSG00000224051,CPTP,27,-0.4101,34,-0.0108,24,-0.5492,60,0.91177
ENSG00000107404,DVL1,82,0.28647,68,-0.1160,90,0.41122,40,-0.8771
ENSG00000175756,AURKAIP1,127,-0.2379,155,0.26665,103,-0.5297,160,0.15645
ENSG00000221978,CCNL2,37,-0.5318,50,-0.1024,85,0.84846,53,0.04774
ENSG00000242485,MRPL20,128,-0.3218,176,0.56527,145,-0.0852,75,-1.1047
ENSG00000179403,VWA1,63,1.23597,16,-1.8310,45,0.46962,68,1.16518
ENSG00000197785,ATAD3A,14,-0.3982,18,0.10921,11,-0.7556,29,0.78603
ENSG00000205090,TMEM240,21,-0.9840,46,0.98579,11,-1.8709,41,0.15594
ENSG00000160075,SSU72,130,-0.3460,177,0.42740,152,-0.0691,113,-0.5331
ENSG00000228594,FNDC10,20,-1.1860,56,1.69641,28,-0.5569,0,-6.3264
ENSG00000272106,AL691432.2,15,-0.5653,24,0.51225,25,0.24805,12,-0.8667
ENSG00000197530,MIB2,37,-0.3148,41,-0.3328,72,0.77315,58,0.42089
ENSG00000189339,SLC35E2B,13,-0.1146,17,0.78211,6,-1.2590,6,-1.1584
ENSG00000215790,SLC35E2A,24,-0.4159,36,0.69767,16,-0.9795,24,-0.3507
ENSG00000008130,NADK,26,-0.5564,36,0.05917,46,0.42479,41,0.22741
ENSG00000078369,GNB1,385,-0.1261,473,0.55160,239,-0.8519,282,-0.6004
ENSG00000187730,GABRD,37,-1.5249,136,2.26803,23,-2.1018,15,-2.7344
ENSG00000067606,PRKCZ,140,-0.4445,231,1.14209,78,-1.2922,60,-1.6853
ENSG00000162585,FAAP20,78,0.54811,54,-0.2223,82,0.56301,16,-1.9061
ENSG00000157933,SKI,32,-0.1711,35,-0.0312,36,0.03379,43,0.31422
ENSG00000157916,RER1,62,0.09095,58,-0.0642,76,0.41929,41,-0.5376
ENSG00000157911,PEX10,41,0.33241,31,-0.3009,18,-0.9768,54,0.75692
ENSG00000149527,PLCH2,24,-0.1058,32,0.98781,16,-0.7730,0,-5.7798
ENSG00000197921,HES5,56,1.16996,31,0.02682,6,-2.3175,4,-2.9958
ENSG00000157870,PRXL2B,45,-0.4555,72,0.94655,28,-1.1045,31,-0.9700
ENSG00000177133,PRDM16-DT,39,0.58549,28,-0.0823,23,-0.3676,17,-0.7571
ENSG00000158109,TPRG1L,95,-0.5951,162,0.80074,89,-0.6521,92,-0.5898
