"Cluster","DE_class_cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Excit-L5-2_down","Excit-L5-2_down","GO:1902495","transmembrane transporter complex","9/10","446/15125",0.0201793721973094,30.5213004484305,16.277358828968,1.51725908962212e-13,8.09204847798465e-13,2.12948644157491e-13,"MT-CO3/MT-ND4/MT-CYB/MT-ND1/MT-CO2/MT-ATP6/MT-ND3/MT-ND2/MT-ND5",9,"CC"
"Excit-L5-2_down","Excit-L5-2_down","GO:1990351","transporter complex","9/10","472/15125",0.0190677966101695,28.8400423728814,15.805450356952,2.53389373033753e-13,9.0901844475583e-13,2.39215380198902e-13,"MT-CO3/MT-ND4/MT-CYB/MT-ND1/MT-CO2/MT-ATP6/MT-ND3/MT-ND2/MT-ND5",9,"CC"
"Excit-L5-2_down","Excit-L5-2_down","GO:0005743","mitochondrial inner membrane","9/10","478/15125",0.0188284518828452,28.4780334728034,15.7019834167271,2.84068263986197e-13,9.0901844475583e-13,2.39215380198902e-13,"MT-CO3/MT-ND4/MT-CYB/MT-ND1/MT-CO2/MT-ATP6/MT-ND3/MT-ND2/MT-ND5",9,"CC"
"Excit-L5-2_down","Excit-L5-2_down","GO:0030964","NADH dehydrogenase complex","5/10","45/15125",0.111111111111111,168.055555555556,28.8666088667648,4.61939567590221e-11,1.05586186877765e-10,2.77858386520434e-11,"MT-ND4/MT-ND1/MT-ND3/MT-ND2/MT-ND5",5,"CC"
"Excit-L5-2_down","Excit-L5-2_down","GO:0045271","respiratory chain complex I","5/10","45/15125",0.111111111111111,168.055555555556,28.8666088667648,4.61939567590221e-11,1.05586186877765e-10,2.77858386520434e-11,"MT-ND4/MT-ND1/MT-ND3/MT-ND2/MT-ND5",5,"CC"
"Excit-L5-2_down","Excit-L5-2_down","GO:0070069","cytochrome complex","3/10","33/15125",0.0909090909090909,137.5,20.1904259708333,1.12377874989635e-06,2.24755749979269e-06,5.91462499945446e-07,"MT-CO3/MT-CYB/MT-CO2",3,"CC"
"Excit-L5-2_down","Excit-L5-2_down","GO:0045277","respiratory chain complex IV","2/10","19/15125",0.105263157894737,159.210526315789,17.748705943792,6.68763060664157e-05,0.000118891210784739,3.1287160732826e-05,"MT-CO3/MT-CO2",2,"CC"
"Excit-L5-2_down","Excit-L5-2_down","GO:0045275","respiratory chain complex III","1/10","12/15125",0.0833333333333333,126.041666666667,11.1454932747869,0.00790796288187401,0.0126527406109984,0.00332966858184169,"MT-CYB",1,"CC"
"Excit-L5-2_down","Excit-L5-2_down","GO:0045259","proton-transporting ATP synthase complex","1/10","17/15125",0.0588235294117647,88.9705882352941,9.33442836569889,0.0111863026403488,0.0162709856586892,0.00428183833123399,"MT-ATP6",1,"CC"
"Excit-L5-2_down","Excit-L5-2_down","GO:0016469","proton-transporting two-sector ATPase complex","1/10","44/15125",0.0227272727272727,34.375,5.70245413907388,0.0287214566056834,0.0382952754742445,0.0100777040721696,"MT-ATP6",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0000221","vacuolar proton-transporting V-type ATPase, V1 domain","1/2","10/15125",0.1,756.25,27.4736280502752,0.00132192060782366,0.0130861484455747,0.00250452601829181,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0033180","proton-transporting V-type ATPase, V1 domain","1/2","10/15125",0.1,756.25,27.4736280502752,0.00132192060782366,0.0130861484455747,0.00250452601829181,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0033178","proton-transporting two-sector ATPase complex, catalytic domain","1/2","11/15125",0.0909090909090909,687.5,26.1924745928135,0.00145406458127961,0.0130861484455747,0.00250452601829181,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0098850","extrinsic component of synaptic vesicle membrane","1/2","12/15125",0.0833333333333333,630.208333333333,25.0748938853019,0.00158619981158481,0.0130861484455747,0.00250452601829181,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0000137","Golgi cis cisterna","1/2","17/15125",0.0588235294117647,444.852941176471,21.0566573866133,0.00224674481585807,0.0141700968959626,0.00271198026716987,"GOLGA8A",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0016471","vacuolar proton-transporting V-type ATPase complex","1/2","24/15125",0.0416666666666667,315.104166666667,17.7094804630295,0.0031711406095285,0.0141700968959626,0.00271198026716987,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0031312","extrinsic component of organelle membrane","1/2","24/15125",0.0416666666666667,315.104166666667,17.7094804630295,0.0031711406095285,0.0141700968959626,0.00271198026716987,"ATP6V1H",1,"CC"
"Excit-L5-2_up","Excit-L5-2_up","GO:0033176","proton-transporting V-type ATPase complex","1/2","26/15125",0.0384615384615385,290.865384615385,17.0113309233081,0.00343517500508184,0.0141700968959626,0.00271198026716987,"ATP6V1H",1,"CC"
