"Cluster","DE_class_cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Inhib~Sp09D09_down","Inhib~Sp09D09_down","GO:1990023","mitotic spindle midzone","1/1","10/13478",0.1,1347.8,36.698773821478,0.000741949844190626,0.00408072414304794,NA,"PRC1",1,"CC"
"Inhib~Sp09D09_down","Inhib~Sp09D09_down","GO:0070938","contractile ring","1/1","11/13478",0.0909090909090909,1225.27272727273,34.9896088470953,0.000816144828609588,0.00408072414304794,NA,"PRC1",1,"CC"
"Inhib~Sp09D09_down","Inhib~Sp09D09_down","GO:0051233","spindle midzone","1/1","29/13478",0.0344827586206897,464.758620689655,21.5350556230917,0.00215165454815269,0.00717218182717564,NA,"PRC1",1,"CC"
"Inhib~Sp09D09_down","Inhib~Sp09D09_down","GO:0005876","spindle microtubule","1/1","68/13478",0.0147058823529412,198.205882352941,14.043001187529,0.0050452589404959,0.0109808576940202,NA,"PRC1",1,"CC"
"Inhib~Sp09D09_down","Inhib~Sp09D09_down","GO:0045171","intercellular bridge","1/1","74/13478",0.0135135135135135,182.135135135135,13.4586453677603,0.00549042884701012,0.0109808576940202,NA,"PRC1",1,"CC"
"Inhib~Sp09D09_down","Inhib~Sp09D09_down","GO:0072686","mitotic spindle","1/1","144/13478",0.00694444444444444,93.5972222222222,9.62274504609896,0.0106840777563438,0.0167468679117295,NA,"PRC1",1,"CC"
"Inhib~Sp09D09_down","Inhib~Sp09D09_down","GO:0000922","spindle pole","1/1","158/13478",0.00632911392405063,85.3037974683544,9.18170994250823,0.0117228075382106,0.0167468679117295,NA,"PRC1",1,"CC"
"Inhib~Sp09D09_down","Inhib~Sp09D09_down","GO:0030496","midbody","1/1","184/13478",0.00543478260869565,73.25,8.5,0.013651877133106,0.0170648464163825,NA,"PRC1",1,"CC"
"Inhib~Sp09D09_down","Inhib~Sp09D09_down","GO:0005819","spindle","1/1","362/13478",0.00276243093922652,37.232044198895,6.01930595657797,0.0268585843596973,0.0295296037987832,NA,"PRC1",1,"CC"
"Inhib~Sp09D09_down","Inhib~Sp09D09_down","GO:0005874","microtubule","1/1","398/13478",0.00251256281407035,33.8643216080402,5.73274119492937,0.0295296037987832,0.0295296037987832,NA,"PRC1",1,"CC"
