"gene","cellType.target","mean.target","cellType.2nd","mean.2nd","MeanRatio","MeanRatio.rank","MeanRatio.anno","gene_ensembl","gene_name"
"ENSG00000286757","Astro.2",2.66813993861853,"Astro.1",2.92835120520925,0.91114069032163,43,"Astro.2/Astro.1: 0.911","ENSG00000286757","ENSG00000286757"
"CLU","Astro.2",3.19261450746596,"Astro.4",3.50514597601553,0.910836390071025,44,"Astro.2/Astro.4: 0.911","ENSG00000120885","CLU"
"ZBTB20","Astro.2",4.60285578711086,"Astro.1",5.05453565063673,0.910638702593981,45,"Astro.2/Astro.1: 0.911","ENSG00000181722","ZBTB20"
"PRDM16","Astro.2",1.71428523707304,"Astro.1",1.88271292064175,0.910539901372061,46,"Astro.2/Astro.1: 0.911","ENSG00000142611","PRDM16"
"GPM6A","Astro.2",5.81717104100564,"Astro.1",6.3957919842865,0.90953099401881,47,"Astro.2/Astro.1: 0.91","ENSG00000150625","GPM6A"
"NFIA","Astro.2",4.1033303203843,"Astro.1",4.52088160042837,0.907639412630382,48,"Astro.2/Astro.1: 0.908","ENSG00000162599","NFIA"
"RORA","Astro.2",5.43917618997264,"Inhib.Chandelier",5.99438519581746,0.907378490419299,49,"Astro.2/Inhib.Chandelier: 0.907","ENSG00000069667","RORA"
"KIF1B","Astro.2",3.26078298129105,"Astro.1",3.60596215845211,0.90427542997034,50,"Astro.2/Astro.1: 0.904","ENSG00000054523","KIF1B"
"COL16A1","Astro.3",1.05774129439123,"Astro.2",0.99703207630784,1.06088993476339,1,"Astro.3/Astro.2: 1.061","ENSG00000084636","COL16A1"
"B4GALNT4","Astro.3",1.06294796042283,"Astro.1",1.0534412432774,1.00902443985946,2,"Astro.3/Astro.1: 1.009","ENSG00000182272","B4GALNT4"
"CIRBP","Astro.3",1.58966764400772,"Astro.2",1.58329290643814,1.00402625284535,3,"Astro.3/Astro.2: 1.004","ENSG00000099622","CIRBP"
"NDRG2","Astro.3",1.91724068221828,"Astro.1",1.9108653310406,1.00333636864625,4,"Astro.3/Astro.1: 1.003","ENSG00000165795","NDRG2"
"MT3","Astro.3",1.85015559328284,"Astro.1",1.84501176831197,1.00278796323103,5,"Astro.3/Astro.1: 1.003","ENSG00000087250","MT3"
"PABPN1","Astro.3",1.33431024263032,"Excit.L2_5.1",1.33611041892724,0.998652674007013,6,"Astro.3/Excit.L2_5.1: 0.999","ENSG00000100836","PABPN1"
"NAT8L","Astro.3",1.29208890399353,"Astro.1",1.29819041181714,0.995299990072282,7,"Astro.3/Astro.1: 0.995","ENSG00000185818","NAT8L"
"PLXNB1","Astro.3",1.25046165655639,"Astro.2",1.25796392318576,0.994036183000882,8,"Astro.3/Astro.2: 0.994","ENSG00000164050","PLXNB1"
"FGFR3","Astro.3",2.53362570892436,"Astro.1",2.55149898380128,0.992994990399609,9,"Astro.3/Astro.1: 0.993","ENSG00000068078","FGFR3"
"MIR9-1HG","Astro.3",3.1926322137216,"Astro.1",3.23705512703372,0.986276751068856,10,"Astro.3/Astro.1: 0.986","ENSG00000125462","MIR9-1HG"
"NTM","Astro.3",5.36459808949609,"Astro.1",5.46737041944076,0.981202603434508,11,"Astro.3/Astro.1: 0.981","ENSG00000182667","NTM"
"LUC7L3","Astro.3",1.9711101215601,"Astro.1",2.01017660169366,0.980565647764161,12,"Astro.3/Astro.1: 0.981","ENSG00000108848","LUC7L3"
"SLC25A18","Astro.3",1.99023805398455,"Astro.1",2.03192408882291,0.979484452658608,13,"Astro.3/Astro.1: 0.979","ENSG00000182902","SLC25A18"
"HMGB1","Astro.3",2.18654068075579,"Astro.1",2.23690604702867,0.977484362233369,14,"Astro.3/Astro.1: 0.977","ENSG00000189403","HMGB1"
"SNRNP70","Astro.3",1.50394010576735,"Astro.2",1.53861680106682,0.977462422563286,15,"Astro.3/Astro.2: 0.977","ENSG00000104852","SNRNP70"
"CKB","Astro.3",2.28121136036596,"Astro.1",2.3378876469728,0.975757480612797,16,"Astro.3/Astro.1: 0.976","ENSG00000166165","CKB"
"PITPNC1","Astro.3",4.60785607580886,"Astro.1",4.72614387158475,0.974971604972273,17,"Astro.3/Astro.1: 0.975","ENSG00000154217","PITPNC1"
"DDX17","Astro.3",3.16947868475268,"Astro.1",3.2527201771448,0.974408652494299,18,"Astro.3/Astro.1: 0.974","ENSG00000100201","DDX17"
"IQCA1","Astro.3",1.64165773421752,"Astro.1",1.68526943389394,0.974121823609148,19,"Astro.3/Astro.1: 0.974","ENSG00000132321","IQCA1"
"CTNNA2","Astro.3",6.15866895664767,"Astro.1",6.32393606057008,0.973866417633023,20,"Astro.3/Astro.1: 0.974","ENSG00000066032","CTNNA2"
"CTNND2","Astro.3",5.55834920660138,"Astro.1",5.70835441462925,0.973721812429263,21,"Astro.3/Astro.1: 0.974","ENSG00000169862","CTNND2"
"TTYH1","Astro.3",2.11974958426948,"Astro.1",2.177779240062,0.97335374737484,22,"Astro.3/Astro.1: 0.973","ENSG00000167614","TTYH1"
"TNRC6A","Astro.3",3.67279040316284,"Astro.1",3.77369120484501,0.973262040743389,23,"Astro.3/Astro.1: 0.973","ENSG00000090905","TNRC6A"
"HIF3A","Astro.3",2.69472410321358,"Astro.1",2.77545161604742,0.970913738013992,24,"Astro.3/Astro.1: 0.971","ENSG00000124440","HIF3A"
"CDH20","Astro.3",4.45241703683866,"Astro.1",4.59823274910949,0.968288749128875,25,"Astro.3/Astro.1: 0.968","ENSG00000101542","CDH20"
"ACOT11","Astro.3",1.97180434874571,"Astro.1",2.04008619927269,0.966529918906703,26,"Astro.3/Astro.1: 0.967","ENSG00000162390","ACOT11"
"NPAS3","Astro.3",6.08820971033449,"Astro.1",6.31088037404621,0.964716386539751,27,"Astro.3/Astro.1: 0.965","ENSG00000151322","NPAS3"
"ECHDC2","Astro.3",1.57794805774366,"Astro.1",1.63690026222721,0.963985463351723,28,"Astro.3/Astro.1: 0.964","ENSG00000121310","ECHDC2"
"MACF1","Astro.3",4.53949648914629,"Astro.5",4.71489507163243,0.962799048585101,29,"Astro.3/Astro.5: 0.963","ENSG00000127603","MACF1"
"DTNA","Astro.3",5.19348548152819,"Astro.1",5.40826398203,0.96028697910911,30,"Astro.3/Astro.1: 0.96","ENSG00000134769","DTNA"
"TRPM3","Astro.3",3.80722487584603,"Astro.1",3.96494376158051,0.960221658813235,31,"Astro.3/Astro.1: 0.96","ENSG00000083067","TRPM3"
"FAM107A","Astro.3",1.36342142208576,"Astro.1",1.42026470936335,0.959976976895335,32,"Astro.3/Astro.1: 0.96","ENSG00000168309","FAM107A"
"LSAMP","Astro.3",6.50614776776931,"Astro.1",6.78027609506416,0.959569739719831,33,"Astro.3/Astro.1: 0.96","ENSG00000185565","LSAMP"
"TOM1L2","Astro.3",1.84149178931461,"Astro.1",1.91934625938342,0.959436985542242,34,"Astro.3/Astro.1: 0.959","ENSG00000175662","TOM1L2"
