Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to11,Feature log2 fold change topic 7to11
ENSG00000228794,LINC01128,14,-0.7877,24,0.08861,10,-1.3372,16,-0.5864,31,0.91341
ENSG00000188976,NOC2L,19,-1.1846,33,-0.4168,27,-0.7066,37,-0.1923,57,0.93780
ENSG00000188290,HES4,156,1.21756,76,0.02988,62,-0.3225,49,-0.6421,68,-0.2305
ENSG00000187608,ISG15,195,1.13768,97,-0.0237,76,-0.4263,58,-0.8187,96,-0.0572
ENSG00000188157,AGRN,35,0.33500,24,-0.3003,16,-0.9696,29,0.03870,34,0.49474
ENSG00000078808,SDF4,89,0.34076,44,-0.8126,57,-0.4016,84,0.24573,84,0.40905
ENSG00000176022,B3GALT6,17,-1.1871,37,-0.0007,19,-1.0968,41,0.15712,48,0.73905
ENSG00000160087,UBE2J2,34,-0.3576,34,-0.3881,35,-0.3771,47,0.11254,51,0.48734
ENSG00000131584,ACAP3,12,-2.5290,65,-0.0337,56,-0.2917,81,0.31006,79,0.49820
ENSG00000169972,PUSL1,16,0.28727,15,0.25427,9,-0.5256,13,0.04688,13,-0.0010
ENSG00000127054,INTS11,56,0.29563,28,-0.8704,33,-0.6024,32,-0.5674,61,0.79654
ENSG00000224051,CPTP,19,-0.8352,35,0.12073,22,-0.6503,25,-0.3798,40,0.59304
ENSG00000107404,DVL1,63,-0.0961,73,0.15332,86,0.44237,57,-0.2610,60,-0.2779
ENSG00000175756,AURKAIP1,209,0.29689,186,0.12928,171,-0.0201,144,-0.2914,168,-0.0862
ENSG00000221978,CCNL2,41,0.06610,33,-0.2863,35,-0.2246,41,0.06120,43,0.24478
ENSG00000242485,MRPL20,218,0.46215,159,-0.0470,153,-0.1168,226,0.52256,146,-0.2846
ENSG00000235098,ANKRD65,3,-1.7303,12,0.15981,16,0.64495,21,0.96821,8,-0.6277
ENSG00000179403,VWA1,40,0.50655,11,-1.5668,52,1.11063,84,1.80124,14,-1.5368
ENSG00000197785,ATAD3A,8,-1.2398,11,-0.7788,14,-0.4377,25,0.52545,23,0.71653
ENSG00000205090,TMEM240,20,-1.0105,35,-0.1968,15,-1.5507,40,0.05218,54,1.00537
ENSG00000160075,SSU72,127,-0.3865,177,0.15469,135,-0.3164,110,-0.6083,185,0.36484
ENSG00000228594,FNDC10,24,-0.5862,41,0.24025,23,-0.7652,47,0.44447,39,0.22973
ENSG00000272106,AL691432.2,23,-0.2737,30,0.15224,22,-0.3759,22,-0.3624,31,0.30446
ENSG00000197530,MIB2,34,0.05184,35,0.07949,27,-0.3454,35,0.08298,34,0.09711
ENSG00000189339,SLC35E2B,14,-0.2448,17,0.06440,11,-0.7381,22,0.42031,18,0.25169
ENSG00000215790,SLC35E2A,18,-0.1833,22,0.14784,9,-1.2419,15,-0.4785,25,0.66173
ENSG00000008130,NADK,64,1.30283,26,-0.2001,24,-0.3016,20,-0.5401,27,-0.1852
ENSG00000078369,GNB1,327,-0.3679,387,-0.1159,339,-0.3391,354,-0.2421,482,0.43954
ENSG00000187730,GABRD,115,-0.4403,126,-0.3264,64,-1.4061,33,-2.3069,229,1.37477
ENSG00000067606,PRKCZ,97,-1.1545,243,0.30426,173,-0.2940,200,-0.0434,226,0.26189
ENSG00000162585,FAAP20,78,0.40209,60,-0.0009,70,0.24840,73,0.29911,51,-0.4239
ENSG00000157933,SKI,50,0.66246,25,-0.4566,38,0.20856,39,0.23429,30,-0.2357
ENSG00000157916,RER1,73,0.16152,37,-0.9352,54,-0.3270,63,-0.0713,81,0.59863
ENSG00000157911,PEX10,32,0.17042,27,-0.1033,31,0.14174,27,-0.0816,28,-0.0602
ENSG00000149527,PLCH2,10,-1.0070,26,0.45321,23,0.21370,5,-1.8920,21,0.19490
ENSG00000157870,PRXL2B,49,-0.4726,74,0.17778,33,-1.1481,39,-0.8186,86,0.77095
ENSG00000177133,PRDM16-DT,14,-0.5060,24,0.44718,42,1.56217,18,-0.0567,9,-1.5817
ENSG00000158109,TPRG1L,137,-0.4210,185,0.05011,97,-1.0159,162,-0.1620,222,0.62507
ENSG00000130764,LRRC47,41,-0.6529,58,-0.1358,44,-0.5838,56,-0.1855,78,0.62291
ENSG00000116198,CEP104,34,0.90269,12,-0.7710,20,0.06662,30,0.69369,17,-0.3263
ENSG00000196581,AJAP1,2,-4.0166,33,-0.2117,20,-1.0269,25,-0.5862,55,1.29840
ENSG00000069424,KCNAB2,167,-0.5397,306,0.46803,155,-0.7113,64,-1.9740,289,0.58874
ENSG00000116254,CHD5,79,-0.5967,142,0.36622,72,-0.7926,145,0.36016,124,0.19296
ENSG00000116251,RPL22,1403,1.45036,551,-0.1329,772,0.47753,724,0.31625,352,-1.1730
ENSG00000116237,ICMT,27,-0.6208,28,-0.6332,20,-1.1495,20,-1.0626,61,1.32989
ENSG00000158292,GPR153,4,-2.0602,21,0.39713,15,-0.1478,2,-2.6465,21,0.65444
ENSG00000097021,ACOT7,140,-1.0936,271,-0.0851,149,-1.0767,205,-0.5108,388,0.97629
ENSG00000171680,PLEKHG5,19,-0.3636,28,0.22061,16,-0.6814,3,-3.0471,32,0.77949
ENSG00000162408,NOL9,19,-0.7274,27,-0.1579,24,-0.3876,26,-0.1870,36,0.55840
ENSG00000162413,KLHL21,26,-0.1852,15,-1.0263,19,-0.6880,50,0.91128,34,0.50178
ENSG00000116273,PHF13,13,-0.2889,11,-0.5493,6,-1.4440,16,0.08437,22,0.97629
ENSG00000041988,THAP3,12,-0.7882,22,0.21014,14,-0.5477,27,0.50294,21,0.17462
ENSG00000007923,DNAJC11,40,0.33447,32,-0.0123,25,-0.4246,31,-0.0392,34,0.12875
ENSG00000171735,CAMTA1,140,-0.0022,108,-0.4435,125,-0.1895,117,-0.2741,163,0.43234
ENSG00000049245,VAMP3,58,1.05690,7,-2.2586,55,1.13446,110,2.28848,8,-2.5140
ENSG00000049246,PER3,28,0.30020,22,-0.0816,23,0.01913,35,0.69176,20,-0.3583
ENSG00000116288,PARK7,462,0.35869,385,0.07418,372,0.01035,385,0.06717,341,-0.2083
ENSG00000116285,ERRFI1,13,-0.5318,19,0.02975,9,-1.2164,35,0.97794,21,0.25472
ENSG00000162426,SLC45A1,20,-0.9529,30,-0.4088,14,-1.5417,24,-0.7195,57,1.34605
ENSG00000142599,RERE,121,0.28670,79,-0.4135,93,-0.1423,87,-0.2306,111,0.27552
ENSG00000074800,ENO1,458,-0.5168,583,-0.1540,655,0.04985,512,-0.3422,712,0.30962
ENSG00000171612,SLC25A33,31,0.16990,28,0.02431,38,0.54409,23,-0.3049,24,-0.3524
ENSG00000188807,TMEM201,4,-1.6283,11,-0.3885,11,-0.3453,15,0.18425,17,0.68522
ENSG00000171603,CLSTN1,354,-0.7095,460,-0.3319,266,-1.2256,376,-0.6142,791,1.11956
ENSG00000178585,CTNNBIP1,36,0.10316,25,-0.5050,48,0.64334,52,0.67876,28,-0.4926
ENSG00000162441,LZIC,42,0.53303,25,-0.2734,34,0.22462,59,1.10867,22,-0.7276
ENSG00000130939,UBE4B,20,-0.7817,30,-0.1826,27,-0.3963,38,0.20034,40,0.45828
ENSG00000054523,KIF1B,141,-0.8774,257,0.05306,204,-0.3454,361,0.60122,263,0.15009
ENSG00000142657,PGD,42,-0.1547,33,-0.5307,30,-0.7039,54,0.25417,56,0.59723
ENSG00000241563,CORT,57,-0.9369,36,-1.7084,53,-1.1188,18,-2.6540,179,2.07412
ENSG00000160049,DFFA,44,0.66020,12,-1.3797,45,0.79761,37,0.35419,25,-0.3648
ENSG00000142655,PEX14,4,-2.4275,16,-0.4965,17,-0.3845,9,-1.2680,31,1.22219
