"top","model_type","test","gene","stat","pval","fdr","gene_index","logFC","ensembl"
1,"enrichment","Oligo.1","EMC10",6.23614582141388,3.13580111838704e-09,2.92932067551479e-06,10883,0.682266920820942,"ENSG00000161671"
2,"enrichment","Oligo.1","OMG",5.98286968826825,1.16548771852292e-08,5.89736785572598e-06,9691,0.461042689696931,"ENSG00000126861"
3,"enrichment","Oligo.1","PRKACB",5.67920012955362,5.37816808820127e-08,1.46292402847928e-05,463,0.323645902832867,"ENSG00000142875"
4,"enrichment","Oligo.1","KBTBD3",5.6268227230817,6.96552535777143e-08,1.58411627937424e-05,7085,0.586634745960438,"ENSG00000182359"
5,"enrichment","Oligo.1","SYT11",5.62454687997054,7.04399531342301e-08,1.58411627937424e-05,738,0.297794802388646,"ENSG00000132718"
6,"enrichment","Oligo.1","SAR1B",5.60365936008179,7.80570161849954e-08,1.62984154293839e-05,3700,0.446794489196378,"ENSG00000152700"
7,"enrichment","Oligo.1","CDC42BPA",5.57372285846645,9.03932982525752e-08,1.77054228061173e-05,1048,0.342996372467919,"ENSG00000143776"
8,"enrichment","Oligo.1","MARCHF1",5.48682681583029,1.37989904781651e-07,2.24936692081425e-05,3235,0.411723933992332,"ENSG00000145416"
9,"enrichment","Oligo.1","NUP133",5.48493497520409,1.39259859915113e-07,2.24936692081425e-05,1060,0.377396110029859,"ENSG00000069248"
10,"enrichment","Oligo.1","CLASP2",5.45132679232086,1.63815711003342e-07,2.35002417371786e-05,2161,0.332695837932515,"ENSG00000163539"
1,"enrichment","Oligo.2","CEP170",9.51669059039065,1.23195162233887e-17,9.72353638829088e-14,1110,0.490704525862436,"ENSG00000143702"
2,"enrichment","Oligo.2","KIF5C",9.47561111203817,1.60137292297281e-17,9.72353638829088e-14,1657,0.471176826038029,"ENSG00000168280"
3,"enrichment","Oligo.2","ACTN2",9.1601142341103,1.18566487265401e-16,3.70148218456056e-13,1101,1.36257964183407,"ENSG00000077522"
4,"enrichment","Oligo.2","CPXM2",9.15569410767081,1.21919703048767e-16,3.70148218456056e-13,6557,2.74547327537551,"ENSG00000121898"
5,"enrichment","Oligo.2","MTX2",8.86538398453208,7.5349467759469e-16,1.39132444578027e-12,1752,0.569991089614921,"ENSG00000128654"
6,"enrichment","Oligo.2","KCTD8",8.8553837257622,8.01982141012999e-16,1.39132444578027e-12,2931,0.666039305433682,"ENSG00000183783"
7,"enrichment","Oligo.2","S100B",8.66086437576129,2.68360937950709e-15,3.6210835894149e-12,11449,0.718417820089189,"ENSG00000160307"
8,"enrichment","Oligo.2","GAS2",8.58928478292809,4.17468332999814e-15,5.06973543594974e-12,6726,0.771931559223869,"ENSG00000148935"
9,"enrichment","Oligo.2","LMCD1-AS1",8.50414521160021,7.04801982381207e-15,7.78101388548852e-12,2056,0.562248655104891,"ENSG00000227110"
10,"enrichment","Oligo.2","LGR4",8.4180895867585,1.19408725030444e-14,1.11546119751517e-11,6732,0.620029805236031,"ENSG00000205213"
1,"enrichment","Oligo.3","LINGO2",9.39672218748554,2.6522980579893e-17,3.22095076162221e-13,5683,1.72219028970344,"ENSG00000174482"
2,"enrichment","Oligo.3","SLC12A5",8.68924602228172,2.25481651058645e-15,9.18190068225641e-12,11217,1.78661668894375,"ENSG00000124140"
3,"enrichment","Oligo.3","SYT1",8.68686469646342,2.28829967342786e-15,9.18190068225641e-12,7617,1.38874962913752,"ENSG00000067715"
4,"enrichment","Oligo.3","AQP4",8.37155982896387,1.58863565557191e-14,3.85847828025305e-11,10175,1.42657927158236,"ENSG00000171885"
5,"enrichment","Oligo.3","KCNC2",8.24283263680505,3.47481343204584e-14,7.03302238646077e-11,7604,1.58204357319695,"ENSG00000166006"
6,"enrichment","Oligo.3","SRRM2",8.18424766350422,4.95325716806493e-14,8.59319357842579e-11,9047,0.467916813612611,"ENSG00000167978"
7,"enrichment","Oligo.3","CAMKV",7.96641898824118,1.83292375214483e-13,2.16867439804003e-10,2263,1.69232510738843,"ENSG00000164076"
8,"enrichment","Oligo.3","FBLN1",7.95181534535715,1.99985439522265e-13,2.16867439804003e-10,11671,2.33972343673468,"ENSG00000077942"
9,"enrichment","Oligo.3","MGAT4C",7.94022715106231,2.1429588913439e-13,2.16867439804003e-10,7630,1.47779258695965,"ENSG00000182050"
10,"enrichment","Oligo.3","ELAVL2",7.80129813435474,4.89003976460309e-13,4.56804945394923e-10,5675,1.4140755751059,"ENSG00000107105"
1,"enrichment","Oligo.4","TSC22D3",5.0005992813991,1.35531390476742e-06,0.00143484153298136,11973,0.338662809863638,"ENSG00000157514"
2,"enrichment","Oligo.4","DDX6",4.81741244567677,3.08621527813888e-06,0.00197257885987993,7149,0.269811913155912,"ENSG00000110367"
3,"enrichment","Oligo.4","MAPT",4.72780440272856,4.57979115297672e-06,0.00234265414249128,9815,0.305584243278102,"ENSG00000186868"
4,"enrichment","Oligo.4","METTL16",4.72732952278241,4.58931729069101e-06,0.00234265414249128,9496,0.381421315837048,"ENSG00000127804"
5,"enrichment","Oligo.4","DUSP10",4.62115933581876,7.27597456178384e-06,0.00304687707166562,1013,0.535186047182015,"ENSG00000143507"
6,"enrichment","Oligo.4","CCNH",4.59919358774005,7.99643057786145e-06,0.00317241978223264,3549,0.39342092482838,"ENSG00000134480"
7,"enrichment","Oligo.4","SGK1",4.5264276066222,1.09078040510769e-05,0.00367956589989659,4413,0.36815786793235,"ENSG00000118515"
8,"enrichment","Oligo.4","MTMR14",4.3316085108235,2.46104395332473e-05,0.0053369496016385,2065,0.34509804077974,"ENSG00000163719"
9,"enrichment","Oligo.4","ENSG00000268518",4.27916147421235,3.05019137732366e-05,0.00607208391805697,10884,0.946559512927996,"ENSG00000268518"
10,"enrichment","Oligo.4","ARPC1A",4.27539460676087,3.09734581194695e-05,0.00607208391805697,4900,0.287433814222723,"ENSG00000241685"
