"Cluster","test","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","ONTOLOGY"
"Oligo.1","Oligo","GO:0098858","actin-based cell projection","24/874","135/10167",0.177777777777778,2.06803966437834,3.83101016709011,0.000463144685883775,0.00631337977477151,0.00500151762439498,"RDX/FCHSD2/DOCK4/MYO6/CNP/EPS8/PODXL/MAP2/EPHA4/TEK/PDPN/GPM6A/EZR/ANTXR1/BAIAP2/NOS1AP/FARP1/PALM/OSBPL3/SLC7A5/IQGAP2/SYNE2/PIEZO1/UTRN",24,"CC"
"Oligo.1","Oligo","GO:0045178","basal part of cell","29/874","176/10167",0.164772727272727,1.91675551279384,3.7623412577983,0.000472519068382067,0.00631337977477151,0.00500151762439498,"CLASP2/ANK3/KCNJ10/DLG2/SLC11A2/TJP1/ERBB3/ANK2/SLC12A2/STXBP3/ANXA2/SLCO1C1/TEK/EPB41/PDPN/TFRC/EZR/SLC22A3/BMPR2/ATP2B2/ATP1B3/SLC7A1/EGFR/PALM/PHLDB2/SLC7A5/NEDD9/ABCC1/TGFBR3",29,"CC"
"Oligo.1","Oligo","GO:0044309","neuron spine","25/874","144/10167",0.173611111111111,2.01956998474447,3.77878535051346,0.000514970602424197,0.00653232000897427,0.00517496409508412,"SYT11/PDE4B/PTK2/APP/DNM3/ABHD17B/MAPT/EPHA4/SHISA6/SEPTIN11/GPM6A/SLC1A1/ABHD17C/BAIAP2/GRIA1/NEDD4/ATP2B2/ABR/FARP1/PALM/ITGA8/CAMK2A/BCR/SYNE1/ATP1A2",25,"CC"
"Oligo.1","Oligo","GO:0030016","myofibril","23/874","128/10167",0.1796875,2.09025493421053,3.8066295883834,0.000516066861415847,0.00653232000897427,0.00517496409508412,"PDE4B/ANK3/CFL2/ANK2/CMYA5/TTN/RYR1/MYOM1/SORBS2/SIMC1/SYNPO2/VCL/NOS1AP/COL6A1/TPM1/PARVA/KCNN3/SYNE1/ACTN1/CACNA1C/SYNE2/NEBL/SVIL",23,"CC"
"Oligo.1","Oligo","GO:0098984","neuron to neuron synapse","48/874","348/10167",0.137931034482759,1.60451353270733,3.51896396720952,0.000667974477144125,0.00823835188477754,0.00652649826521385,"SYT11/PDE4B/SPOCK1/DNM3/PTPRD/ABHD17B/DLG2/PKP4/ADD3/NEO1/CHD4/NAPEPLD/ADD1/GRIP1/EPS8/EPHA4/GRIN2B/ATP1B2/SHISA6/SEPTIN11/IGSF9B/CLSTN2/PAK3/SLC1A1/KALRN/ABHD17C/RAPGEF4/BAIAP2/GRIA1/CLSTN3/ADCY1/PRICKLE1/LRP8/BMPR2/ATP2B2/CAMK2G/GSG1L/PLXNC1/INPP4A/PALM/ITGA8/CAMK2A/BCR/KCNK2/CACNA1C/WWC1/PCLO/NCK2",48,"CC"
"Oligo.1","Oligo","GO:0016323","basolateral plasma membrane","25/874","147/10167",0.170068027210884,1.97835427077009,3.66415428630588,0.000705744346701004,0.00848657576907958,0.00672314351330957,"ANK3/KCNJ10/DLG2/TJP1/ERBB3/ANK2/SLC12A2/STXBP3/ANXA2/SLCO1C1/TEK/EPB41/PDPN/TFRC/EZR/SLC22A3/ATP2B2/ATP1B3/SLC7A1/EGFR/PALM/SLC7A5/NEDD9/ABCC1/TGFBR3",25,"CC"
"Oligo.1","Oligo","GO:0005604","basement membrane","13/874","56/10167",0.232142857142857,2.70045357960118,3.91304227099984,0.000740355654863969,0.00858392237103272,0.00680026238825658,"VWA1/MEGF9/ANXA2/FBLN1/COL4A2/TIMP3/COL6A1/LAMA5/COL5A1/LAMC1/LAMA4/NID1/COL15A1",13,"CC"
"Oligo.1","Oligo","GO:0032432","actin filament bundle","14/874","63/10167",0.222222222222222,2.58504958047292,3.87007389869188,0.000749531683125518,0.00858392237103272,0.00680026238825658,"PTK2/TEK/SEPTIN11/EVL/SYNPO2/DAAM1/MICALL2/LUZP1/TPM1/ACTN1/SORBS1/ABLIM3/NEBL/ABLIM1",14,"CC"
"Oligo.1","Oligo","GO:0070160","tight junction","17/874","85/10167",0.2,2.32654462242563,3.7662641828358,0.000779180858836679,0.00871595332791727,0.0069048585287363,"ANK3/TJP1/PALS1/PMP22/TJP2/JAM2/MPP7/PATJ/CYTH3/MICALL2/PARD3/LUZP1/NHS/AMOTL1/MAGI3/USP53/CGNL1",17,"CC"
"Oligo.1","Oligo","GO:0043292","contractile muscle fiber","23/874","133/10167",0.172932330827068,2.01167392164622,3.60148929068872,0.000897016429690151,0.00980602051547642,0.00776841979779509,"PDE4B/ANK3/CFL2/ANK2/CMYA5/TTN/RYR1/MYOM1/SORBS2/SIMC1/SYNPO2/VCL/NOS1AP/COL6A1/TPM1/PARVA/KCNN3/SYNE1/ACTN1/CACNA1C/SYNE2/NEBL/SVIL",23,"CC"
"Oligo.1","Oligo","GO:0005923","bicellular tight junction","16/874","79/10167",0.20253164556962,2.35599455435507,3.71040874353943,0.000955026420339428,0.0102081712929614,0.00808700734883914,"ANK3/TJP1/PALS1/PMP22/TJP2/JAM2/MPP7/PATJ/CYTH3/MICALL2/PARD3/NHS/AMOTL1/MAGI3/USP53/CGNL1",16,"CC"
