test,Green_Oligo,n,cor
OPC,COP,2934,-0.12066874438662309
OPC,MFOL,3161,-0.27903261686098996
OPC,OPC.1,2776,-0.07026517347371951
OPC,OPC.2,2454,0.07168182183379035
OPC,OPC.3,2155,0.08767531578961069
OPC,Oli.1,129,0.5821741159441781
OPC,Oli.10,12,-0.17863681528078182
OPC,Oli.11,17,-0.7115772961050514
OPC,Oli.12,378,0.39224981521437474
OPC,Oli.2,60,0.6485219981605521
OPC,Oli.3,43,-0.4268426180980935
OPC,Oli.4,511,-0.2940665346407515
OPC,Oli.5,480,-0.033395874974861614
OPC,Oli.6,108,0.12477248485080103
OPC,Oli.7,223,0.3995708608204752
OPC,Oli.8,178,0.34978749592776476
OPC,Oli.9,16,-0.5858165119287757
Oligo.1,COP,2934,0.12131642048207673
Oligo.1,MFOL,3161,0.23308509505505767
Oligo.1,OPC.1,2776,0.03335353375985149
Oligo.1,OPC.2,2454,-0.05803574119181875
Oligo.1,OPC.3,2155,-0.0899607410484808
Oligo.1,Oli.1,129,-0.4743699465667646
Oligo.1,Oli.10,12,0.4927797303156882
Oligo.1,Oli.11,17,0.8252845128674134
Oligo.1,Oli.12,378,-0.41474133524764295
Oligo.1,Oli.2,60,-0.7423005636166484
Oligo.1,Oli.3,43,0.541634512577554
Oligo.1,Oli.4,511,0.3637178206553441
Oligo.1,Oli.5,480,-0.1357212822904483
Oligo.1,Oli.6,108,-0.26994486185625566
Oligo.1,Oli.7,223,-0.430969087989547
Oligo.1,Oli.8,178,-0.3939147690010671
Oligo.1,Oli.9,16,0.6325138277354602
Oligo.2,COP,2934,0.1273154729633888
Oligo.2,MFOL,3161,0.2500321460787574
Oligo.2,OPC.1,2776,0.06094964852722437
Oligo.2,OPC.2,2454,-0.024706210137907893
Oligo.2,OPC.3,2155,-0.05336688166101339
Oligo.2,Oli.1,129,-0.48852649843652846
Oligo.2,Oli.10,12,0.7413059498133006
Oligo.2,Oli.11,17,0.9125205548166718
Oligo.2,Oli.12,378,-0.3725491633704431
Oligo.2,Oli.2,60,-0.7893805472683553
Oligo.2,Oli.3,43,0.6259187248350121
Oligo.2,Oli.4,511,0.3488674127606672
Oligo.2,Oli.5,480,0.4334740337905751
Oligo.2,Oli.6,108,-0.29778020331292715
Oligo.2,Oli.7,223,-0.3588972686559566
Oligo.2,Oli.8,178,-0.29999268713717353
Oligo.2,Oli.9,16,0.779890444649854
Oligo.3,COP,2934,-0.03942176116152061
Oligo.3,MFOL,3161,0.08976355695052586
Oligo.3,OPC.1,2776,0.05959314573974945
Oligo.3,OPC.2,2454,-0.06797319234190885
Oligo.3,OPC.3,2155,-0.04878562918565191
Oligo.3,Oli.1,129,-0.5844505708165125
Oligo.3,Oli.10,12,-0.7747393360109838
Oligo.3,Oli.11,17,-0.4059416037935522
Oligo.3,Oli.12,378,0.07235911373040925
Oligo.3,Oli.2,60,0.3224360448333629
Oligo.3,Oli.3,43,-0.3735116636639988
Oligo.3,Oli.4,511,-0.19522705489717576
Oligo.3,Oli.5,480,-0.15313376037325035
Oligo.3,Oli.6,108,0.34024857506594486
Oligo.3,Oli.7,223,-0.3097276706038465
Oligo.3,Oli.8,178,-0.20797148532195714
Oligo.3,Oli.9,16,-0.21986678040161658
Oligo.4,COP,2934,0.10161973862622717
Oligo.4,MFOL,3161,0.2590217792529594
Oligo.4,OPC.1,2776,0.06456803757773266
Oligo.4,OPC.2,2454,-0.06992592258715585
Oligo.4,OPC.3,2155,-0.08675860813736047
Oligo.4,Oli.1,129,-0.5723529550311938
Oligo.4,Oli.10,12,-0.15284391814940296
Oligo.4,Oli.11,17,0.500053055499503
Oligo.4,Oli.12,378,-0.39388719189268445
Oligo.4,Oli.2,60,-0.5873656401665507
Oligo.4,Oli.3,43,0.26190744674807576
Oligo.4,Oli.4,511,0.26382221189383903
Oligo.4,Oli.5,480,-0.20329516201347772
Oligo.4,Oli.6,108,-0.03160511673357699
Oligo.4,Oli.7,223,-0.4110497147348377
Oligo.4,Oli.8,178,-0.40178315937827386
Oligo.4,Oli.9,16,0.3309651782625322
Oligo.5,COP,2934,0.07079728898030942
Oligo.5,MFOL,3161,0.23928399322332752
Oligo.5,OPC.1,2776,0.0505525473188307
Oligo.5,OPC.2,2454,-0.0828389086805509
Oligo.5,OPC.3,2155,-0.044870915154683944
Oligo.5,Oli.1,129,-0.6093802799057929
Oligo.5,Oli.10,12,-0.05922299058126199
Oligo.5,Oli.11,17,0.5882051482955829
Oligo.5,Oli.12,378,-0.2519585278900038
Oligo.5,Oli.2,60,-0.5058262713860945
Oligo.5,Oli.3,43,0.23075455579803486
Oligo.5,Oli.4,511,0.13747125322473286
Oligo.5,Oli.5,480,0.10400179499316807
Oligo.5,Oli.6,108,0.07377642816523712
Oligo.5,Oli.7,223,-0.3117050224651518
Oligo.5,Oli.8,178,-0.23821291075994827
Oligo.5,Oli.9,16,0.5438020070681155
