test,Macnair_Oligo,n,cor
OPC,COP,1014,0.46667399314615243
OPC,OPC_1,1762,0.9159142652864991
OPC,OPC_2,964,0.9019752109954186
OPC,Oligo_A,2102,-0.39926419519770767
OPC,Oligo_Astro,217,0.072858785049245825
OPC,Oligo_B,2553,-0.7409562106277668
OPC,Oligo_C,2646,-0.8102358805916677
OPC,Oligo_D,2328,-0.347116870623368
OPC,Oligo_E,2258,-0.5492103428841697
OPC,Oligo_F,2026,-0.14107576741591274
OPC,Oligo_G,1753,-0.13031565246982016
Oligo.1,COP,1014,-0.45554262413075686
Oligo.1,OPC_1,1762,-0.8937333385336089
Oligo.1,OPC_2,964,-0.8628265329053098
Oligo.1,Oligo_A,2102,0.49826585591440153
Oligo.1,Oligo_Astro,217,-0.32335002749953157
Oligo.1,Oligo_B,2553,0.8013506198444975
Oligo.1,Oligo_C,2646,0.7456493936957708
Oligo.1,Oligo_D,2328,0.12499871110964618
Oligo.1,Oligo_E,2258,0.45739473603692943
Oligo.1,Oligo_F,2026,0.10632798212077758
Oligo.1,Oligo_G,1753,0.05364131514075347
Oligo.2,COP,1014,-0.45530833845504853
Oligo.2,OPC_1,1762,-0.8997727638151967
Oligo.2,OPC_2,964,-0.8735064243773177
Oligo.2,Oligo_A,2102,0.27853313323699314
Oligo.2,Oligo_Astro,217,-0.3809695433379949
Oligo.2,Oligo_B,2553,0.6101478083517261
Oligo.2,Oligo_C,2646,0.8743138843398901
Oligo.2,Oligo_D,2328,0.6284762663192096
Oligo.2,Oligo_E,2258,0.34032435250029114
Oligo.2,Oligo_F,2026,0.0895124846055884
Oligo.2,Oligo_G,1753,0.016688681848815782
Oligo.3,COP,1014,0.1752403325169538
Oligo.3,OPC_1,1762,0.49262069053044977
Oligo.3,OPC_2,964,0.47724581442094993
Oligo.3,Oligo_A,2102,0.23691568827916315
Oligo.3,Oligo_Astro,217,0.581091732173341
Oligo.3,Oligo_B,2553,0.4824079666204613
Oligo.3,Oligo_C,2646,0.48290344701002436
Oligo.3,Oligo_D,2328,0.2314978423019509
Oligo.3,Oligo_E,2258,0.6246578635494894
Oligo.3,Oligo_F,2026,0.16908721578055325
Oligo.3,Oligo_G,1753,0.250631567109946
Oligo.4,COP,1014,-0.4580047414167622
Oligo.4,OPC_1,1762,-0.7970533837403139
Oligo.4,OPC_2,964,-0.7474187826704308
Oligo.4,Oligo_A,2102,0.45232392553982703
Oligo.4,Oligo_Astro,217,-0.03109299136536748
Oligo.4,Oligo_B,2553,0.7912172407257807
Oligo.4,Oligo_C,2646,0.7088821105918616
Oligo.4,Oligo_D,2328,0.09091357083436323
Oligo.4,Oligo_E,2258,0.5977411233110131
Oligo.4,Oligo_F,2026,0.1200432322361767
Oligo.4,Oligo_G,1753,0.10462514210944042
Oligo.5,COP,1014,-0.1990203312492934
Oligo.5,OPC_1,1762,-0.397722788330845
Oligo.5,OPC_2,964,-0.3399514424454549
Oligo.5,Oligo_A,2102,0.31040648008684
Oligo.5,Oligo_Astro,217,0.3052415029418866
Oligo.5,Oligo_B,2553,0.618663049367259
Oligo.5,Oligo_C,2646,0.7369290485615148
Oligo.5,Oligo_D,2328,0.3704194672030246
Oligo.5,Oligo_E,2258,0.5293268799746876
Oligo.5,Oligo_F,2026,0.11416883799153837
Oligo.5,Oligo_G,1753,0.18589073421089372
