Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to12,Feature log2 fold change topic 4to12
ENSG00000188976,NOC2L,284,3.05383,37,-0.5802,2,-4.4337,37,-1.5369
ENSG00000188290,HES4,284,1.61065,80,-0.4712,64,-0.8189,97,-0.5491
ENSG00000187608,ISG15,284,0.90230,90,-0.9040,67,-1.3536,168,0.19173
ENSG00000078808,SDF4,284,1.20674,273,1.14176,231,0.85490,94,-1.4794
ENSG00000160087,UBE2J2,284,2.79489,1,-5.0595,2,-4.5875,49,-0.9597
ENSG00000131584,ACAP3,284,1.62981,105,-0.0286,2,-5.3265,100,-0.3875
ENSG00000127054,INTS11,284,1.90830,2,-5.6518,359,2.38533,52,-2.0402
ENSG00000107404,DVL1,284,2.27586,33,-1.3003,34,-1.2231,64,-0.8710
ENSG00000175756,AURKAIP1,284,1.51855,1,-5.9659,104,-0.1443,109,-0.2515
ENSG00000221978,CCNL2,284,2.50470,1,-5.2447,31,-1.2190,57,-0.8806
ENSG00000242485,MRPL20,284,1.32151,17,-2.9508,293,1.37842,104,-0.9270
ENSG00000179403,VWA1,284,0.38564,161,-0.5046,143,-0.6855,231,0.24203
ENSG00000205090,TMEM240,284,2.72223,69,0.14540,23,-1.4900,42,-1.5715
ENSG00000160075,SSU72,284,1.50782,88,-0.4116,8,-3.8362,111,-0.1915
ENSG00000078369,GNB1,284,0.35718,192,-0.2552,147,-0.6661,233,0.16425
ENSG00000067606,PRKCZ,284,2.22103,32,-1.3541,2,-4.9667,70,-0.5952
ENSG00000162585,FAAP20,284,1.64105,1,-5.8695,287,1.66525,79,-1.2736
ENSG00000157933,SKI,284,2.45425,1,-5.2783,112,0.74545,50,-1.3949
ENSG00000157916,RER1,284,1.98910,90,0.02920,93,0.06916,66,-1.2203
ENSG00000157870,PRXL2B,284,2.88735,1,-5.0033,46,-0.3768,41,-1.4139
ENSG00000158109,TPRG1L,284,2.08619,1,-5.5346,223,1.62362,56,-1.5809
