sample_id,n,min_sum_umi,median_sum_umi,max_sum_umi,min_sum_gene,median_sum_gene,max_sum_gene,min_expr_chrM_ratio,median_expr_chrM_ratio,max_expr_chrM_ratio,n_low_lib_edge,n_scran_discard,note
Br1039,3919,18,2978,28150,17,1544,6920,0.05,0.22,0.43,10,240,good
Br1289,3663,29,4326,29613,29,1935,6623,0.07,0.25,0.48,32,209,"one out tissue spot, tissue piece top right"
Br1556,3534,11,3651,19716,10,1700.5,5681,0.07,0.25,0.45,60,270,"line of spots far from tissue top left, bubble"
Br1691,4186,89,3923,16107,52,1452,4702,0.13,0.44,0.75,50,255,tears
Br1706,3754,47,3246.5,17769,44,1602,5378,0.01,0.24,0.41,69,186,large tare (looks okay) left edge folded
Br2305,3082,98,4394.5,28740,91,2141.5,7327,0.03,0.16,0.37,27,110,good
Br2582,2396,4,2774,15177,4,1297,4732,0.04,0.29,0.61,64,239,good
Br3974,2728,2,1259,15746,2,722.5,5030,0,0.24,0.76,15,123,good
Br5161,4700,100,4749.5,25536,79,2006,6151,0.09,0.28,0.51,48,115,okay
Br5212,4677,38,2727,20158,38,1528,5775,0.05,0.15,0.33,40,281,good
Br5276,4057,1,844,7182,1,291,2335,0,0.6,1,39,305,remove tail
Br5367,2843,140,5308,24568,115,2384,6589,0.03,0.22,0.37,34,113,3 out tissue spots
Br5415,3865,48,3567,21279,34,1668,5793,0.07,0.27,0.52,21,207,some out edge
Br5426,4840,59,3610,36299,51,1750.5,7735,0.05,0.2,0.41,25,60,okay
Br5460,4059,147,4408,20526,125,2207,5956,0.04,0.15,0.33,59,188,tail and out_edge
Br5517,3851,15,3474,22907,14,1610,6338,0.07,0.28,0.59,24,375,tail
Br5529,4583,19,1674,11659,14,609,4064,0.04,0.5,0.84,36,410,tear on edge
Br5599,4820,39,5056,29933,36,2239.5,6792,0.06,0.2,0.48,94,439,some out edge
Br5634,4843,75,5939,32645,68,2585,7150,0.03,0.17,0.41,48,243,okay
Br5712,3406,38,2633,13863,35,1079,4204,0.07,0.37,0.81,27,239,"folded edges, tail"
Br5832,3560,64,3724,26169,59,1836,6350,0.05,0.18,0.36,10,213,"okay, circle form"
Br5854,3580,28,4321.5,31086,23,1880,6878,0.08,0.26,0.53,26,116,folded edge
Br5941,4872,57,3996,39355,52,1806,7534,0.05,0.22,0.4,72,530,okay
Br6085,4031,22,3513,20707,22,1805,5677,0.06,0.18,0.4,80,299,"large hole, large torn edge"
Br6098,4601,6,3253,25744,6,1562,6550,0.05,0.26,0.55,91,478,"deteched tissue, weird folded edge"
Br6161,4880,69,2873,11449,43,1190,4147,0.1,0.41,0.73,34,142,out edge
Br6263,3231,53,1616,9527,30,826,3677,0.1,0.34,0.64,55,115,out edge
Br6321,3647,49,1574,14328,44,952,5009,0.06,0.2,0.42,11,31,torn edge with high and low UMI
Br6423,4335,86,4618,25395,78,2201,6555,0.05,0.16,0.32,49,188,out edge
Br6476,3989,50,6335,23335,35,2595,6544,0.06,0.21,0.42,70,138,out edge
Br6538,4214,8,1127.5,26520,8,716.5,6608,0.04,0.17,0.46,0,91,"tears, but no low edge spots (?)"
