sample_id	position	position detail
Br2582	Anterior	anterior AMY
Br5367	Anterior	AMY
Br5161	Anterior	posterior AMY
Br6119	Middle	HPC-AMY junction
Br6161	Middle	HPC-AMY junction
Br6222	Middle	HPC-AMY junction
Br6297	Middle	HPC-AMY junction
Br6423	Middle	HPC-AMY junction
Br6538	Middle	HPC-AMY junction
Br5212	Posterior	anterior HPC
Br5276	Posterior	anterior HPC
Br5415	Posterior	anterior HPC
Br5426	Posterior	anterior HPC
Br5517	Posterior	anterior HPC
Br5634	Posterior	anterior HPC
Br5712	Posterior	anterior HPC
Br6263	Posterior	anterior HPC
Br6321	Posterior	anterior HPC
Br1289	Posterior	anterior HPC
