"sample_id","n","min_sum_umi","median_sum_umi","max_sum_umi","min_sum_gene","median_sum_gene","max_sum_gene","min_expr_chrM_ratio","median_expr_chrM_ratio","max_expr_chrM_ratio","n_low_lib_edge","n_scran_discard"
"Br1039",3919,18,2978,28150,17,1544,6920,0.0526315789473684,0.222516556291391,0.428571428571429,10,240
"Br1289",3663,29,4326,29613,29,1935,6623,0.0710162191881243,0.250257466529351,0.479985035540591,32,209
"Br1556",3534,11,3651,19716,10,1700.5,5681,0.0737179487179487,0.245208290376358,0.454157782515991,60,270
"Br1691",4186,89,3923,16107,52,1452,4702,0.133393117363524,0.437259318360928,0.747133373566687,50,255
"Br1706",3754,47,3246.5,17769,44,1602,5378,0.00537634408602151,0.236221768244962,0.41090358404846,69,186
"Br2305",3082,98,4394.5,28740,91,2141.5,7327,0.0250463821892393,0.155761909574826,0.36983842010772,27,110
"Br2582",2396,4,2774,15177,4,1297,4732,0.036231884057971,0.285857543980288,0.608017817371938,64,239
"Br3974",2728,2,1259,15746,2,722.5,5030,0,0.236083042075814,0.764705882352941,15,123
"Br5161",4700,100,4749.5,25536,79,2006,6151,0.0885047896709704,0.282645566616508,0.508884940026655,48,115
"Br5212",4677,38,2727,20158,38,1528,5775,0.0467289719626168,0.148058252427184,0.330040871934605,40,281
"Br5276",4057,1,844,7182,1,291,2335,0,0.604340567612688,1,39,305
"Br5367",2843,140,5308,24568,115,2384,6589,0.0320440429136081,0.215312662393903,0.369423558897243,34,113
"Br5415",3865,48,3567,21279,34,1668,5793,0.0739137672715166,0.270114942528736,0.518340348767288,21,207
"Br5426",4840,59,3610,36299,51,1750.5,7735,0.0463184847191675,0.200336936850002,0.406786590351594,25,60
"Br5460",4059,147,4408,20526,125,2207,5956,0.0441850771154648,0.14515455304929,0.326931870141747,59,188
"Br5517",3851,15,3474,22907,14,1610,6338,0.0711243611584327,0.275070213117462,0.590604026845638,24,375
"Br5529",4583,19,1674,11659,14,609,4064,0.0369230769230769,0.501004419445561,0.836641221374046,36,410
"Br5599",4820,39,5056,29933,36,2239.5,6792,0.0623678646934461,0.200238611418174,0.482302348660271,94,439
"Br5634",4843,75,5939,32645,68,2585,7150,0.0319148936170213,0.174651902203706,0.413356612832824,48,243
"Br5712",3406,38,2633,13863,35,1079,4204,0.0739782721158821,0.369137933842571,0.812182741116751,27,239
"Br5832",3560,64,3724,26169,59,1836,6350,0.0539240506329114,0.179421303735606,0.360154312482778,10,213
"Br5854",3580,28,4321.5,31086,23,1880,6878,0.0799815071659732,0.263571550430008,0.527127003699137,26,116
"Br5941",4872,57,3996,39355,52,1806,7534,0.0480507706255666,0.217373674688076,0.399122807017544,72,530
"Br6085",4031,22,3513,20707,22,1805,5677,0.0646212326907412,0.182058629050033,0.398523985239852,80,299
"Br6098",4601,6,3253,25744,6,1562,6550,0.0499322799097065,0.257626178591237,0.546666666666667,91,478
"Br6161",4880,69,2873,11449,43,1190,4147,0.101153212520593,0.405038884767428,0.725333333333333,34,142
"Br6263",3231,53,1616,9527,30,826,3677,0.103400093153237,0.337787676317743,0.636020744931636,55,115
"Br6321",3647,49,1574,14328,44,952,5009,0.0557519280205656,0.202681388012618,0.415292353823088,11,31
"Br6423",4335,86,4618,25395,78,2201,6555,0.0543239464749351,0.16223875309954,0.316986496090974,49,188
"Br6476",3989,50,6335,23335,35,2595,6544,0.0568927789934354,0.210143730381629,0.42,70,138
"Br6538",4214,8,1127.5,26520,8,716.5,6608,0.0434782608695652,0.174635753444505,0.460850111856823,0,91
