Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000188290,HES4,16,-4.1158,407,0.76302,1,-7.8688,127,-1.1053,135,-1.0144,16,-4.1524,1608,4.16472,0,-8.9916,12,-4.5366
ENSG00000131584,ACAP3,16,-3.6884,407,1.29710,608,2.11524,304,0.77161,144,-0.4611,16,-3.7239,1,-6.8475,27,-2.9405,205,0.10501
ENSG00000175756,AURKAIP1,760,1.50705,407,0.38496,315,-0.0349,288,-0.1781,69,-2.3462,534,0.85400,272,-0.2700,58,-2.6040,194,-0.8010
ENSG00000179403,VWA1,16,-3.9725,407,0.93886,1,-7.7251,223,-0.0714,69,-1.8696,215,-0.1307,291,0.36409,146,-0.7362,732,2.09396
ENSG00000160075,SSU72,16,-3.7080,407,1.26987,337,0.92741,183,-0.1002,105,-0.9656,16,-3.7450,489,1.62786,18,-3.5205,182,-0.1134
ENSG00000078369,GNB1,16,-4.4425,407,0.37889,141,-1.2906,597,1.04657,288,-0.1829,525,0.81684,538,0.85892,16,-4.4387,379,0.26324
ENSG00000067606,PRKCZ,16,-5.2825,3973,4.70064,589,0.03346,43,-3.8961,110,-2.5178,16,-5.3171,157,-2.0026,79,-3.0070,209,-1.5746
ENSG00000069424,KCNAB2,16,-3.6247,407,1.37979,755,2.74328,213,0.23749,185,0.00654,16,-3.6606,63,-1.6443,0,-8.5036,0,-8.6546
ENSG00000116254,CHD5,16,-4.2821,407,0.56594,1641,3.76442,207,-0.5314,315,0.13986,16,-4.3183,1,-7.4318,0,-9.1565,0,-9.3075
ENSG00000116251,RPL22,16,-5.8938,407,-1.2083,217,-2.1505,648,-0.4892,462,-1.0151,906,0.04642,1144,0.43106,2323,1.72877,1806,1.23791
ENSG00000171735,CAMTA1,24,-4.8305,3937,4.24255,856,0.52971,165,-2.0357,233,-1.5213,16,-5.4264,190,-1.8308,76,-3.1733,100,-2.7688
ENSG00000116288,PARK7,637,1.32923,407,0.52584,48,-2.7536,419,0.57668,183,-0.7616,16,-4.3521,581,1.15707,165,-0.9198,209,-0.5548
ENSG00000074800,ENO1,16,-5.0829,407,-0.3395,908,1.00565,1849,2.46578,472,-0.1028,16,-5.1184,397,-0.3793,60,-3.2175,400,-0.3637
ENSG00000171603,CLSTN1,16,-5.1854,407,-0.4525,1964,2.43788,787,0.62726,314,-0.8559,702,0.43327,380,-0.5575,24,-4.6030,266,-1.1077
ENSG00000054523,KIF1B,16,-4.3167,407,0.52562,611,1.24865,447,0.68775,199,-0.6267,16,-4.3527,154,-1.0229,345,0.24962,470,0.77646
ENSG00000116661,FBXO2,16,-3.8282,407,1.11806,280,0.46124,833,2.63348,212,0.00054,16,-3.8638,41,-2.4842,4,-5.8775,96,-1.2305
ENSG00000132879,FBXO44,16,-3.6979,407,1.28502,840,2.89503,133,-0.5877,99,-1.0484,16,-3.7334,84,-1.2984,54,-1.9546,91,-1.1746
ENSG00000116786,PLEKHM2,16,-3.5284,407,1.50783,173,0.01314,211,0.33465,142,-0.3074,264,0.71674,242,0.56950,47,-1.9840,45,-2.0362
ENSG00000077549,CAPZB,16,-5.5591,3997,3.80022,694,-0.0109,277,-1.4403,153,-2.3194,394,-0.9018,444,-0.7182,94,-3.0286,219,-1.7892
ENSG00000173436,MICOS10,16,-4.6597,407,0.13058,331,-0.2031,365,-0.0469,157,-1.3591,696,1.05217,540,0.60676,581,0.73258,286,-0.4353
ENSG00000158747,NBL1,16,-4.1190,407,0.76048,580,1.40855,384,0.66164,243,-0.0973,167,-0.6863,510,1.16570,0,-8.8688,18,-3.9760
ENSG00000162545,CAMK2N1,16,-5.1777,407,-0.4432,497,-0.1245,936,0.94173,753,0.56175,16,-5.2130,423,-0.3799,672,0.37018,1112,1.25699
ENSG00000158828,PINK1,975,1.78312,407,0.19891,2,-7.4066,713,1.17307,217,-0.7965,20,-4.3106,377,0.07699,181,-1.0765,347,-0.0572
ENSG00000127483,HP1BP3,16,-5.3292,3961,4.48823,110,-2.5681,178,-1.8645,107,-2.6187,16,-5.3663,625,0.07577,86,-2.9333,270,-1.2364
ENSG00000076864,RAP1GAP,16,-4.0210,407,0.87814,1115,3.06974,144,-0.8112,168,-0.5811,172,-0.5434,102,-1.3464,34,-2.9711,18,-3.9004
ENSG00000070831,CDC42,16,-4.4051,407,0.42218,339,0.12053,266,-0.2713,148,-1.1831,748,1.51853,411,0.44006,137,-1.2901,362,0.22789
ENSG00000142676,RPL11,25,-6.0109,411,-1.9669,89,-4.2008,918,-0.7524,622,-1.3482,3113,1.29099,2863,1.13505,3318,1.41220,1930,0.44243
ENSG00000001461,NIPAL3,16,-3.2620,407,1.87704,34,-2.1691,26,-2.5850,66,-1.2142,16,-3.2978,65,-1.2216,262,1.02628,397,1.82906
ENSG00000169504,CLIC4,16,-3.8359,407,1.10835,53,-2.1118,68,-1.7574,64,-1.8512,211,-0.0154,517,1.56524,30,-2.9285,547,1.67692
ENSG00000117632,STMN1,16,-5.1895,407,-0.4563,1453,1.76503,259,-1.1524,186,-1.6499,16,-5.2252,504,-0.1140,522,-0.0600,1508,1.84187
ENSG00000142669,SH3BGRL3,16,-4.6696,407,0.11918,407,0.11942,168,-1.2660,141,-1.5293,878,1.47555,837,1.38350,150,-1.4388,399,0.08637
ENSG00000198830,HMGN2,16,-4.2312,407,0.62683,1,-7.9821,194,-0.5764,105,-1.5166,595,1.31128,616,1.37558,220,-0.3809,358,0.41259
ENSG00000090273,NUDC,16,-3.4933,407,1.55464,96,-0.8836,231,0.52572,116,-0.5919,16,-3.5290,131,-0.3917,108,-0.6935,391,1.47938
ENSG00000126709,IFI6,16,-4.0495,407,0.84385,1,-7.8021,223,-0.1616,177,-0.5243,204,-0.3044,937,2.54685,122,-1.1016,131,-0.9912
ENSG00000130770,ATP5IF1,16,-3.4630,407,1.59630,1,-7.2197,326,1.17276,78,-1.1557,16,-3.4984,242,0.64574,163,-0.0153,231,0.56553
ENSG00000162512,SDC3,16,-4.3393,407,0.49908,539,0.99002,718,1.52843,267,-0.1928,213,-0.5490,143,-1.1624,216,-0.5239,188,-0.7397
ENSG00000121753,ADGRB2,16,-4.0116,407,0.89092,995,2.76910,329,0.52419,199,-0.3014,16,-4.0471,127,-0.9918,0,-8.8870,70,-1.8870
ENSG00000184007,PTP4A2,16,-5.2354,407,-0.5059,1,-8.9821,171,-1.8236,256,-1.2176,606,0.13252,515,-0.1322,1887,2.26405,1169,1.27601
ENSG00000175130,MARCKSL1,16,-5.3792,407,-0.6612,134,-2.3280,678,0.15285,276,-1.2530,1081,0.95159,301,-1.1247,314,-1.0574,2345,2.54652
ENSG00000121905,HPCA,16,-4.4756,407,0.34145,1579,3.17565,337,0.03461,181,-0.9439,331,0.00137,108,-1.7212,0,-9.3467,14,-4.6811
ENSG00000134686,PHC2,16,-3.6709,407,1.31938,106,-0.9197,162,-0.2503,72,-1.4909,16,-3.7037,524,1.82217,56,-1.8735,348,1.03434
ENSG00000116560,SFPQ,16,-3.6008,407,1.41151,1,-7.3562,214,0.27640,134,-0.4816,357,1.16574,236,0.44166,34,-2.5516,229,0.39086
