"","cluster","contrast","n_FDR05","nUP","nDown"
"1","Astro","carrier_F",0,0,0
"2","Astro","carrier_M",0,0,0
"3","Oligo","carrier_F",0,0,0
"4","Oligo","carrier_M",747,647,100
"5","OPC","carrier_F",0,0,0
"6","OPC","carrier_M",0,0,0
"7","Macro","carrier_F",1,1,0
"8","Macro","carrier_M",13,8,5
"9","Micro","carrier_F",0,0,0
"10","Micro","carrier_M",3,0,3
"11","Vasc","carrier_F",0,0,0
"12","Vasc","carrier_M",31,11,20
"13","Excit","carrier_F",1,0,1
"14","Excit","carrier_M",183,100,83
"15","Inhib","carrier_F",0,0,0
"16","Inhib","carrier_M",7,0,7
