"cluster","pval05","FDR05"
"Astro.1_Inhib",12,0
"Astro.1_L1a",19,0
"Astro.1_L1b",31,0
"Astro.1_L2.3",21,0
"Astro.1_L5",32,0
"Astro.1_L6",20,0
"Astro.1_Vasc",14,0
"Astro.1_WM",8,0
"Astro.1_WMtz",25,0
"Astro.2_Inhib",33,0
"Astro.2_L1a",20,0
"Astro.2_L1b",16,0
"Astro.2_L2.3",25,0
"Astro.2_L5",46,0
"Astro.2_L6",46,3
"Astro.2_Vasc",11,0
"Astro.2_WM",18,0
"Astro.2_WMtz",24,0
"Astro.3_L5",13,0
"Astro.3_L6",4,0
"Astro.3_WM",10,0
"Astro.3_WMtz",10,0
"Astro.4_L1a",4,0
"Astro.4_Vasc",9,0
"Astro.4_WM",23,0
"Astro.4_WMtz",8,0
"Astro.5_Inhib",26,0
"Astro.5_L1a",23,0
"Astro.5_L1b",11,0
"Astro.5_L2.3",21,0
"Astro.5_L5",19,0
"Astro.5_L6",47,1
"Astro.5_Vasc",22,0
"Astro.5_WM",40,0
"Astro.5_WMtz",21,0
"Excit.L2_5.1_Inhib",7,0
"Excit.L2_5.1_L1b",9,0
"Excit.L2_5.1_L2.3",17,0
"Excit.L2_5.1_L5",16,0
"Excit.L2_5.1_L6",30,0
"Excit.L2_5.1_Vasc",14,1
"Excit.L2_5.1_WM",14,0
"Excit.L2_5.1_WMtz",16,0
"Excit.L2_5.2_L1b",25,1
"Excit.L2_5.2_L2.3",28,4
"Excit.L2_5.2_L5",31,0
"Excit.L2_5.2_WMtz",15,0
"Excit.L2_Inhib",10,0
"Excit.L2_L1b",5,0
"Excit.L2_L2.3",21,0
"Excit.L2_L5",19,0
"Excit.L2_L6",9,0
"Excit.L2_Vasc",16,1
"Excit.L2_WMtz",9,0
"Excit.L5_6_NP_L5",24,0
"Excit.L5_6_NP_L6",19,0
"Excit.L5.1_L1b",4,0
"Excit.L5.1_L2.3",17,0
"Excit.L5.1_L5",25,0
"Excit.L5.1_L6",12,0
"Excit.L5.1_WMtz",12,0
"Excit.L5.2_Inhib",38,0
"Excit.L5.2_L1b",4,0
"Excit.L5.2_L2.3",39,0
"Excit.L5.2_L5",41,0
"Excit.L6_CT_L5",3,0
"Excit.L6_CT_L6",19,0
"Excit.L6_CT_WM",5,0
"Excit.L6_CT_WMtz",19,0
"Excit.L6b_L5",2,0
"Excit.L6b_L6",14,0
"Excit.L6b_WM",7,0
"Excit.L6b_WMtz",12,0
"Inhib.Chandelier_Inhib",9,0
"Inhib.Chandelier_L2.3",12,0
"Inhib.Chandelier_L5",26,2
"Inhib.Chandelier_WMtz",2,0
"Inhib.Lamp5_Lhx6_Inhib",30,0
"Inhib.Lamp5_Lhx6_L1a",12,0
"Inhib.Lamp5_Lhx6_L1b",18,0
"Inhib.Lamp5_Lhx6_L2.3",11,0
"Inhib.Lamp5_Lhx6_L5",26,0
"Inhib.Lamp5_Lhx6_L6",23,0
"Inhib.Lamp5_Lhx6_WM",11,0
"Inhib.Lamp5_Lhx6_WMtz",17,0
"Inhib.Pax6_Inhib",8,0
"Inhib.Pax6_L1a",6,0
"Inhib.Pax6_L1b",12,0
"Inhib.Pax6_L2.3",6,0
"Inhib.Pax6_L5",15,1
"Inhib.Pvalb_Inhib",16,0
"Inhib.Pvalb_L1b",12,0
"Inhib.Pvalb_L2.3",22,0
"Inhib.Pvalb_L5",40,0
"Inhib.Pvalb_L6",21,0
"Inhib.Pvalb_WM",7,0
"Inhib.Pvalb_WMtz",14,0
"Inhib.Sst_Inhib",23,0
"Inhib.Sst_L1b",6,0
"Inhib.Sst_L2.3",23,0
"Inhib.Sst_L5",36,0
"Inhib.Sst_L6",30,0
"Inhib.Sst_WM",6,0
"Inhib.Sst_WMtz",13,0
"Inhib.Vip_Inhib",13,0
"Inhib.Vip_L1a",7,0
"Inhib.Vip_L1b",12,0
"Inhib.Vip_L2.3",9,0
"Inhib.Vip_L5",12,0
"Inhib.Vip_L6",14,0
"Inhib.Vip_WM",3,0
"Inhib.Vip_WMtz",13,0
"Macro_L1a",8,0
"Macro_L1b",11,0
"Macro_L5",0,0
"Macro_Vasc",10,0
"Macro_WM",5,0
"Macro_WMtz",4,0
"Micro.2_Inhib",25,1
"Micro.2_L1a",24,0
"Micro.2_L1b",19,0
"Micro.2_L2.3",24,0
"Micro.2_L5",21,0
"Micro.2_L6",25,0
"Micro.2_Vasc",8,0
"Micro.2_WM",28,1
"Micro.2_WMtz",29,0
"Micro.3_L1a",3,0
"Micro.3_L1b",13,0
"Micro.3_L5",0,0
"Micro.3_WM",10,0
"Micro.3_WMtz",6,0
"Micro.5_Inhib",21,0
"Micro.5_L1a",18,0
"Micro.5_L1b",25,0
"Micro.5_L2.3",17,0
"Micro.5_L5",26,0
"Micro.5_L6",35,0
"Micro.5_Vasc",11,0
"Micro.5_WM",30,0
"Micro.5_WMtz",27,0
"Oligo.1_Inhib",5,0
"Oligo.1_L1a",17,0
"Oligo.1_L1b",17,0
"Oligo.1_L2.3",5,0
"Oligo.1_L5",15,0
"Oligo.1_L6",30,0
"Oligo.1_Vasc",5,0
"Oligo.1_WM",31,0
"Oligo.1_WMtz",26,0
"Oligo.2_L1a",4,0
"Oligo.2_L1b",6,1
"Oligo.2_L5",10,0
"Oligo.2_L6",16,0
"Oligo.2_Vasc",2,0
"Oligo.2_WM",44,0
"Oligo.2_WMtz",18,0
"Oligo.3_Inhib",9,0
"Oligo.3_L1a",4,0
"Oligo.3_L1b",23,0
"Oligo.3_L2.3",16,0
"Oligo.3_L5",29,0
"Oligo.3_L6",26,0
"Oligo.3_Vasc",6,0
"Oligo.3_WM",49,0
"Oligo.3_WMtz",25,0
"Oligo.4_Inhib",9,0
"Oligo.4_L1a",14,0
"Oligo.4_L1b",14,0
"Oligo.4_L2.3",4,0
"Oligo.4_L5",27,0
"Oligo.4_L6",25,0
"Oligo.4_Vasc",18,0
"Oligo.4_WM",84,8
"Oligo.4_WMtz",21,0
"Oligo.5_L2.3",4,0
"Oligo.5_L5",12,0
"Oligo.5_L6",23,2
"Oligo.5_WM",10,0
"Oligo.5_WMtz",6,0
"OPC.2_Inhib",27,0
"OPC.2_L1a",15,0
"OPC.2_L1b",24,0
"OPC.2_L2.3",14,0
"OPC.2_L5",17,0
"OPC.2_L6",14,0
"OPC.2_Vasc",16,0
"OPC.2_WM",33,0
"OPC.2_WMtz",16,0
"OPC.4_Inhib",4,0
"OPC.4_L1a",4,0
"OPC.4_L1b",3,0
"OPC.4_L2.3",14,0
"OPC.4_L5",26,0
"OPC.4_L6",8,0
"OPC.4_WM",6,0
"OPC.4_WMtz",7,0
"OPC.5_Inhib",25,0
"OPC.5_L1a",7,0
"OPC.5_L1b",13,0
"OPC.5_L2.3",6,0
"OPC.5_L5",17,0
"OPC.5_L6",31,0
"OPC.5_Vasc",10,1
"OPC.5_WM",12,0
"OPC.5_WMtz",10,0
"Vasc.Endo_Inhib",14,0
"Vasc.Endo_L1a",11,0
"Vasc.Endo_L1b",22,0
"Vasc.Endo_L2.3",21,0
"Vasc.Endo_L5",22,0
"Vasc.Endo_L6",21,0
"Vasc.Endo_Vasc",18,0
"Vasc.Endo_WM",22,0
"Vasc.Endo_WMtz",32,0
"Vasc.PC_Inhib",6,0
"Vasc.PC_L1a",17,0
"Vasc.PC_L1b",19,0
"Vasc.PC_L2.3",17,2
"Vasc.PC_L5",23,0
"Vasc.PC_L6",14,0
"Vasc.PC_Vasc",14,0
"Vasc.PC_WM",22,0
"Vasc.PC_WMtz",22,0
"Vasc.VLMC_L1a",8,0
"Vasc.VLMC_L1b",5,0
"Vasc.VLMC_Vasc",10,0
"Vasc.VLMC_WMtz",3,0
