Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7
ENSG00000188976,NOC2L,11,-1.9041,38,-0.0587,1,-5.2533,39,-0.0225,62,1.46374
ENSG00000188290,HES4,1168,3.16662,25,-3.6515,242,-0.2334,63,-2.3007,149,-1.3234
ENSG00000187608,ISG15,51,-1.1013,49,-1.1768,141,0.55776,65,-0.7306,137,0.82750
ENSG00000188157,AGRN,11,-1.6615,0,-6.6017,77,1.52038,29,-0.2176,39,0.41166
ENSG00000078808,SDF4,139,0.50669,59,-0.9073,162,0.78733,49,-1.2065,105,0.04476
ENSG00000176022,B3GALT6,12,-1.3694,6,-2.2837,65,1.47611,25,-0.2202,32,0.20903
ENSG00000160087,UBE2J2,11,-1.4258,16,-0.8842,15,-1.0614,48,0.91188,37,0.68180
ENSG00000131584,ACAP3,11,-3.1860,129,0.54120,74,-0.3928,117,0.36106,110,0.40272
ENSG00000127054,INTS11,11,-2.1139,51,0.19274,79,0.98256,41,-0.1758,45,-0.0116
ENSG00000107404,DVL1,324,2.32472,36,-1.6433,6,-4.1166,100,-0.0328,82,-0.5116
ENSG00000175756,AURKAIP1,157,0.13937,41,-1.9653,197,0.52725,188,0.44837,144,-0.0210
ENSG00000221978,CCNL2,11,-2.4696,67,0.23004,80,0.54382,19,-1.7381,77,0.78766
ENSG00000242485,MRPL20,572,1.75051,83,-1.5886,156,-0.6093,175,-0.4333,201,-0.2922
ENSG00000205090,TMEM240,11,-1.6913,1,-5.2551,27,-0.3954,66,1.18670,45,0.75760
ENSG00000160075,SSU72,196,0.12931,26,-2.9652,258,0.61007,182,0.00060,203,0.29498
ENSG00000228594,FNDC10,11,-2.1933,0,-6.7147,1,-5.6219,64,0.48191,87,2.16697
ENSG00000197530,MIB2,11,-2.1072,30,-0.6858,55,0.31546,41,-0.1690,60,0.80994
ENSG00000215790,SLC35E2A,11,-1.2212,0,-6.1908,32,0.41029,37,0.67452,32,0.64379
