Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to9,Feature log2 fold change topic 5to9
ENSG00000228794,LINC01128,17,-0.8235,27,-0.1090,30,0.05351,31,0.32197
ENSG00000188976,NOC2L,44,-0.6733,42,-0.8188,89,0.47737,77,0.50624
ENSG00000188290,HES4,201,1.40180,93,0.07318,62,-0.5803,71,-0.6496
ENSG00000187608,ISG15,123,0.66781,65,-0.4140,43,-1.0091,89,0.25869
ENSG00000188157,AGRN,64,0.61677,28,-0.7907,34,-0.3874,48,0.32454
ENSG00000131591,C1orf159,7,-0.9929,13,-0.0083,16,0.33507,14,0.16435
ENSG00000078808,SDF4,88,-0.0550,95,0.06422,98,0.10989,89,-0.0689
ENSG00000176022,B3GALT6,44,-0.1458,36,-0.4856,61,0.39264,51,0.19154
ENSG00000160087,UBE2J2,45,-0.5266,55,-0.2279,72,0.22681,67,0.24163
ENSG00000162572,SCNN1D,4,-1.6242,13,0.07272,16,0.34137,14,0.22261
ENSG00000131584,ACAP3,127,-0.0557,94,-0.5940,166,0.38627,140,0.22140
ENSG00000169972,PUSL1,16,0.33774,9,-0.5793,9,-0.5717,15,0.41798
ENSG00000127054,INTS11,51,-0.3547,48,-0.4961,52,-0.3333,75,0.58546
ENSG00000224051,CPTP,40,-0.1337,40,-0.1621,22,-1.0367,50,0.48874
ENSG00000107404,DVL1,104,0.34120,95,0.21672,95,0.19249,74,-0.3851
ENSG00000175756,AURKAIP1,175,0.11454,189,0.27157,150,-0.1343,153,-0.1942
ENSG00000221978,CCNL2,80,0.49975,53,-0.2194,50,-0.2568,60,0.01459
ENSG00000224870,MRPL20-AS1,12,-0.2174,11,-0.4133,12,-0.1839,16,0.42829
ENSG00000242485,MRPL20,138,-0.0883,150,0.05335,165,0.19622,142,-0.0857
ENSG00000235098,ANKRD65,9,-1.0338,20,0.33475,24,0.56129,16,-0.1957
