"","SpX","cluster","mod","n_genes","n_FDR05","n_pval10","nUP","nDown"
"1","Vasc~SpX3","nnA_far_APOE_low","carrier",104,0,5,1,4
"2","Vasc~SpX3","nnA_far_APOE_high","carrier",96,0,7,5,2
"3","Vasc~SpX3","nnA_near_APOE_low","carrier",77,0,0,0,0
"4","Vasc~SpX3","nnA_near_APOE_high","carrier",70,0,1,1,0
"5","L1a~SpX6","nnA_far_APOE_low","carrier",74,0,2,0,2
"6","L1a~SpX6","nnA_far_APOE_high","carrier",61,0,5,2,3
"7","L1a~SpX6","nnA_near_APOE_low","carrier",170,0,4,2,2
"8","L1a~SpX6","nnA_near_APOE_high","carrier",115,0,5,1,4
"9","L1b~SpX7","nnA_far_APOE_low","carrier",118,0,8,5,3
"10","L1b~SpX7","nnA_far_APOE_high","carrier",96,0,5,3,2
"11","L1b~SpX7","nnA_near_APOE_low","carrier",164,0,11,4,7
"12","L1b~SpX7","nnA_near_APOE_high","carrier",151,0,12,7,5
"13","L2.3~SpX4","nnA_far_APOE_low","carrier",131,0,8,4,4
"14","L2.3~SpX4","nnA_far_APOE_high","carrier",106,0,4,2,2
"15","L2.3~SpX4","nnA_near_APOE_low","carrier",84,1,2,2,0
"16","Inhib~SpX5","nnA_far_APOE_low","carrier",94,0,10,5,5
"17","Inhib~SpX5","nnA_far_APOE_high","carrier",100,0,5,2,3
"18","Inhib~SpX5","nnA_near_APOE_low","carrier",116,0,2,2,0
"19","Inhib~SpX5","nnA_near_APOE_high","carrier",109,0,4,2,2
"20","L5~SpX1","nnA_far_APOE_low","carrier",272,0,9,5,4
"21","L5~SpX1","nnA_far_APOE_high","carrier",253,0,13,10,3
"22","L5~SpX1","nnA_near_APOE_low","carrier",236,0,9,5,4
"23","L5~SpX1","nnA_near_APOE_high","carrier",251,0,21,8,13
"24","L6~SpX9","nnA_far_APOE_low","carrier",217,0,19,12,7
"25","L6~SpX9","nnA_far_APOE_high","carrier",238,0,17,11,6
"26","L6~SpX9","nnA_near_APOE_low","carrier",211,0,16,9,7
"27","L6~SpX9","nnA_near_APOE_high","carrier",221,0,17,10,7
"28","WMtz~SpX8","nnA_far_APOE_low","carrier",263,0,7,4,3
"29","WMtz~SpX8","nnA_far_APOE_high","carrier",284,0,22,6,16
"30","WMtz~SpX8","nnA_near_APOE_low","carrier",276,0,19,12,7
"31","WMtz~SpX8","nnA_near_APOE_high","carrier",289,0,25,15,10
"32","WM~SpX2","nnA_far_APOE_low","carrier",275,0,18,8,10
"33","WM~SpX2","nnA_far_APOE_high","carrier",280,0,30,14,16
"34","WM~SpX2","nnA_near_APOE_low","carrier",246,0,23,12,11
"35","WM~SpX2","nnA_near_APOE_high","carrier",265,0,35,13,22
