Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to6,Feature log2 fold change topic 5to6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8to10,Feature log2 fold change topic 8to10
ENSG00000228794,LINC01128,17,-0.0785,15,-0.2506,22,0.33360,26,0.70709,15,-0.2210,14,-0.5089
ENSG00000188976,NOC2L,13,-1.5164,22,-0.7617,61,0.93214,47,0.58562,32,-0.1321,34,-0.0392
ENSG00000188290,HES4,246,1.91310,64,-0.4470,67,-0.3277,71,-0.2743,44,-0.9893,67,-0.4060
ENSG00000187608,ISG15,188,1.08828,72,-0.5417,67,-0.5917,83,-0.3046,79,-0.3360,113,0.29390
ENSG00000188157,AGRN,17,0.11859,11,-0.6673,15,-0.1102,20,0.42266,17,0.10246,16,0.03723
ENSG00000078808,SDF4,78,0.39944,46,-0.4958,71,0.23731,68,0.18500,73,0.28451,54,-0.2473
ENSG00000176022,B3GALT6,51,0.63540,20,-0.9177,35,0.03705,41,0.31817,27,-0.3887,37,0.11999
ENSG00000160087,UBE2J2,30,-0.3929,24,-0.8384,46,0.29247,46,0.31683,42,0.11148,43,0.23261
ENSG00000131584,ACAP3,64,0.18342,43,-0.4855,63,0.16096,79,0.60632,73,0.39760,42,-0.5817
ENSG00000127054,INTS11,36,-0.3448,20,-1.3244,40,-0.1872,58,0.49027,54,0.30519,54,0.38765
ENSG00000224051,CPTP,34,0.21498,17,-0.9026,30,-0.0038,45,0.77625,18,-0.7650,31,0.04697
ENSG00000107404,DVL1,48,-0.0679,51,0.01341,36,-0.5147,46,-0.1556,62,0.31901,55,0.17111
ENSG00000175756,AURKAIP1,139,-0.4124,172,-0.0874,123,-0.6039,177,-0.0313,203,0.18898,214,0.36325
ENSG00000221978,CCNL2,57,0.55176,23,-0.9543,44,0.12185,54,0.54014,25,-0.7451,42,0.06144
ENSG00000242485,MRPL20,171,-0.2874,212,0.06410,189,-0.1241,212,0.06246,196,-0.0672,214,0.09452
