Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,13,-0.3505,6,-1.5824,33,1.12973,26,0.69725,22,0.48165,18,0.14158,25,0.63706,12,-0.4625,9,-0.8380,2,-3.2106
ENSG00000188976,NOC2L,25,-1.0670,37,-0.4414,85,0.89615,61,0.35000,83,0.86478,35,-0.5436,59,0.28375,20,-1.3701,48,-0.0449,40,-0.3169
ENSG00000188290,HES4,138,0.15680,74,-0.8140,84,-0.6295,91,-0.5029,69,-0.9209,87,-0.5754,96,-0.4125,99,-0.3633,343,1.76322,169,0.49483
ENSG00000187608,ISG15,68,-0.1467,85,0.20940,64,-0.2441,67,-0.1899,81,0.11978,74,-0.0206,47,-0.7222,45,-0.8042,145,1.10011,74,-0.0213
ENSG00000188157,AGRN,45,-0.2196,30,-0.8630,70,0.47662,38,-0.4915,54,0.06856,24,-1.2016,27,-0.9907,36,-0.5887,146,1.79355,51,-0.0339
ENSG00000078808,SDF4,60,-0.4093,70,-0.1656,92,0.27195,72,-0.1250,74,-0.0846,75,-0.0657,54,-0.5775,66,-0.2745,145,1.03771,72,-0.1343
ENSG00000176022,B3GALT6,28,-0.2854,20,-0.7776,38,0.16094,50,0.62998,41,0.28537,68,1.16243,37,0.15824,23,-0.6226,16,-1.1821,19,-0.9155
ENSG00000160087,UBE2J2,36,-0.4154,28,-0.7861,63,0.48483,61,0.42990,60,0.41137,47,-0.0013,41,-0.2223,38,-0.3364,39,-0.2843,55,0.26362
ENSG00000162572,SCNN1D,12,-0.4765,16,-0.0040,9,-0.9192,29,0.96453,32,1.13028,15,-0.1093,13,-0.2681,12,-0.4523,23,0.56038,0,-5.0992
ENSG00000131584,ACAP3,103,0.20357,78,-0.2402,115,0.37005,126,0.52793,133,0.62102,77,-0.2664,127,0.53795,67,-0.4794,53,-0.8361,32,-1.6106
ENSG00000127054,INTS11,46,-0.1736,46,-0.1677,64,0.36108,42,-0.3091,46,-0.1833,74,0.59942,34,-0.6261,49,-0.0775,66,0.42218,45,-0.2054
ENSG00000224051,CPTP,29,-0.2492,25,-0.4998,39,0.17870,29,-0.2685,31,-0.1690,37,0.12167,32,-0.1292,39,0.18313,24,-0.5492,60,0.91177
ENSG00000107404,DVL1,85,0.31720,78,0.18380,54,-0.4053,74,0.09911,64,-0.1407,63,-0.1700,57,-0.3150,93,0.46990,90,0.41122,40,-0.8771
ENSG00000175756,AURKAIP1,148,0.03923,105,-0.5087,135,-0.1080,127,-0.2122,145,-0.0022,131,-0.1627,187,0.41953,207,0.58570,103,-0.5297,160,0.15645
ENSG00000221978,CCNL2,51,-0.0122,24,-1.1341,80,0.74699,40,-0.3887,38,-0.4721,57,0.17811,39,-0.4050,43,-0.2730,85,0.84846,53,0.04774
ENSG00000242485,MRPL20,155,0.01402,101,-0.6578,139,-0.1589,157,0.03807,122,-0.3664,189,0.33505,188,0.33269,263,0.89713,145,-0.0852,75,-1.1047
ENSG00000179403,VWA1,71,1.24881,55,0.79601,10,-1.8230,10,-1.8120,14,-1.3643,10,-1.8248,9,-1.9202,46,0.49200,45,0.46962,68,1.16518
ENSG00000197785,ATAD3A,15,-0.2134,13,-0.5183,29,0.81499,19,0.11661,14,-0.4024,17,-0.0549,17,-0.0204,13,-0.4735,11,-0.7556,29,0.78603
ENSG00000205090,TMEM240,22,-0.8147,19,-0.9952,38,0.04369,49,0.44307,71,1.06996,56,0.65541,30,-0.3355,35,-0.0795,11,-1.8709,41,0.15594
ENSG00000160075,SSU72,154,-0.0480,107,-0.6224,183,0.22669,170,0.11349,210,0.45761,172,0.13091,152,-0.0710,174,0.14918,152,-0.0691,113,-0.5331
ENSG00000228594,FNDC10,15,-1.5037,24,-0.7669,23,-0.8770,72,0.97082,95,1.47132,57,0.55901,49,0.33353,38,-0.0902,28,-0.5569,0,-6.3264
ENSG00000272106,AL691432.2,18,-0.2496,12,-0.8239,24,0.19261,11,-0.9849,34,0.77910,23,0.14190,29,0.48079,24,0.18362,25,0.24805,12,-0.8667
ENSG00000197530,MIB2,46,0.05857,28,-0.7092,44,-0.0126,34,-0.4308,33,-0.4800,63,0.55761,29,-0.6520,39,-0.2063,72,0.77315,58,0.42089
ENSG00000189339,SLC35E2B,16,0.15971,11,-0.4099,18,0.35964,28,1.14687,8,-0.8971,9,-0.7099,14,-0.0097,25,0.97344,6,-1.2590,6,-1.1584
ENSG00000215790,SLC35E2A,28,-0.1498,20,-0.6348,36,0.26123,15,-1.0311,21,-0.5523,73,1.47745,31,0.02206,40,0.44656,16,-0.9795,24,-0.3507
ENSG00000008130,NADK,30,-0.2664,21,-0.7810,45,0.37063,42,0.24974,24,-0.6233,36,-0.0063,25,-0.5647,47,0.43691,46,0.42479,41,0.22741
ENSG00000078369,GNB1,412,-0.0024,357,-0.2302,534,0.41642,394,-0.0766,387,-0.1031,627,0.68654,380,-0.1345,519,0.36965,239,-0.8519,282,-0.6004
ENSG00000187730,GABRD,45,-1.1268,29,-1.7718,178,1.08454,74,-0.3549,129,0.52886,146,0.73983,163,0.93533,128,0.52532,23,-2.1018,15,-2.7344
ENSG00000067606,PRKCZ,153,-0.2602,127,-0.5552,243,0.48645,262,0.61373,307,0.88234,197,0.14498,209,0.23648,167,-0.1187,78,-1.2922,60,-1.6853
ENSG00000162585,FAAP20,84,0.61545,71,0.32563,36,-0.7313,41,-0.5394,50,-0.2400,92,0.75353,35,-0.7605,72,0.34210,82,0.56301,16,-1.9061
ENSG00000157933,SKI,36,0.04428,28,-0.3753,18,-1.0035,53,0.66835,48,0.51650,31,-0.1856,41,0.23755,17,-1.0709,36,0.03379,43,0.31422
ENSG00000157916,RER1,66,0.19735,57,-0.0442,96,0.82072,45,-0.3979,40,-0.5830,56,-0.0689,44,-0.4502,63,0.11488,76,0.41929,41,-0.5376
ENSG00000157911,PEX10,53,0.72043,29,-0.2644,32,-0.0717,26,-0.4249,36,0.08881,42,0.35638,14,-1.3069,35,0.06026,18,-0.9768,54,0.75692
ENSG00000149527,PLCH2,36,0.53835,13,-1.0910,42,0.79989,26,0.03553,36,0.51002,28,0.12333,20,-0.3932,42,0.79372,16,-0.7730,0,-5.7798
ENSG00000197921,HES5,83,1.72830,28,-0.1518,7,-2.0804,24,-0.3576,38,0.33011,35,0.21932,16,-0.9689,64,1.24316,6,-2.3175,4,-2.9958
ENSG00000157870,PRXL2B,40,-0.5755,49,-0.2617,79,0.49373,50,-0.2261,99,0.88875,81,0.53068,41,-0.5464,82,0.56672,28,-1.1045,31,-0.9700
ENSG00000177133,PRDM16-DT,52,0.96910,27,-0.0963,5,-2.5489,30,0.06202,24,-0.2534,18,-0.7032,7,-2.1634,84,1.88034,23,-0.3676,17,-0.7571
ENSG00000158109,TPRG1L,123,-0.1381,67,-1.0692,220,0.81517,127,-0.0910,157,0.25171,123,-0.1338,218,0.79992,127,-0.0928,89,-0.6521,92,-0.5898
ENSG00000130764,LRRC47,48,-0.5487,41,-0.7701,113,0.83430,61,-0.1797,105,0.70478,80,0.26212,74,0.13076,67,-0.0177,49,-0.5041,42,-0.7337
ENSG00000196581,AJAP1,16,-0.9555,16,-0.9737,42,0.56625,31,0.08587,45,0.70065,37,0.35461,49,0.83588,32,0.13676,6,-2.4195,22,-0.4874
ENSG00000069424,KCNAB2,226,0.18708,173,-0.2416,246,0.32314,183,-0.1490,290,0.59662,170,-0.2659,334,0.83981,252,0.36819,92,-1.2069,46,-2.2372
ENSG00000116254,CHD5,60,-0.9057,84,-0.3797,123,0.21718,264,1.54355,177,0.82274,95,-0.1892,137,0.39466,77,-0.5308,22,-2.3552,35,-1.6975
ENSG00000116251,RPL22,624,0.01506,854,0.52852,330,-0.9773,356,-0.8590,237,-1.4782,378,-0.7706,533,-0.2346,475,-0.4174,1429,1.43619,965,0.73454
ENSG00000116237,ICMT,34,-0.0695,14,-1.4507,58,0.78910,35,-0.0554,35,-0.0356,40,0.17727,42,0.24019,32,-0.1973,26,-0.5010,44,0.30855
ENSG00000158292,GPR153,14,-0.4490,12,-0.6456,18,-0.0565,28,0.62210,16,-0.3156,36,1.03752,22,0.24875,17,-0.1597,11,-0.7811,15,-0.3466
ENSG00000097021,ACOT7,101,-0.9002,84,-1.1770,423,1.46707,114,-0.7140,247,0.51457,248,0.52607,264,0.62939,195,0.13050,100,-0.9059,22,-3.1299
ENSG00000215788,TNFRSF25,19,0.17361,11,-0.6235,23,0.55488,29,0.89007,16,-0.0798,15,-0.1919,30,0.96357,11,-0.5820,4,-2.1391,9,-0.9406
ENSG00000171680,PLEKHG5,23,-0.3732,24,-0.3167,39,0.42860,39,0.45196,36,0.31302,33,0.16703,36,0.31200,42,0.54778,24,-0.3120,0,-5.9753
ENSG00000162408,NOL9,12,-1.4682,23,-0.4878,32,0.06224,41,0.43686,41,0.45538,32,0.03980,35,0.18032,38,0.33265,18,-0.8023,39,0.35059
ENSG00000162413,KLHL21,41,0.22171,25,-0.5410,48,0.48959,39,0.15402,20,-0.8979,40,0.19638,20,-0.8942,75,1.26249,39,0.16996,7,-2.2927
ENSG00000116273,PHF13,14,-0.4091,11,-0.8323,25,0.52353,28,0.70910,11,-0.7398,8,-1.2074,9,-1.0684,23,0.34858,19,0.05630,35,1.04484
ENSG00000041988,THAP3,11,-0.8147,6,-1.6955,21,0.17153,14,-0.4760,26,0.50455,43,1.38969,25,0.43363,27,0.57384,5,-2.0044,11,-0.7687
ENSG00000007923,DNAJC11,16,-1.3240,27,-0.5194,42,0.19200,31,-0.3170,57,0.69030,66,0.94385,29,-0.3998,35,-0.1056,18,-1.1265,54,0.58919
ENSG00000171735,CAMTA1,180,-0.1974,148,-0.5031,159,-0.3984,298,0.61676,291,0.57628,240,0.26042,214,0.07082,176,-0.2345,181,-0.1945,157,-0.4182
ENSG00000049245,VAMP3,56,0.83998,59,0.90742,10,-1.7909,12,-1.5555,12,-1.5860,8,-2.0995,8,-2.0536,27,-0.3330,86,1.61186,59,0.90784
ENSG00000049246,PER3,42,0.23599,30,-0.3049,28,-0.3983,31,-0.2173,34,-0.0822,38,0.09655,19,-0.9781,41,0.19990,52,0.61108,45,0.34864
ENSG00000116288,PARK7,329,0.06018,266,-0.2746,294,-0.1199,185,-0.8385,232,-0.4890,426,0.48601,338,0.10745,472,0.65746,372,0.26096,251,-0.3683
ENSG00000116285,ERRFI1,22,0.06679,13,-0.6951,26,0.32067,21,-0.0009,28,0.44176,22,0.02180,12,-0.9137,13,-0.7062,40,1.02035,16,-0.4783
ENSG00000162426,SLC45A1,25,-0.2724,21,-0.5507,82,1.73120,29,-0.0539,37,0.34710,36,0.27998,33,0.14944,35,0.25396,2,-3.7980,0,-5.9938
ENSG00000142599,RERE,159,0.58169,90,-0.3364,121,0.14176,97,-0.2191,176,0.75594,122,0.15270,90,-0.3255,100,-0.1722,54,-1.1021,102,-0.1354
