cell_type_broad,hc,cell_type_hc,n_pval05,n_FDR05
Micro,cell_type_hc4,Micro.4.1,1138,51
Micro,cell_type_hc4,Micro.4.2,826,0
Micro,cell_type_hc4,Micro.4.3,466,17
Micro,cell_type_hc4,Micro.4.4,144,0
Micro,cell_type_hc3,Micro.3.1,1365,28
Micro,cell_type_hc3,Micro.3.2,826,0
Micro,cell_type_hc3,Micro.3.3,144,0
Micro,cell_type_hc2,Micro.2.1,1498,2
Micro,cell_type_hc2,Micro.2.2,144,0
