cell_type_broad,hc,cell_type_hc,n_pval05,n_FDR05
Oligo,cell_type_hc4,Oligo.4.1,1647,0
Oligo,cell_type_hc4,Oligo.4.2,3093,933
Oligo,cell_type_hc4,Oligo.4.3,960,0
Oligo,cell_type_hc4,Oligo.4.4,1596,54
Oligo,cell_type_hc3,Oligo.3.1,1647,0
Oligo,cell_type_hc3,Oligo.3.2,3093,933
Oligo,cell_type_hc3,Oligo.3.3,2192,5
Oligo,cell_type_hc2,Oligo.2.1,1647,0
Oligo,cell_type_hc2,Oligo.2.2,4371,1045
