cell_type_broad,hc,cell_type_hc,n_pval05,n_FDR05
Excit,cell_type_hc7,Excit.7.1,3430,119
Excit,cell_type_hc7,Excit.7.2,1517,0
Excit,cell_type_hc7,Excit.7.3,1280,0
Excit,cell_type_hc7,Excit.7.4,631,0
Excit,cell_type_hc7,Excit.7.6,325,0
Excit,cell_type_hc7,Excit.7.7,443,0
Excit,cell_type_hc6,Excit.6.1,3183,84
Excit,cell_type_hc6,Excit.6.2,1517,0
Excit,cell_type_hc6,Excit.6.3,631,0
Excit,cell_type_hc6,Excit.6.5,325,0
Excit,cell_type_hc6,Excit.6.6,443,0
Excit,cell_type_hc5,Excit.5.1,3183,84
Excit,cell_type_hc5,Excit.5.2,1517,0
Excit,cell_type_hc5,Excit.5.3,631,0
Excit,cell_type_hc5,Excit.5.5,499,0
Excit,cell_type_hc4,Excit.4.1,3183,84
Excit,cell_type_hc4,Excit.4.2,1212,5
Excit,cell_type_hc4,Excit.4.4,499,0
Excit,cell_type_hc3,Excit.3.1,2943,32
Excit,cell_type_hc3,Excit.3.3,499,0
Excit,cell_type_hc2,Excit.2.1,3889,321
