cell_type_broad,hc,cell_type_hc,n_pval05,n_FDR05
Inhib,cell_type_hc5,Inhib.5.1,301,0
Inhib,cell_type_hc5,Inhib.5.2,864,0
Inhib,cell_type_hc5,Inhib.5.4,1164,0
Inhib,cell_type_hc5,Inhib.5.5,1584,18
Inhib,cell_type_hc4,Inhib.4.1,301,0
Inhib,cell_type_hc4,Inhib.4.2,1802,15
Inhib,cell_type_hc4,Inhib.4.4,1164,0
Inhib,cell_type_hc3,Inhib.3.1,301,0
Inhib,cell_type_hc3,Inhib.3.2,1945,25
Inhib,cell_type_hc2,Inhib.2.1,1950,34
