"","SpX","cell_type_anno","n_cell","prop_cell_type","prop_SpX"
"1","Vasc~SpX3","Astro.1",154,0.00417502575502901,0.0119816385279701
"2","L1a~SpX6","Astro.1",575,0.0259429705829273,0.0447366373609274
"3","L1b~SpX7","Astro.1",3433,0.134132999921857,0.267097175756633
"4","L2.3~SpX4","Astro.1",1584,0.0772456841899932,0.123239710573407
"5","Inhib~SpX5","Astro.1",1978,0.11682022206473,0.15389403252159
"6","L5~SpX1","Astro.1",2617,0.0530250840863962,0.203610052127908
"7","L6~SpX9","Astro.1",910,0.0350931317727816,0.0708005913016416
"8","WMtz~SpX8","Astro.1",1402,0.0294928161221785,0.109079592313079
"9","WM~SpX2","Astro.1",200,0.00348583877995643,0.0155605695168443
"10","Vasc~SpX3","Astro.2",257,0.00696741311066529,0.0178695591711862
"11","L1a~SpX6","Astro.2",1477,0.066639595740841,0.102697816715339
"12","L1b~SpX7","Astro.2",3244,0.126748456669532,0.225559727437074
"13","L2.3~SpX4","Astro.2",936,0.0456451770213596,0.065081351689612
"14","Inhib~SpX5","Astro.2",1529,0.0903023860146468,0.106313447364762
"15","L5~SpX1","Astro.2",2701,0.0547270737934109,0.187804199694062
"16","L6~SpX9","Astro.2",1365,0.0526396976591724,0.0949103045473509
"17","WMtz~SpX8","Astro.2",2161,0.0454593264194207,0.150257266026978
"18","WM~SpX2","Astro.2",712,0.0124095860566449,0.0495063273536365
"19","Vasc~SpX3","Astro.3",5,0.000135552784254189,0.00706214689265537
"20","L1a~SpX6","Astro.3",93,0.0041959935029778,0.13135593220339
"21","L1b~SpX7","Astro.3",96,0.00375087911229194,0.135593220338983
"22","L2.3~SpX4","Astro.3",9,0.000438895932897688,0.0127118644067797
"23","Inhib~SpX5","Astro.3",26,0.0015355539806284,0.0367231638418079
"24","L5~SpX1","Astro.3",85,0.00172225148924099,0.120056497175141
"25","L6~SpX9","Astro.3",145,0.00559176275500366,0.204802259887006
"26","WMtz~SpX8","Astro.3",137,0.00288196562677493,0.193502824858757
"27","WM~SpX2","Astro.3",112,0.0019520697167756,0.15819209039548
"28","Vasc~SpX3","Astro.4",542,0.014693921813154,0.0813813813813814
"29","L1a~SpX6","Astro.4",3194,0.144107561811947,0.47957957957958
"30","L1b~SpX7","Astro.4",105,0.00410252402906931,0.0157657657657658
"31","L2.3~SpX4","Astro.4",7,0.000341363503364869,0.00105105105105105
"32","Inhib~SpX5","Astro.4",13,0.000767776990314198,0.00195195195195195
"33","L5~SpX1","Astro.4",15,0.000303926733395469,0.00225225225225225
"34","L6~SpX9","Astro.4",63,0.00242952450734642,0.00945945945945946
"35","WMtz~SpX8","Astro.4",197,0.00414414035382965,0.0295795795795796
"36","WM~SpX2","Astro.4",2524,0.0439912854030501,0.378978978978979
"37","Vasc~SpX3","Astro.5",1252,0.0339424171772488,0.0426692113693681
"38","L1a~SpX6","Astro.5",4201,0.189541598989352,0.143173607797696
"39","L1b~SpX7","Astro.5",4850,0.189497538485583,0.165292072796674
"40","L2.3~SpX4","Astro.5",1223,0.0596410806593192,0.0416808670165633
"41","Inhib~SpX5","Astro.5",2100,0.124025513819986,0.0715697634789721
"42","L5~SpX1","Astro.5",5419,0.10979859788467,0.1846840706155
"43","L6~SpX9","Astro.5",2835,0.109328602830589,0.0966191806966124
"44","WMtz~SpX8","Astro.5",5398,0.113553652944023,0.18396837298071
"45","WM~SpX2","Astro.5",2064,0.0359738562091503,0.070342853247904
"46","Vasc~SpX3","Macro",1579,0.0428075692674728,0.821540062434964
"47","L1a~SpX6","Macro",102,0.00460205739036275,0.0530697190426639
"48","L1b~SpX7","Macro",48,0.00187543955614597,0.0249739854318418
"49","L2.3~SpX4","Macro",5,0.000243831073832049,0.00260145681581686
"50","Inhib~SpX5","Macro",7,0.000413418379399953,0.0036420395421436
"51","L5~SpX1","Macro",32,0.000648377031243668,0.0166493236212279
"52","L6~SpX9","Macro",11,0.000424202691758899,0.00572320499479709
"53","WMtz~SpX8","Macro",94,0.00197740707238572,0.0489073881373569
"54","WM~SpX2","Macro",44,0.000766884531590414,0.0228928199791883
"55","Vasc~SpX3","Micro.1",10,0.000271105568508377,0.0714285714285714
"56","L1a~SpX6","Micro.1",18,0.000812127774769897,0.128571428571429
"57","L1b~SpX7","Micro.1",7,0.000273501601937954,0.05
"58","L2.3~SpX4","Micro.1",0,0,0
"59","Inhib~SpX5","Micro.1",1,5.90597684857075e-05,0.00714285714285714
"60","L5~SpX1","Micro.1",3,6.07853466790939e-05,0.0214285714285714
"61","L6~SpX9","Micro.1",0,0,0
"62","WMtz~SpX8","Micro.1",6,0.000126217472705472,0.0428571428571429
"63","WM~SpX2","Micro.1",95,0.0016557734204793,0.678571428571429
"64","Vasc~SpX3","Micro.2",552,0.0149650273816624,0.0637929041950769
"65","L1a~SpX6","Micro.2",941,0.0424562353365818,0.108748410955738
"66","L1b~SpX7","Micro.2",946,0.0369617879190435,0.109326245232867
"67","L2.3~SpX4","Micro.2",398,0.0194089534770311,0.0459956084594938
"68","Inhib~SpX5","Micro.2",500,0.0295298842428538,0.0577834277129319
"69","L5~SpX1","Micro.2",1493,0.0302508408639624,0.172541315150815
"70","L6~SpX9","Micro.2",703,0.0271104083915005,0.0812434993643823
"71","WMtz~SpX8","Micro.2",2027,0.0426404695289985,0.234254015948226
"72","WM~SpX2","Micro.2",1093,0.0190501089324619,0.126314572980469
"73","Vasc~SpX3","Micro.3",78,0.00211462343436534,0.0630048465266559
"74","L1a~SpX6","Micro.3",220,0.00992600613607652,0.177705977382876
"75","L1b~SpX7","Micro.3",70,0.00273501601937954,0.0565428109854604
"76","L2.3~SpX4","Micro.3",9,0.000438895932897688,0.00726978998384491
"77","Inhib~SpX5","Micro.3",22,0.00129931490668557,0.0177705977382876
"78","L5~SpX1","Micro.3",33,0.000668638813470033,0.0266558966074313
"79","L6~SpX9","Micro.3",32,0.00123404419420771,0.0258481421647819
"80","WMtz~SpX8","Micro.3",125,0.00262953068136399,0.100969305331179
"81","WM~SpX2","Micro.3",649,0.0113115468409586,0.524232633279483
"82","Vasc~SpX3","Micro.4",5,0.000135552784254189,0.0434782608695652
"83","L1a~SpX6","Micro.4",24,0.00108283703302653,0.208695652173913
"84","L1b~SpX7","Micro.4",4,0.000156286629678831,0.0347826086956522
"85","L2.3~SpX4","Micro.4",2,9.75324295328197e-05,0.0173913043478261
"86","Inhib~SpX5","Micro.4",2,0.000118119536971415,0.0173913043478261
"87","L5~SpX1","Micro.4",6,0.000121570693358188,0.0521739130434783
"88","L6~SpX9","Micro.4",6,0.000231383286413945,0.0521739130434783
"89","WMtz~SpX8","Micro.4",17,0.000357616172665503,0.147826086956522
"90","WM~SpX2","Micro.4",49,0.000854030501089325,0.426086956521739
"91","Vasc~SpX3","Micro.5",556,0.0150734696090658,0.0500900900900901
"92","L1a~SpX6","Micro.5",990,0.0446670276123443,0.0891891891891892
"93","L1b~SpX7","Micro.5",1273,0.049738219895288,0.114684684684685
"94","L2.3~SpX4","Micro.5",727,0.0354530381351799,0.0654954954954955
"95","Inhib~SpX5","Micro.5",773,0.0456532010394519,0.0696396396396396
"96","L5~SpX1","Micro.5",2108,0.0427118369331766,0.18990990990991
"97","L6~SpX9","Micro.5",1089,0.041996066484131,0.0981081081081081
"98","WMtz~SpX8","Micro.5",2467,0.0518964175273997,0.222252252252252
"99","WM~SpX2","Micro.5",1117,0.0194684095860566,0.100630630630631
"100","Vasc~SpX3","OPC.1",1,2.71105568508377e-05,0.04
"101","L1a~SpX6","OPC.1",1,4.51182097094387e-05,0.04
"102","L1b~SpX7","OPC.1",1,3.90716574197077e-05,0.04
"103","L2.3~SpX4","OPC.1",5,0.000243831073832049,0.2
"104","Inhib~SpX5","OPC.1",4,0.00023623907394283,0.16
"105","L5~SpX1","OPC.1",8,0.000162094257810917,0.32
"106","L6~SpX9","OPC.1",2,7.71277621379816e-05,0.08
"107","WMtz~SpX8","OPC.1",2,4.20724909018238e-05,0.08
"108","WM~SpX2","OPC.1",1,1.74291938997821e-05,0.04
"109","Vasc~SpX3","OPC.2",155,0.00420213631187985,0.0207774798927614
"110","L1a~SpX6","OPC.2",533,0.0240480057751308,0.0714477211796247
"111","L1b~SpX7","OPC.2",887,0.0346565601312808,0.118900804289544
"112","L2.3~SpX4","OPC.2",723,0.0352579732761143,0.096916890080429
