"","xSpD","cell_type_anno","n_cell","prop_cell_type","prop_xSpD"
"1","xVasc_mural","Astro.1",20,0.00102891243955139,0.00155605695168443
"2","xVasc_im","Astro.1",31,0.00258096744650737,0.00241188827511087
"3","xGL","Astro.1",1094,0.0444588938107043,0.0851163152571384
"4","xL2","Astro.1",1826,0.0855830521184852,0.142067999688789
"5","xL1_inhib","Astro.1",2171,0.135239519093004,0.168909982105345
"6","xLD_glia","Astro.1",4103,0.0889655022875604,0.319225083638061
"7","xVasc_adj","Astro.1",479,0.0312072447716464,0.0372675639928421
"8","xL5","Astro.1",1167,0.0384197530864198,0.0907959231307866
"9","xL6","Astro.1",792,0.0358435916002896,0.0616198552867035
"10","xWMuf","Astro.1",1029,0.0245608172617911,0.080059130164164
"11","xWMd","Astro.1",141,0.00266042755523689,0.0109702015093752
"12","xVasc_mural","Astro.2",47,0.00241794423294578,0.00326797385620915
"13","xVasc_im","Astro.2",64,0.00532844892182166,0.00445000695313586
"14","xGL","Astro.2",2193,0.0891209818344374,0.152482269503546
"15","xL2","Astro.2",1077,0.0504780652418448,0.0748852732582395
"16","xL1_inhib","Astro.2",1829,0.113935090014328,0.127172854957586
"17","xLD_glia","Astro.2",3864,0.0837832563585507,0.268669169795578
"18","xVasc_adj","Astro.2",489,0.0318587530132256,0.0340008343763037
"19","xL5","Astro.2",1242,0.0408888888888889,0.0863579474342929
"20","xL6","Astro.2",1170,0.0529507603186097,0.081351689612015
"21","xWMuf","Astro.2",1822,0.0434886385335116,0.126686135447087
"22","xWMd","Astro.2",585,0.0110379441121531,0.0406758448060075
"23","xVasc_mural","Astro.3",1,5.14456219775697e-05,0.00141242937853107
"24","xVasc_im","Astro.3",2,0.000166514028806927,0.00282485875706215
"25","xGL","Astro.3",101,0.00410452310318202,0.142655367231638
"26","xL2","Astro.3",10,0.000468691413573303,0.0141242937853107
"27","xL1_inhib","Astro.3",30,0.00186880956830499,0.0423728813559322
"28","xLD_glia","Astro.3",120,0.0026019644831848,0.169491525423729
"29","xVasc_adj","Astro.3",18,0.00117271483484266,0.0254237288135593
"30","xL5","Astro.3",44,0.00144855967078189,0.0621468926553672
"31","xL6","Astro.3",125,0.00565713251267198,0.176553672316384
"32","xWMuf","Astro.3",166,0.00396219209471071,0.234463276836158
"33","xWMd","Astro.3",91,0.00171701352855714,0.128531073446328
"34","xVasc_mural","Astro.4",168,0.00864286449223171,0.0252252252252252
"35","xVasc_im","Astro.4",407,0.0338856048622096,0.0611111111111111
"36","xGL","Astro.4",2899,0.117812004714106,0.435285285285285
"37","xL2","Astro.4",10,0.000468691413573303,0.0015015015015015
"38","xL1_inhib","Astro.4",47,0.00292780165701115,0.00705705705705706
"39","xLD_glia","Astro.4",25,0.000542075933996834,0.00375375375375375
"40","xVasc_adj","Astro.4",127,0.00827415466805655,0.0190690690690691
"41","xL5","Astro.4",3,9.87654320987654e-05,0.00045045045045045
"42","xL6","Astro.4",46,0.00208182476466329,0.00690690690690691
"43","xWMuf","Astro.4",334,0.00797212144357457,0.0501501501501501
"44","xWMd","Astro.4",2594,0.0489443197041454,0.389489489489489
