"","region","cell_type_anno","n_cell","prop_cell_type","prop_region"
"1","Vasc","Astro.1",530,0.011325270310697,0.0412355092196374
"2","GM_L1","Astro.1",1094,0.0444588938107043,0.0851163152571384
"3","GM_L2_6","Astro.1",10059,0.07397465785158,0.782618843849685
"4","WM","Astro.1",1170,0.0123294167237473,0.0910293316735393
"5","Vasc","Astro.2",600,0.012821060729091,0.0417188151856487
"6","GM_L1","Astro.2",2193,0.0891209818344374,0.152482269503546
"7","GM_L2_6","Astro.2",9182,0.0675251325572331,0.638436935057711
"8","WM","Astro.2",2407,0.0253648769692818,0.167361980253094
"9","Vasc","Astro.3",21,0.000448737125518185,0.0296610169491525
"10","GM_L1","Astro.3",101,0.00410452310318202,0.142655367231638
"11","GM_L2_6","Astro.3",329,0.00241949124497165,0.464689265536723
"12","WM","Astro.3",257,0.00270825649401971,0.362994350282486
"13","Vasc","Astro.4",702,0.0150006410530365,0.105405405405405
"14","GM_L1","Astro.4",2899,0.117812004714106,0.435285285285285
"15","GM_L2_6","Astro.4",131,0.000963384051949198,0.0196696696696697
"16","WM","Astro.4",2928,0.0308551556984035,0.43963963963964
"17","Vasc","Astro.5",2168,0.0463267661011154,0.0738872605821007
"18","GM_L1","Astro.5",5164,0.209858983216158,0.175993456478768
"19","GM_L2_6","Astro.5",16124,0.118577133233808,0.549519460159498
"20","WM","Astro.5",5886,0.0620264502871595,0.200599822779633
"21","Vasc","Macro",1676,0.0358134963032608,0.872008324661811
"22","GM_L1","Macro",66,0.00268216361198033,0.0343392299687825
"23","GM_L2_6","Macro",84,0.000617742445524677,0.0437044745057232
"24","WM","Macro",96,0.00101164444912798,0.0499479708636837
"25","Vasc","Micro.1",15,0.000320526518227275,0.107142857142857
"26","GM_L1","Micro.1",11,0.000447027268663388,0.0785714285714286
"27","GM_L2_6","Micro.1",10,7.35407673243663e-05,0.0714285714285714
"28","WM","Micro.1",104,0.00109594815322198,0.742857142857143
"29","Vasc","Micro.2",926,0.0197871703918971,0.10701490812435
"30","GM_L1","Micro.2",1023,0.0415735359856951,0.118224893100659
"31","GM_L2_6","Micro.2",4134,0.030401753211893,0.477753380330521
"32","WM","Micro.2",2570,0.0270825649401971,0.29700681844447
"33","Vasc","Micro.3",108,0.00230779093123638,0.0872374798061389
"34","GM_L1","Micro.3",194,0.00788393546551794,0.15670436187399
"35","GM_L2_6","Micro.3",154,0.00113252781679524,0.124394184168013
"36","WM","Micro.3",782,0.00824068707518837,0.631663974151858
"37","Vasc","Micro.4",12,0.00025642121458182,0.104347826086957
"38","GM_L1","Micro.4",19,0.000772138009509489,0.165217391304348
"39","GM_L2_6","Micro.4",16,0.000117665227718986,0.139130434782609
"40","WM","Micro.4",68,0.000716581484798988,0.591304347826087
"41","Vasc","Micro.5",980,0.0209410658575153,0.0882882882882883
"42","GM_L1","Micro.5",1149,0.0466940301540212,0.103513513513514
"43","GM_L2_6","Micro.5",6071,0.0446465998426228,0.546936936936937
"44","WM","Micro.5",2900,0.0305600927340745,0.261261261261261
"45","Vasc","OPC.1",1,2.1368434548485e-05,0.04
"46","GM_L1","OPC.1",2,8.12776852115252e-05,0.08
"47","GM_L2_6","OPC.1",21,0.000154435611381169,0.84
"48","WM","OPC.1",1,1.05379630117498e-05,0.04
"49","Vasc","OPC.2",393,0.0083977947775546,0.0526809651474531
"50","GM_L1","OPC.2",669,0.0271873857032552,0.0896782841823056
"51","GM_L2_6","OPC.2",4571,0.0336154847439678,0.612734584450402
"52","WM","OPC.2",1827,0.0192528584224669,0.244906166219839
"53","Vasc","OPC.3",1,2.1368434548485e-05,0.0833333333333333
"54","GM_L1","OPC.3",1,4.06388426057626e-05,0.0833333333333333
"55","GM_L2_6","OPC.3",4,2.94163069297465e-05,0.333333333333333
"56","WM","OPC.3",6,6.3227778070499e-05,0.5
"57","Vasc","OPC.4",75,0.00160263259113637,0.0434530706836616
"58","GM_L1","OPC.4",260,0.0105660990774983,0.15063731170336
"59","GM_L2_6","OPC.4",801,0.00589061546268174,0.464078794901506
"60","WM","OPC.4",590,0.0062173981769324,0.341830822711472
"61","Vasc","OPC.5",390,0.00833368947390914,0.0485074626865672
"62","GM_L1","OPC.5",427,0.0173527857926606,0.0531094527363184
"63","GM_L2_6","OPC.5",5469,0.0402194456496959,0.680223880597015
"64","WM","OPC.5",1754,0.0184835871226092,0.218159203980099
"65","Vasc","Oligo.1",329,0.00703021496645156,0.03311858264546
"66","GM_L1","Oligo.1",829,0.0336896005201772,0.083450775115764
"67","GM_L2_6","Oligo.1",1407,0.0103471859625383,0.141634789611435
"68","WM","Oligo.1",7369,0.0776542494335845,0.74179585262734
"69","Vasc","Oligo.2",188,0.00401726569511518,0.0201392608462775
"70","GM_L1","Oligo.2",667,0.0271061080180436,0.0714515265131227
"71","GM_L2_6","Oligo.2",666,0.00489781510380279,0.0713444027852169
"72","WM","Oligo.2",7814,0.0823436429738132,0.837064809855383
"73","Vasc","Oligo.3",2984,0.0637634086926792,0.0567786128817429
"74","GM_L1","Oligo.3",2928,0.118990531149673,0.0557130625059462
"75","GM_L2_6","Oligo.3",19382,0.142536715228087,0.36879459613738
"76","WM","Oligo.3",27261,0.287275409663312,0.518713728474931
"77","Vasc","Oligo.4",1185,0.0253215949399547,0.0407300474324603
"78","GM_L1","Oligo.4",2326,0.0945259479010038,0.0799477555509727
"79","GM_L2_6","Oligo.4",6042,0.0444333316173821,0.207671684883481
"80","WM","Oligo.4",19541,0.205922335212603,0.671650512133086
"81","Vasc","Oligo.5",83,0.00177358006752425,0.0403108305002428
"82","GM_L1","Oligo.5",63,0.00256024708416304,0.0305973773676542
"83","GM_L2_6","Oligo.5",542,0.00398590958898065,0.263234579893152
"84","WM","Oligo.5",1371,0.014447547289109,0.665857212238951
"85","Vasc","Vasc.Endo",12648,0.270267960169238,0.466096698113208
"86","GM_L1","Vasc.Endo",1158,0.0470597797374731,0.0426739386792453
"87","GM_L2_6","Vasc.Endo",9546,0.07020201648784,0.351783608490566
"88","WM","Vasc.Endo",3784,0.0398756520364614,0.139445754716981
"89","Vasc","Vasc.PC",14331,0.306231035514338,0.716299295246664
"90","GM_L1","Vasc.PC",559,0.0227171130166213,0.0279402209226771
"91","GM_L2_6","Vasc.PC",3672,0.0270041697615073,0.183535762483131
"92","WM","Vasc.PC",1445,0.0152273565519785,0.0722247213475284
"93","Vasc","Vasc.VLMC",4791,0.102376169921792,0.943853427895981
"94","GM_L1","Vasc.VLMC",74,0.00300727435282643,0.0145784081954295
"95","GM_L2_6","Vasc.VLMC",85,0.000625096522257113,0.0167454688731284
"96","WM","Vasc.VLMC",126,0.00132778333948048,0.024822695035461
"97","Vasc","Excit.L2",421,0.00899611094491218,0.0367396806004014
"98","GM_L1","Excit.L2",17,0.000690860324297964,0.00148355004799721
"99","GM_L2_6","Excit.L2",10821,0.0795784643216967,0.944323239375164
"100","WM","Excit.L2",200,0.00210759260234997,0.0174535299764377
"101","Vasc","Excit.L2_5.1",219,0.00467968716611821,0.044630120236397
"102","GM_L1","Excit.L2_5.1",25,0.00101597106514406,0.00509476258406358
"103","GM_L2_6","Excit.L2_5.1",4185,0.0307768111252473,0.852863256572244
"104","WM","Excit.L2_5.1",478,0.00503714631961642,0.0974118606072957
"105","Vasc","Excit.L2_5.2",133,0.0028420017949485,0.0402177199879044
"106","GM_L1","Excit.L2_5.2",9,0.000365749583451863,0.00272149984880556
"107","GM_L2_6","Excit.L2_5.2",2976,0.0218857323557314,0.899909283338373
"108","WM","Excit.L2_5.2",189,0.00199167500922072,0.0571514968249168
"109","Vasc","Excit.L5.1",114,0.00243600153852729,0.0303837953091684
"110","GM_L1","Excit.L5.1",6,0.000243833055634576,0.00159914712153518
"111","GM_L2_6","Excit.L5.1",3466,0.0254892299546253,0.923773987206823
"112","WM","Excit.L5.1",166,0.00174930185995047,0.0442430703624733
"113","Vasc","Excit.L5.2",69,0.00147442198384546,0.0518407212622089
"114","GM_L1","Excit.L5.2",12,0.000487666111269151,0.00901577761081893
"115","GM_L2_6","Excit.L5.2",1236,0.00908963884129167,0.92862509391435
"116","WM","Excit.L5.2",14,0.000147531482164498,0.0105184072126221
"117","Vasc","Excit.L5_6_NP",10,0.00021368434548485,0.0340136054421769
"118","GM_L1","Excit.L5_6_NP",1,4.06388426057626e-05,0.00340136054421769
"119","GM_L2_6","Excit.L5_6_NP",270,0.00198560071775789,0.918367346938776
"120","WM","Excit.L5_6_NP",13,0.000136993519152748,0.0442176870748299
"121","Vasc","Excit.L6_CT",33,0.000705158340100004,0.0236051502145923
"122","GM_L1","Excit.L6_CT",0,0,0
"123","GM_L2_6","Excit.L6_CT",1216,0.00894255730664294,0.869814020028612
"124","WM","Excit.L6_CT",149,0.00157015648875072,0.106580829756795
"125","Vasc","Excit.L6b",20,0.0004273686909697,0.0140449438202247
"126","GM_L1","Excit.L6b",6,0.000243833055634576,0.00421348314606742
"127","GM_L2_6","Excit.L6b",1169,0.00859691570021842,0.820926966292135
"128","WM","Excit.L6b",229,0.00241319352969071,0.160814606741573
"129","Vasc","Inhib.Chandelier",31,0.000662421471003034,0.0405759162303665
"130","GM_L1","Inhib.Chandelier",12,0.000487666111269151,0.0157068062827225
"131","GM_L2_6","Inhib.Chandelier",655,0.00481692025974599,0.857329842931937
"132","WM","Inhib.Chandelier",66,0.000695505558775489,0.0863874345549738
"133","Vasc","Inhib.Lamp5_Lhx6",146,0.00311979144407881,0.0566550252231277
"134","GM_L1","Inhib.Lamp5_Lhx6",243,0.00987523875320031,0.0942956926658906
"135","GM_L2_6","Inhib.Lamp5_Lhx6",1809,0.0133035248089779,0.70197904540163
"136","WM","Inhib.Lamp5_Lhx6",379,0.00399388798145319,0.147070236709352
"137","Vasc","Inhib.Pax6",47,0.00100431642377879,0.0651872399445215
"138","GM_L1","Inhib.Pax6",75,0.00304791319543219,0.104022191400832
"139","GM_L2_6","Inhib.Pax6",555,0.00408151258650233,0.769764216366158
"140","WM","Inhib.Pax6",44,0.000463670372516992,0.0610263522884882
"141","Vasc","Inhib.Pvalb",105,0.00224368562759092,0.0384052670080468
"142","GM_L1","Inhib.Pvalb",21,0.000853415694721014,0.00768105340160936
"143","GM_L2_6","Inhib.Pvalb",2315,0.0170246876355908,0.846744696415508
"144","WM","Inhib.Pvalb",293,0.0030876231624427,0.107168983174835
"145","Vasc","Inhib.Sst",74,0.00158126415658789,0.0399352401511063
"146","GM_L1","Inhib.Sst",11,0.000447027268663388,0.00593631948192121
"147","GM_L2_6","Inhib.Sst",1528,0.0112370292471632,0.824608742579601
"148","WM","Inhib.Sst",240,0.00252911112281996,0.129519697787372
"149","Vasc","Inhib.Vip",239,0.00510705585708791,0.0386356288393146
"150","GM_L1","Inhib.Vip",293,0.0119071808834884,0.0473650177820886
"151","GM_L2_6","Inhib.Vip",5276,0.0388001088403356,0.852893630779179
"152","WM","Inhib.Vip",378,0.00398335001844144,0.061105722599418
