"","APOE_mean"
"GL",2.19995332617147
"Inhib",2.12056056667884
"L2",1.55667546037251
"L5",1.47075431672054
"L6",1.59912672508877
"LD",2.20151743201608
"Vasc",1.33027630957092
"Vasc.adj",1.95950305036911
"Vasc.im",1.77604891467152
"WMd",1.29140724126032
"WMuf",1.7211098445023
