Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000228794,LINC01128,6,-1.2382,6,-1.1497,28,1.31911,7,-0.8717,12,-0.0610,12,-0.1025,13,-0.0031,19,0.66406
ENSG00000188976,NOC2L,43,-0.1619,49,0.04969,57,0.28979,104,1.36230,39,-0.3147,33,-0.6008,30,-0.7420,28,-0.8623
ENSG00000188290,HES4,44,-0.2232,63,0.38028,28,-0.9236,65,0.43679,61,0.33919,56,0.18227,38,-0.4245,45,-0.1600
ENSG00000187608,ISG15,67,1.24293,29,-0.2049,18,-0.9299,18,-0.9042,30,-0.1704,35,0.09875,43,0.46053,23,-0.5882
ENSG00000188157,AGRN,20,0.26713,8,-1.0878,18,0.15235,15,-0.1837,16,-0.0319,11,-0.6411,30,0.98879,15,-0.1481
ENSG00000078808,SDF4,182,1.33416,97,0.21149,76,-0.1909,58,-0.6265,71,-0.2965,60,-0.5621,71,-0.2933,69,-0.3542
ENSG00000176022,B3GALT6,47,0.38156,55,0.64909,36,-0.0773,35,-0.1373,34,-0.1458,25,-0.6578,42,0.17910,27,-0.5435
ENSG00000160087,UBE2J2,47,0.18969,29,-0.5841,57,0.51765,53,0.39256,53,0.38976,33,-0.3890,28,-0.6504,36,-0.2727
ENSG00000131584,ACAP3,47,-0.4207,39,-0.6926,62,0.04007,87,0.59871,73,0.31185,57,-0.1145,72,0.28923,49,-0.3527
ENSG00000127054,INTS11,55,0.35294,23,-1.0198,55,0.33303,79,0.97857,36,-0.3271,36,-0.3345,28,-0.7204,44,-0.0141
ENSG00000224051,CPTP,45,0.65179,17,-0.9349,38,0.35944,44,0.59937,22,-0.4840,20,-0.6633,22,-0.5213,36,0.28689
ENSG00000107404,DVL1,45,-0.3504,45,-0.3581,56,-0.0113,49,-0.2231,80,0.60421,50,-0.1899,46,-0.3182,78,0.55286
ENSG00000175756,AURKAIP1,160,-0.1548,216,0.34259,134,-0.4431,159,-0.1676,188,0.10982,195,0.16671,187,0.09668,170,-0.0573
ENSG00000221978,CCNL2,65,0.68543,49,0.18989,50,0.21666,37,-0.2730,36,-0.2852,38,-0.2231,28,-0.7048,45,0.07005
ENSG00000242485,MRPL20,178,-0.1257,183,-0.0783,166,-0.2304,220,0.23171,214,0.18432,201,0.07724,169,-0.2054,202,0.08982
ENSG00000179403,VWA1,41,-0.7229,42,-0.6837,23,-1.5868,35,-0.9617,27,-1.3598,65,-0.0075,158,1.61118,127,1.17549
ENSG00000197785,ATAD3A,2,-2.7090,28,1.07391,18,0.35707,20,0.50559,11,-0.4077,12,-0.2879,8,-0.8562,18,0.29366
ENSG00000205090,TMEM240,26,-0.5313,36,-0.0443,50,0.53162,73,1.19893,39,0.11221,32,-0.2100,14,-1.4337,22,-0.7894
ENSG00000160075,SSU72,154,0.16283,120,-0.2460,165,0.27261,157,0.19368,142,0.02643,153,0.15388,115,-0.3151,111,-0.3649
ENSG00000228594,FNDC10,6,-2.4884,56,0.96537,31,-0.0261,61,1.11138,32,-0.0047,29,-0.1374,20,-0.7012,20,-0.7591
