"cluster","carrier_AA","carrier_EA","anc_E2","anc_E4"
"Astro",98,0,4,105
"Macro",2,0,0,0
"Micro",3,1,2,14
"OPC",0,1,1,0
"Oligo",0,0,6,12
"Vasc",1,1,0,0
"Excit",0,0,0,0
"Inhib",0,0,0,1
