"cluster","pval01","FDR05"
"APOE_high",50,0
"APOE_high_nnA_Astro.1",29,0
"APOE_high_nnA_Astro.2",47,0
"APOE_high_nnA_Astro.3",11,0
"APOE_high_nnA_Astro.4",33,0
"APOE_high_nnA_Astro.5",45,0
"APOE_high_nnA_far",30,0
"APOE_high_nnA_near",56,0
"APOE_low",48,0
"APOE_low_nnA_Astro.1",29,0
"APOE_low_nnA_Astro.2",22,0
"APOE_low_nnA_Astro.3",14,0
"APOE_low_nnA_Astro.4",18,0
"APOE_low_nnA_Astro.5",40,0
"APOE_low_nnA_far",36,0
"APOE_low_nnA_near",49,0
"Astro.1_APOE_high",40,0
"Astro.1_APOE_low",41,0
"Astro.2_APOE_high",43,0
"Astro.2_APOE_low",47,0
"Astro.3_APOE_high",16,0
"Astro.3_APOE_low",22,1
"Astro.4_APOE_high",33,0
"Astro.4_APOE_low",28,0
"Astro.5_APOE_high",54,0
"Astro.5_APOE_low",34,0
"nn_Astro.1",43,0
"nn_Astro.2",36,0
"nn_Astro.3",17,0
"nn_Astro.4",44,0
"nn_Astro.5",56,0
"nnA_far",33,0
"nnA_near",54,0
