Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9to10,Feature log2 fold change topic 9to10
ENSG00000228794,LINC01128,4,-2.3118,12,-0.6997,17,-0.2195,23,0.26673,29,0.87149,14,-0.4582,19,-0.0478
ENSG00000188976,NOC2L,19,-1.1951,46,0.18880,50,0.32173,23,-0.9160,50,0.41184,30,-0.4602,46,0.22325
ENSG00000188290,HES4,35,-0.8129,24,-1.4067,63,0.08123,87,0.60879,59,-0.0296,72,0.30158,70,0.28970
ENSG00000187608,ISG15,74,0.68244,36,-0.4966,37,-0.4199,80,0.81283,50,0.03536,42,-0.2450,35,-0.5623
ENSG00000188157,AGRN,26,0.48429,24,0.35409,25,0.44004,17,-0.1737,21,0.12516,14,-0.5012,12,-0.7534
ENSG00000078808,SDF4,64,0.05024,118,1.09461,52,-0.2589,55,-0.1777,60,-0.0405,41,-0.6466,52,-0.2852
ENSG00000176022,B3GALT6,19,-0.7143,25,-0.2664,39,0.42859,30,0.01452,33,0.25316,24,-0.3158,30,0.00877
ENSG00000160087,UBE2J2,22,-0.6705,34,0.03826,45,0.46051,27,-0.3224,37,0.19824,32,-0.0588,32,-0.0722
ENSG00000131584,ACAP3,59,0.04432,44,-0.4351,69,0.29373,79,0.51746,55,-0.0781,41,-0.5236,59,0.03291
ENSG00000169972,PUSL1,10,-0.0846,7,-0.4883,13,0.36563,14,0.44054,12,0.29458,8,-0.4008,8,-0.4651
ENSG00000127054,INTS11,43,-0.0543,42,-0.0831,50,0.21178,59,0.47184,54,0.42559,34,-0.4094,26,-0.8971
ENSG00000224051,CPTP,15,-0.9733,11,-1.4341,37,0.42221,33,0.23345,35,0.43910,16,-0.8931,34,0.32009
ENSG00000107404,DVL1,59,0.09648,57,0.05568,52,-0.0885,66,0.29376,51,-0.1722,73,0.43803,47,-0.2934
ENSG00000175756,AURKAIP1,146,-0.1377,131,-0.3157,174,0.13475,125,-0.3912,181,0.26148,175,0.14571,152,-0.0859
ENSG00000221978,CCNL2,58,0.42734,42,-0.1076,55,0.32726,49,0.14279,48,0.17378,26,-0.8486,36,-0.3826
ENSG00000224870,MRPL20-AS1,15,0.48756,17,0.69644,13,0.22504,12,0.15039,8,-0.4986,9,-0.2631,9,-0.2832
ENSG00000242485,MRPL20,176,-0.1638,205,0.07573,187,-0.0713,230,0.26394,196,0.01155,180,-0.1268,193,-0.0222
ENSG00000235098,ANKRD65,32,0.61746,16,-0.4889,19,-0.1813,21,-0.0299,29,0.61401,19,-0.1803,11,-1.0430
ENSG00000179403,VWA1,217,2.95541,95,1.20966,14,-1.7962,18,-1.4639,18,-1.6786,28,-0.7980,19,-1.4317
ENSG00000197785,ATAD3A,9,-0.5922,17,0.40484,19,0.55969,15,0.14058,13,0.02186,9,-0.5231,12,-0.2041
ENSG00000205090,TMEM240,14,-1.5181,18,-1.0972,33,-0.2151,32,-0.2486,43,0.26280,34,-0.1372,58,0.83936
ENSG00000160075,SSU72,90,-0.6333,115,-0.2578,140,0.06052,139,0.03996,166,0.44715,129,-0.0792,120,-0.2092
