Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to12,Feature log2 fold change topic 3to12
ENSG00000188976,NOC2L,284,3.05383,37,-0.5802,33,-2.2497
ENSG00000188290,HES4,284,1.61065,80,-0.4712,94,-0.9510
ENSG00000187608,ISG15,284,0.90230,90,-0.9040,158,-0.2446
ENSG00000078808,SDF4,284,1.20674,273,1.14176,108,-1.3683
ENSG00000160087,UBE2J2,284,2.79489,1,-5.0595,44,-1.6739
ENSG00000131584,ACAP3,284,1.62981,105,-0.0286,90,-1.1090
ENSG00000127054,INTS11,284,1.90830,2,-5.6518,83,-0.7844
ENSG00000107404,DVL1,284,2.27586,33,-1.3003,61,-1.3732
ENSG00000175756,AURKAIP1,284,1.51855,1,-5.9659,108,-0.3938
ENSG00000221978,CCNL2,284,2.50470,1,-5.2447,54,-1.3825
ENSG00000242485,MRPL20,284,1.32151,17,-2.9508,123,-0.2925
ENSG00000179403,VWA1,284,0.38564,161,-0.5046,223,0.00302
ENSG00000205090,TMEM240,284,2.72223,69,0.14540,40,-2.1273
ENSG00000160075,SSU72,284,1.50782,88,-0.4116,101,-0.8825
ENSG00000078369,GNB1,284,0.35718,192,-0.2552,224,-0.0856
ENSG00000067606,PRKCZ,284,2.22103,32,-1.3541,63,-1.3133
ENSG00000162585,FAAP20,284,1.64105,1,-5.8695,99,-0.5165
ENSG00000157933,SKI,284,2.45425,1,-5.2783,56,-1.3319
ENSG00000157916,RER1,284,1.98910,90,0.02920,69,-1.4293
ENSG00000157870,PRXL2B,284,2.88735,1,-5.0033,42,-1.7667
ENSG00000158109,TPRG1L,284,2.08619,1,-5.5346,73,-0.9627
ENSG00000069424,KCNAB2,284,1.95659,1,-5.6293,80,-0.8327
ENSG00000116254,CHD5,284,1.61136,105,-0.0499,91,-1.0865
ENSG00000116251,RPL22,284,-1.6982,936,0.11885,920,0.59260
ENSG00000097021,ACOT7,284,2.10500,1,-5.5210,72,-0.9815
ENSG00000171735,CAMTA1,284,0.97651,1,-6.4106,158,0.14905
ENSG00000049245,VAMP3,284,1.27549,85,-0.6575,120,-0.6180
ENSG00000116288,PARK7,284,0.25256,40,-2.6782,258,0.66915
ENSG00000142599,RERE,284,1.85710,24,-2.0559,83,-0.8807
ENSG00000074800,ENO1,284,-0.8467,1,-8.0697,561,1.97366
ENSG00000171603,CLSTN1,284,0.02599,10,-4.9183,305,1.05661
ENSG00000054523,KIF1B,284,0.24137,40,-2.6809,260,0.67946
ENSG00000120948,TARDBP,284,2.21640,43,-0.9278,62,-1.3817
ENSG00000116649,SRM,284,1.74745,3,-5.1056,92,-0.6310
ENSG00000116661,FBXO2,284,0.28267,2,-7.0015,256,0.84345
ENSG00000132879,FBXO44,284,1.77878,123,0.34777,78,-1.3744
ENSG00000011021,CLCN6,284,3.18328,1,-4.8333,34,-2.0642
ENSG00000116688,MFN2,284,2.51936,8,-3.2080,53,-1.4438
ENSG00000116731,PRDM2,284,2.90792,72,0.34996,34,-2.3762
ENSG00000116786,PLEKHM2,284,2.36098,85,0.22760,52,-1.8239
ENSG00000065526,SPEN,284,3.00186,1,-4.9358,38,-1.8818
ENSG00000055070,SZRD1,284,1.92567,1,-5.6524,82,-0.8017
ENSG00000159363,ATP13A2,284,2.35936,33,-1.2015,57,-1.4675
ENSG00000117118,SDHB,284,2.38905,19,-1.9815,57,-1.3975
