Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to5,Feature log2 fold change topic 3to5,Feature count topic 6to9,Feature log2 fold change topic 6to9
ENSG00000188976,NOC2L,37,-0.3802,29,-0.7537,77,1.25273,32,-0.9026
ENSG00000188290,HES4,4,-4.5579,52,-0.8324,65,-0.6218,137,1.43527
ENSG00000187608,ISG15,74,0.61131,35,-0.6068,47,-0.1790,52,0.07586
ENSG00000188157,AGRN,97,1.56091,18,-1.1812,33,-0.3609,35,-0.2744
ENSG00000078808,SDF4,370,1.95692,54,-1.3181,123,-0.0379,84,-0.9141
ENSG00000176022,B3GALT6,13,-1.2794,20,-0.6842,51,1.24906,23,-0.6620
ENSG00000160087,UBE2J2,51,0.03017,32,-0.6839,85,1.38066,28,-1.2704
ENSG00000131584,ACAP3,3,-5.3593,85,-0.4421,189,1.34697,89,-0.5529
ENSG00000127054,INTS11,3,-4.5354,39,-0.7786,106,1.32149,53,-0.4382
ENSG00000224051,CPTP,3,-3.7133,24,-0.7714,78,1.97104,23,-1.1860
ENSG00000107404,DVL1,3,-4.1943,49,-0.0421,68,0.72414,49,-0.0692
ENSG00000175756,AURKAIP1,246,1.16863,66,-0.9978,110,-0.2464,119,-0.1128
ENSG00000221978,CCNL2,82,0.54099,39,-0.6650,60,0.04202,57,-0.0658
ENSG00000242485,MRPL20,88,-0.5173,56,-1.2211,152,0.49859,125,0.06047
ENSG00000235098,ANKRD65,3,-3.2885,12,-1.2096,7,-2.3693,51,2.80041
ENSG00000179403,VWA1,66,-0.7917,35,-1.7566,29,-2.3522,198,2.39329
ENSG00000205090,TMEM240,3,-4.0147,36,-0.3211,100,2.57867,15,-2.1559
ENSG00000160075,SSU72,150,0.22300,84,-0.6969,138,0.11589,133,0.03052
ENSG00000228594,FNDC10,3,-3.4200,29,0.00016,51,1.47336,19,-0.9278
ENSG00000272106,AL691432.2,3,-2.9574,20,-0.0846,28,0.66718,21,-0.0486
ENSG00000197530,MIB2,40,0.30743,23,-0.5570,39,0.38371,29,-0.3056
ENSG00000215790,SLC35E2A,3,-3.2246,13,-1.0743,40,1.08427,24,-0.1664
ENSG00000008130,NADK,3,-3.1101,19,-0.3406,32,0.70110,24,0.01784
ENSG00000078369,GNB1,430,0.69256,151,-0.9949,364,0.57847,221,-0.6001
ENSG00000187730,GABRD,3,-4.0948,30,-0.6983,123,3.81749,4,-4.0707
ENSG00000067606,PRKCZ,3,-4.9624,55,-0.8323,180,1.82629,61,-0.9627
ENSG00000162585,FAAP20,303,1.95352,61,-0.8289,84,-0.4173,78,-0.6630
ENSG00000157933,SKI,91,0.66698,31,-1.0460,68,0.24881,56,-0.2352
ENSG00000157916,RER1,144,0.98035,44,-0.9487,79,-0.0360,75,-0.1820
ENSG00000157911,PEX10,14,-1.1410,24,-0.3706,40,0.65350,28,-0.1558
ENSG00000197921,HES5,3,-3.1013,31,0.45596,39,1.26388,15,-0.9441
ENSG00000157870,PRXL2B,19,-1.7994,38,-0.7735,129,2.09271,30,-1.5344
ENSG00000177133,PRDM16-DT,53,0.82611,41,0.40894,18,-1.0691,35,0.22847
ENSG00000158109,TPRG1L,320,1.84708,39,-1.6387,178,1.11413,33,-2.4024
ENSG00000130764,LRRC47,3,-4.1484,22,-1.1893,66,0.72158,53,0.25919
ENSG00000069424,KCNAB2,3,-5.3581,68,-0.7777,279,3.23684,26,-2.7845
ENSG00000116254,CHD5,3,-5.6802,208,0.65257,329,2.81616,17,-3.7945
ENSG00000116251,RPL22,845,0.38191,322,-1.1468,301,-1.5028,991,1.25659
ENSG00000116237,ICMT,98,1.60992,11,-1.9403,28,-0.6753,40,0.05484
ENSG00000097021,ACOT7,157,1.30467,44,-0.8130,118,1.19832,27,-2.0349
ENSG00000215788,TNFRSF25,3,-3.1827,18,-0.5271,59,2.89998,6,-2.5810
ENSG00000171680,PLEKHG5,3,-3.2177,22,-0.2006,57,2.51514,8,-2.2053
ENSG00000162408,NOL9,70,1.16779,28,-0.3629,54,1.05942,14,-1.8476
ENSG00000162413,KLHL21,135,1.70200,23,-1.2697,36,-0.7072,50,-0.1014
ENSG00000007923,DNAJC11,3,-3.4924,26,-0.2695,64,2.12374,14,-1.5928
ENSG00000171735,CAMTA1,97,-0.8039,131,-0.3309,253,1.11797,117,-0.7499
ENSG00000049245,VAMP3,278,1.60196,22,-2.4761,33,-2.1645,152,0.92265
ENSG00000049246,PER3,163,1.91858,29,-1.0243,36,-0.8511,51,-0.2379
ENSG00000116288,PARK7,48,-2.1243,115,-0.8002,158,-0.4016,272,1.09339
ENSG00000142599,RERE,3,-5.0385,71,-0.3803,160,1.54556,64,-0.7977
ENSG00000074800,ENO1,1706,1.78442,233,-1.5409,611,-0.0626,473,-0.6732
ENSG00000171612,SLC25A33,36,-0.2986,15,-1.5698,36,-0.3611,57,0.83004
ENSG00000171603,CLSTN1,293,-0.3986,195,-1.0316,739,1.91693,171,-1.6599
ENSG00000178585,CTNNBIP1,3,-3.3205,28,0.05373,22,-0.4305,37,0.92008
ENSG00000162441,LZIC,10,-1.9617,18,-1.0301,19,-1.2120,59,1.78420
ENSG00000130939,UBE4B,3,-3.3014,25,-0.0831,47,1.46657,18,-0.8882
ENSG00000054523,KIF1B,422,0.63108,151,-1.0152,376,0.61591,225,-0.5982
ENSG00000142657,PGD,72,0.72592,29,-0.7296,56,0.41440,38,-0.5163
ENSG00000160049,DFFA,3,-3.2038,25,0.01134,22,-0.3147,33,0.83509
ENSG00000120948,TARDBP,58,-0.3182,26,-1.5400,95,0.66985,68,-0.1163
ENSG00000116649,SRM,139,0.69500,52,-0.8685,129,0.82430,61,-0.9140
ENSG00000171824,EXOSC10,20,-0.1497,19,-0.2895,26,0.35707,21,-0.1700
ENSG00000198793,MTOR,3,-3.2440,12,-1.2098,45,1.43318,21,-0.5006
ENSG00000116661,FBXO2,389,0.81607,124,-1.0240,205,-0.3205,256,0.18221
ENSG00000132879,FBXO44,3,-5.2730,72,-0.6082,243,2.68741,37,-2.0928
ENSG00000116670,MAD2L2,3,-3.0241,17,-0.4571,24,0.16772,27,0.56350
ENSG00000011021,CLCN6,45,-0.6640,49,-0.5250,128,1.73912,34,-1.4905
ENSG00000116685,KIAA2013,3,-3.8521,20,-1.0792,33,-0.3762,59,1.26258
ENSG00000116688,MFN2,44,-0.6277,39,-0.8163,78,0.41029,67,0.08868
ENSG00000048707,VPS13D,3,-3.4075,31,0.10290,38,0.61277,28,-0.0452
ENSG00000162496,DHRS3,369,2.87895,16,-2.4966,51,-1.0047,57,-0.9017
ENSG00000116731,PRDM2,3,-3.9640,25,-0.8493,75,1.50891,32,-0.6356
ENSG00000189337,KAZN,96,0.74720,22,-1.5675,73,0.37508,54,-0.3068
ENSG00000142634,EFHD2,57,-1.2301,62,-1.0828,279,2.52686,42,-2.1657
ENSG00000116786,PLEKHM2,3,-4.1092,60,0.38894,71,1.00199,37,-0.5597
ENSG00000065526,SPEN,3,-3.8345,33,-0.2486,55,0.80962,38,-0.0902
ENSG00000055070,SZRD1,3,-4.1455,23,-1.1792,34,-0.6793,77,1.56317
ENSG00000157191,NECAP2,43,0.72642,10,-1.5101,20,-0.6322,34,0.56884
ENSG00000159363,ATP13A2,19,-2.1086,57,-0.4523,146,1.81725,43,-1.2616
ENSG00000117118,SDHB,5,-3.4676,26,-1.0468,55,0.18868,65,0.72135
ENSG00000117115,PADI2,611,2.52240,29,-2.5995,39,-2.4898,175,0.20686
ENSG00000179051,RCC2,3,-2.7546,27,0.62095,15,-0.3872,23,0.57653
ENSG00000117154,IGSF21,3,-4.5270,43,-0.5950,128,2.04626,34,-1.3062
ENSG00000159423,ALDH4A1,285,2.81552,22,-1.6819,34,-1.3028,49,-0.7265
ENSG00000127463,EMC1,49,0.54812,21,-0.8135,42,0.41070,30,-0.3856
ENSG00000053372,MRTO4,3,-3.0355,17,-0.3855,35,1.06891,19,-0.3494
ENSG00000053371,AKR7A2,301,2.69231,23,-1.7908,28,-1.7629,65,-0.3243
ENSG00000077549,CAPZB,9,-4.5827,105,-0.9876,299,1.03993,189,-0.0929
ENSG00000173436,MICOS10,712,1.46584,146,-1.1669,192,-0.9248,334,0.21878
ENSG00000158747,NBL1,342,0.56953,119,-1.1081,304,0.51632,203,-0.4350
ENSG00000162545,CAMK2N1,38,-3.4124,362,-0.0370,422,0.29020,417,0.32408
ENSG00000158828,PINK1,235,-0.0584,124,-1.0605,315,0.60070,222,-0.2327
ENSG00000127483,HP1BP3,3,-5.4582,74,-0.8190,176,0.84790,127,0.07509
ENSG00000075151,EIF4G3,265,1.80059,41,-1.3208,125,0.59615,47,-1.5165
ENSG00000117298,ECE1,157,1.90252,16,-1.8169,34,-0.9011,53,-0.0491
ENSG00000076864,RAP1GAP,3,-5.7551,75,-1.0655,352,2.93409,49,-2.1948
ENSG00000090686,USP48,3,-3.5783,11,-1.6786,44,0.68808,37,0.35601
ENSG00000070831,CDC42,293,0.25072,108,-1.3156,247,-0.0379,280,0.29422
ENSG00000173369,C1QB,3,-3.7038,22,-0.7537,14,-1.6960,63,2.21432
ENSG00000004487,KDM1A,58,0.52058,26,-0.7436,56,0.66860,32,-0.6630
ENSG00000169641,LUZP1,3,-3.1871,27,0.12372,48,1.84629,12,-1.4705
ENSG00000125944,HNRNPR,14,-2.5786,53,-0.6072,101,0.63401,81,0.12979
ENSG00000117318,ID3,788,2.95942,51,-1.8986,13,-4.3189,179,0.03332
ENSG00000142676,RPL11,1199,0.66817,337,-1.3531,293,-1.8517,1204,1.31734
ENSG00000057757,PITHD1,204,0.91618,49,-1.3801,167,0.81883,78,-0.9373
ENSG00000011009,LYPLA2,147,2.07058,26,-0.9309,65,0.78205,14,-2.3968
ENSG00000189266,PNRC2,362,2.60210,36,-1.4444,48,-1.2373,73,-0.5734
ENSG00000188529,SRSF10,144,1.81701,27,-0.9991,34,-0.8582,49,-0.1485
ENSG00000001461,NIPAL3,163,1.33741,23,-1.7948,54,-0.6642,82,0.23734
ENSG00000133226,SRRM1,3,-4.0766,34,-0.4926,43,-0.1284,62,0.89014
ENSG00000169504,CLIC4,327,1.20678,47,-1.8827,39,-2.5137,242,1.29685
ENSG00000117614,SYF2,84,0.51400,29,-1.1779,53,-0.2854,70,0.35236
ENSG00000117616,RSRP1,3,-4.6853,34,-1.1308,99,0.80385,75,0.17814
ENSG00000183726,TMEM50A,60,-0.6354,40,-1.2494,80,-0.2382,116,0.77505
ENSG00000162430,SELENON,123,1.06603,46,-0.5597,72,0.20640,51,-0.5803
ENSG00000117640,MTFR1L,63,0.21679,43,-0.3870,72,0.60679,44,-0.5481
ENSG00000117632,STMN1,267,-1.1402,195,-1.6136,784,0.84350,540,-0.0601
ENSG00000158008,EXTL1,3,-3.5017,31,-0.0109,74,2.90237,6,-3.0200
ENSG00000142669,SH3BGRL3,14,-3.8757,81,-1.3142,187,-0.0105,259,0.97928
ENSG00000198830,HMGN2,248,0.73472,46,-1.8936,92,-1.0741,217,0.92712
ENSG00000117713,ARID1A,3,-4.1488,33,-0.6062,77,1.16993,42,-0.3373
ENSG00000204160,ZDHHC18,48,0.52962,21,-0.7930,68,1.89949,10,-2.4353
ENSG00000090273,NUDC,135,-0.0074,73,-0.9624,139,0.06074,148,0.24320
ENSG00000142784,WDTC1,3,-3.5426,32,0.00463,36,0.29424,36,0.30966
ENSG00000186501,TMEM222,55,-0.8739,67,-0.5753,149,1.06893,75,-0.5914
ENSG00000158195,WASF2,91,0.63705,27,-1.2791,23,-1.7990,92,1.29580
ENSG00000126705,AHDC1,101,1.18817,34,-0.6187,64,0.57642,31,-1.0700
ENSG00000126709,IFI6,30,-1.9501,67,-0.7502,132,0.46868,118,0.26731
ENSG00000117758,STX12,3,-4.8732,47,-0.8600,115,0.82797,84,0.09698
ENSG00000117751,PPP1R8,3,-3.8265,22,-0.8595,68,1.48634,30,-0.6136
ENSG00000117748,RPA2,75,1.11679,21,-0.9423,37,-0.1148,36,-0.2045
ENSG00000126698,DNAJC8,279,1.37520,56,-1.2560,146,0.31897,91,-0.7570
ENSG00000130770,ATP5IF1,258,0.28927,109,-1.0699,294,0.72852,174,-0.5194
