Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to12,Feature log2 fold change topic 4to12
ENSG00000228794,LINC01128,2,-3.5466,18,-0.3798,18,-0.4009,27,1.06491
ENSG00000188976,NOC2L,60,0.17610,15,-1.9204,24,-1.2324,60,0.87447
ENSG00000188290,HES4,46,-0.7848,164,1.25750,66,-0.2142,71,-0.3717
ENSG00000187608,ISG15,62,-0.4462,144,0.91218,62,-0.4450,80,-0.1590
ENSG00000188157,AGRN,17,-1.3875,33,-0.3655,31,-0.4512,47,0.78774
ENSG00000131591,C1orf159,5,-1.3667,7,-0.8706,22,0.79787,14,0.25878
ENSG00000078808,SDF4,10,-3.0108,104,0.45506,56,-0.5164,85,0.58588
ENSG00000176022,B3GALT6,0,-5.5172,14,-1.4508,36,-0.0104,43,1.33166
ENSG00000160087,UBE2J2,29,-0.7943,27,-0.8641,35,-0.4911,54,0.82756
ENSG00000162572,SCNN1D,5,-1.3571,23,0.80551,8,-0.7076,14,0.20672
ENSG00000131584,ACAP3,186,0.76665,61,-0.9816,95,-0.3074,116,0.02791
ENSG00000169972,PUSL1,0,-4.0553,14,0.11849,13,0.05064,14,0.58980
ENSG00000127054,INTS11,61,-0.0378,68,0.15466,47,-0.4181,63,0.10225
ENSG00000224051,CPTP,19,-0.9498,27,-0.4427,29,-0.3403,39,0.65573
ENSG00000107404,DVL1,21,-1.6458,73,0.20581,112,0.88870,63,-0.1294
ENSG00000175756,AURKAIP1,143,-0.3115,234,0.46171,200,0.21552,169,-0.1863
ENSG00000221978,CCNL2,56,-0.0609,67,0.21767,33,-0.8787,60,0.21692
ENSG00000242485,MRPL20,244,0.46530,188,0.04641,181,-0.0127,175,-0.2223
ENSG00000235098,ANKRD65,0,-4.6615,31,0.61886,21,-0.0423,23,0.35095
ENSG00000179403,VWA1,0,-5.2382,102,2.12230,24,-0.3151,26,-0.7175
ENSG00000160072,ATAD3B,28,0.89850,7,-1.0911,13,-0.2598,16,-0.0488
ENSG00000197785,ATAD3A,16,-0.2288,19,0.01681,12,-0.7131,20,0.33733
ENSG00000205090,TMEM240,124,1.48133,11,-2.2140,39,-0.3990,48,-0.2661
ENSG00000160075,SSU72,44,-1.8487,117,-0.3759,158,0.09499,163,0.61648
ENSG00000228594,FNDC10,95,1.13588,21,-1.2134,33,-0.5625,47,-0.0925
ENSG00000272106,AL691432.2,0,-4.6790,14,-0.6176,20,-0.0388,24,1.02473
ENSG00000197530,MIB2,123,1.47133,72,0.56694,40,-0.3634,41,-0.9153
ENSG00000215790,SLC35E2A,15,-1.7181,32,-0.6328,45,-0.1092,54,0.80739
ENSG00000008130,NADK,0,-5.3654,27,-0.2783,40,0.33942,36,0.65119
ENSG00000078369,GNB1,422,-0.1429,247,-0.9631,431,-0.1115,494,0.43098
ENSG00000187730,GABRD,46,-1.8535,23,-2.8286,110,-0.5481,189,1.65517
ENSG00000067606,PRKCZ,99,-1.2611,57,-2.0759,173,-0.4137,265,1.26866
