"","cell_type_class","cell_type_broad","cell_type_anno","n_nuclei","prop","n_donors","median_sum","median_detected","median_Mito_percent","median_scDblFinder.score","top_enrichment_genes_global"
"1","glia","Astro","Astro.1",10976,0.0899642634667716,31,9395,3590,0.0794060439263882,0.00100528565235436,NA
"2","glia","Astro","Astro.2",5276,0.0432444837874168,31,3337,1889,0.126930405511363,0.000734380388166755,NA
"3","glia","Astro","Astro.3",3087,0.0253024491000295,31,5406,2599,0.100755667506297,0.000924889114685357,NA
"4","glia","Astro","Astro.4",1133,0.00928658076784368,31,7658,3244,0.0528541226215645,0.00122074235696346,NA
"5","glia","Astro","Astro.5",812,0.00665551949116422,31,1847.5,1229.5,0.168527678017345,0.000745779310818762,NA
"6","glia","Macro","Macro",433,0.0035490639651159,31,4066,2031,0.0519210799584631,0.000800709356553853,"CLCC1, ENSG00000269968, H4C16, LINC01682, PPP1R9A"
"7","glia","Micro","Micro.1",4227,0.0346464050359005,31,4598,2277,0.0491460867428431,0.000770697370171547,"PODXL, ATXN7L1, RNF7, ENSG00000285963, SPDYE17"
"8","glia","Micro","Micro.2",3748,0.0307203042523196,31,2557.5,1561.5,0.103296911620631,0.000751511135604233,"CKS1B, ENSG00000254649, PARP14, ACADM, ENSG00000255440"
"9","glia","Micro","Micro.3",1876,0.0153765450313104,30,4734.5,2340,0.0540248869100194,0.000797880900790915,"ZNF362, ANKRD28, HLA-V, HOXA4, ADRA2C"
"10","glia","Micro","Micro.4",1728,0.0141634700501623,31,4342.5,2212.5,0.0504542922805442,0.000770697370171547,"DARS1-AS1, LSP1, TIA1, SPATA42, ADRA2C"
"11","glia","Micro","Micro.5",590,0.00483590701944199,31,2510,1555.5,0.105979080854467,0.000796548731159419,"OR2Y1, ENSG00000248533, BCL7B, SNHG4, PCYOX1"
"12","glia","OPC","OPC.1",4815,0.0394659191501918,31,8122,3246,0.0582139946443125,0.00105605681892484,"ATP6V0D2, ENSG00000270504, ENSG00000274695, PRRC1, ENSG00000256389"
