"","sample_id","exp_round","seq_round","n_nuclei","median_sum","median_detected","median_Mito_percent","median_scDblFinder.score"
"1","Br1039","round1","round1",3681,6157,2734,0.284984860179303,0.00120136933401227
"2","Br1289","round6","round2",5806,4878.5,2401,0.026297681007586,0.00122881401330233
"3","Br1556","round1","round2",4616,8462,3366.5,0.0529621624879306,0.00119414256187156
"4","Br1691","round3","round1",3509,9748,3694,1.04389024834696,0.00165317940991372
"5","Br1706","round4","round1",4122,7041,2940,0.0571477130117575,0.000623239204287529
"6","Br2305","round4","round1",4273,7757,3059,0.0905993076590221,0.000751511135604233
"7","Br2582","round2","round1",3949,5263,2362,0.0446229361892012,0.00059733510715887
"8","Br3974","round3","round1",1571,3766,1922,0.132406487917908,0.00507766846567392
"9","Br5161","round7","round2",4783,4857,2366,0.0287273771904625,0.000672829744871706
"10","Br5212","round1","round2",5477,7221,2929,0.0147449130050133,0.00037827983032912
"11","Br5276","round2","round1",1597,6191,2508,0.265745415891576,0.00578219257295132
"12","Br5367","round8","round2",4398,6128,2749,0.179347954561015,0.00159267953131348
"13","Br5415","round2","round1",4747,6268,2617,0.0766283524904215,0.000676173658575863
"14","Br5426","round3","round1",3625,7251,2929,0.140694090848184,0.000843638088554144
"15","Br5460","round4","round1",4521,12120,3761,0.0980969197567196,0.000634507858194411
"16","Br5517","round4","round1",3632,11105,3637.5,0.270212533639599,0.000625130254775286
"17","Br5529","round7","round2",3644,3008.5,1626,0.516525841777603,0.0100516900420189
"18","Br5599","round5","round2",3333,5974,2461,0.00437426184331394,0.000775058637373149
"19","Br5634","round5","round2",4143,8382,3051,0.05859375,0.00124315777793527
"20","Br5712","round8","round2",3131,8485,3091,0.180356203501916,0.00161686004139483
"21","Br5832","round5","round2",3604,7530.5,2912,0.1083788936144,0.000991483684629202
"22","Br5854","round6","round2",3965,7290,2920,0.0427277388480602,0.000964720326010138
"23","Br5941","round5","round2",4347,5909,2612,0.0240905805829921,0.00124705652706325
"24","Br6085","round6","round2",2980,10822.5,3929,0.123118904241852,0.000922028149943799
"25","Br6098","round7","round2",3186,9404.5,3427,0.13926538556781,0.000564751651836559
"26","Br6161","round6","round2",3013,12571,4043,0.410856573705179,0.00155683106277138
"27","Br6263","round8","round2",4220,4413.5,1978.5,0.446065082833214,0.00336900947149843
"28","Br6321","round8","round2",3057,7067,2992,0.106521797022716,0.00129916635341942
"29","Br6423","round7","round2",6288,5087.5,2347.5,0.0222509318302309,0.00090476218611002
"30","Br6476","round3","round1",4871,6148,2820,0.105969622041681,0.000685451494064182
"31","Br6538","round8","round2",3915,4674,2327,0.391752577319588,0.000789471669122577
