Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8to12,Feature log2 fold change topic 8to12
ENSG00000188976,NOC2L,284,3.05383,37,-0.5802,2,-4.4337,26,-1.4053,46,-0.4106
ENSG00000188290,HES4,284,1.61065,80,-0.4712,64,-0.8189,47,-1.5616,137,0.64318
ENSG00000187608,ISG15,284,0.90230,90,-0.9040,67,-1.3536,39,-2.5010,271,1.65954
ENSG00000078808,SDF4,284,1.20674,273,1.14176,231,0.85490,46,-1.9784,132,-0.0654
ENSG00000160087,UBE2J2,284,2.79489,1,-5.0595,2,-4.5875,37,-0.9708,59,-0.0789
ENSG00000131584,ACAP3,284,1.62981,105,-0.0286,2,-5.3265,57,-1.2078,134,0.59169
ENSG00000127054,INTS11,284,1.90830,2,-5.6518,359,2.38533,18,-2.8172,79,-0.3728
ENSG00000107404,DVL1,284,2.27586,33,-1.3003,34,-1.2231,48,-0.9269,76,-0.0217
ENSG00000175756,AURKAIP1,284,1.51855,1,-5.9659,104,-0.1443,62,-1.1831,147,0.69034
ENSG00000221978,CCNL2,284,2.50470,1,-5.2447,31,-1.2190,13,-2.8098,92,0.79315
ENSG00000242485,MRPL20,284,1.32151,17,-2.9508,293,1.37842,69,-1.1740,132,0.08278
ENSG00000179403,VWA1,284,0.38564,161,-0.5046,143,-0.6855,66,-2.1911,364,1.58242
ENSG00000205090,TMEM240,284,2.72223,69,0.14540,23,-1.4900,33,-1.2096,49,-0.5718
ENSG00000160075,SSU72,284,1.50782,88,-0.4116,8,-3.8362,61,-1.1958,150,0.74653
ENSG00000078369,GNB1,284,0.35718,192,-0.2552,147,-0.6661,156,-0.7477,294,0.72427
ENSG00000067606,PRKCZ,284,2.22103,32,-1.3541,2,-4.9667,51,-0.8601,85,0.19081
ENSG00000162585,FAAP20,284,1.64105,1,-5.8695,287,1.66525,64,-0.9821,90,-0.3965
ENSG00000157933,SKI,284,2.45425,1,-5.2783,112,0.74545,34,-1.3665,63,-0.2795
ENSG00000157916,RER1,284,1.98910,90,0.02920,93,0.06916,34,-1.7807,93,0.11297
ENSG00000157870,PRXL2B,284,2.88735,1,-5.0033,46,-0.3768,24,-1.6069,54,-0.1684
ENSG00000158109,TPRG1L,284,2.08619,1,-5.5346,223,1.62362,44,-1.2481,66,-0.5571
ENSG00000069424,KCNAB2,284,1.95659,1,-5.6293,72,-0.3523,63,-0.7069,95,0.11629
ENSG00000116254,CHD5,284,1.61136,105,-0.0499,2,-5.4214,94,-0.2936,107,-0.0394
ENSG00000116251,RPL22,284,-1.6982,936,0.11885,2384,1.70606,441,-1.2933,1010,0.39716
ENSG00000097021,ACOT7,284,2.10500,1,-5.5210,134,0.75007,24,-2.1896,98,0.40165
ENSG00000171735,CAMTA1,284,0.97651,1,-6.4106,252,0.77563,127,-0.4181,164,0.13876
ENSG00000049245,VAMP3,284,1.27549,85,-0.6575,429,2.04442,37,-2.2554,125,-0.1139
ENSG00000116288,PARK7,284,0.25256,40,-2.6782,447,1.00149,176,-0.6382,285,0.43441
ENSG00000142599,RERE,284,1.85710,24,-2.0559,85,-0.1765,50,-1.2185,109,0.36735
ENSG00000074800,ENO1,284,-0.8467,1,-8.0697,990,1.14800,416,-0.3455,592,0.49397
ENSG00000171603,CLSTN1,284,0.02599,10,-4.9183,296,0.09592,140,-1.3135,440,1.41830
ENSG00000054523,KIF1B,284,0.24137,40,-2.6809,527,1.27315,162,-0.8104,285,0.41037
ENSG00000120948,TARDBP,284,2.21640,43,-0.9278,162,1.16824,23,-2.2214,74,-0.1543
ENSG00000116649,SRM,284,1.74745,3,-5.1056,243,1.46082,53,-1.2317,94,-0.1731
ENSG00000116661,FBXO2,284,0.28267,2,-7.0015,161,-0.5953,233,-0.0433,294,0.57939
ENSG00000132879,FBXO44,284,1.77878,123,0.34777,65,-0.6389,69,-0.7131,88,-0.2844
ENSG00000011021,CLCN6,284,3.18328,1,-4.8333,2,-4.3581,23,-1.5269,49,-0.1462
ENSG00000116688,MFN2,284,2.51936,8,-3.2080,76,0.15114,37,-1.1633,61,-0.2611
ENSG00000116731,PRDM2,284,2.90792,72,0.34996,2,-4.5189,23,-1.6846,49,-0.3947
ENSG00000116786,PLEKHM2,284,2.36098,85,0.22760,6,-3.6044,68,-0.1705,48,-0.9463
ENSG00000065526,SPEN,284,3.00186,1,-4.9358,13,-2.1959,25,-1.5017,54,-0.0626
ENSG00000055070,SZRD1,284,1.92567,1,-5.6524,308,2.09056,33,-1.8736,75,-0.4567
ENSG00000159363,ATP13A2,284,2.35936,33,-1.2015,35,-1.1193,50,-0.7679,67,-0.2408
ENSG00000117118,SDHB,284,2.38905,19,-1.9815,135,1.00557,27,-1.8097,66,-0.2469
ENSG00000117115,PADI2,284,1.57793,42,-1.4689,14,-3.0157,46,-1.6300,160,1.09778
ENSG00000077549,CAPZB,284,0.78221,142,-0.3212,304,0.89641,75,-1.5706,213,0.53251
ENSG00000173436,MICOS10,284,0.20502,72,-1.8789,565,1.35759,159,-0.8854,286,0.36463
ENSG00000158747,NBL1,284,0.77253,313,0.93873,227,0.40833,100,-1.0953,177,0.01907
ENSG00000162545,CAMK2N1,284,-0.5761,237,-0.8458,6,-6.0240,431,0.10354,537,0.73720
ENSG00000158828,PINK1,284,0.68765,33,-2.5604,300,0.78319,135,-0.6364,212,0.36097
ENSG00000127483,HP1BP3,284,1.34681,58,-1.1790,63,-1.0586,60,-1.3858,172,0.89896
ENSG00000075151,EIF4G3,284,1.92158,1,-5.6555,186,1.15300,28,-2.1316,104,0.32049
ENSG00000076864,RAP1GAP,284,2.50059,46,-0.6134,2,-4.7756,48,-0.7181,61,-0.2959
ENSG00000070831,CDC42,284,0.49039,156,-0.4498,471,1.34881,57,-2.3065,273,0.74314
ENSG00000125944,HNRNPR,284,1.89219,47,-1.0608,134,0.57275,51,-1.1548,90,-0.0788
ENSG00000117318,ID3,284,1.58221,1,-5.9156,315,1.78024,21,-2.8497,127,0.37985
ENSG00000142676,RPL11,284,-1.7781,1054,0.22224,1513,0.81113,515,-1.1153,1217,0.79369
ENSG00000057757,PITHD1,284,1.55231,68,-0.7678,287,1.57618,46,-1.6280,104,-0.1823
ENSG00000189266,PNRC2,284,1.83822,63,-0.6492,195,1.15643,30,-2.0852,98,0.05517
ENSG00000001461,NIPAL3,284,2.33558,6,-3.5484,3,-4.7684,32,-1.5518,95,0.65142
ENSG00000133226,SRRM1,284,2.23864,28,-1.5630,62,-0.3533,31,-1.6941,88,0.31003
ENSG00000169504,CLIC4,284,1.18840,163,0.27372,176,0.38940,36,-2.3524,176,0.68061
ENSG00000117614,SYF2,284,1.47768,83,-0.5201,201,0.87559,48,-1.6325,128,0.23398
ENSG00000117616,RSRP1,284,1.80862,25,-2.0641,212,1.27570,17,-3.0212,117,0.47833
ENSG00000183726,TMEM50A,284,1.52758,91,-0.3497,167,0.61551,39,-1.9340,133,0.41493
ENSG00000162430,SELENON,284,1.80011,1,-5.7469,302,1.92257,48,-1.3344,79,-0.4967
ENSG00000117640,MTFR1L,284,2.64099,1,-5.1561,2,-4.6841,37,-1.0964,69,0.15248
ENSG00000117632,STMN1,284,-0.3803,75,-2.3669,183,-1.0465,103,-2.2479,678,2.31144
ENSG00000142669,SH3BGRL3,284,0.12722,333,0.38495,654,1.53027,132,-1.3074,268,0.06423
ENSG00000198830,HMGN2,284,0.96511,103,-0.6502,117,-0.4561,72,-1.4487,217,0.93666
ENSG00000117713,ARID1A,284,2.41650,1,-5.3037,2,-4.8319,42,-1.0219,81,0.31317
ENSG00000090273,NUDC,284,0.97220,3,-5.4838,434,1.72898,60,-1.7495,182,0.40227
ENSG00000186501,TMEM222,284,2.11875,2,-5.4637,16,-2.4476,37,-1.5275,110,0.77892
ENSG00000158195,WASF2,284,1.89490,27,-1.8658,128,0.49889,26,-2.2670,115,0.57232
ENSG00000126709,IFI6,284,-0.2917,209,-0.7572,715,1.21305,100,-2.2014,499,1.11692
ENSG00000117758,STX12,284,1.93055,1,-5.6488,65,-0.5166,28,-2.1186,127,0.93828
ENSG00000126698,DNAJC8,284,1.31673,131,0.04191,360,1.74997,57,-1.5196,106,-0.4259
ENSG00000130770,ATP5IF1,284,0.52137,54,-1.9944,474,1.39500,85,-1.6222,260,0.65646
ENSG00000116350,SRSF4,284,2.58449,1,-5.1925,10,-2.8454,24,-1.8348,81,0.53871
ENSG00000162512,SDC3,284,1.69406,77,-0.4583,2,-5.3569,75,-0.6502,116,0.29366
ENSG00000134644,PUM1,284,1.86524,12,-3.0204,231,1.48787,35,-1.7929,93,-0.0346
ENSG00000121766,ZCCHC17,284,2.11593,80,-0.0698,2,-5.0415,48,-1.0773,89,0.15681
ENSG00000121769,FABP3,284,3.00397,2,-4.9214,2,-4.4624,22,-1.7114,59,0.13002
ENSG00000162517,PEF1,284,2.57792,1,-5.1967,127,1.03975,14,-2.7396,67,0.01136
ENSG00000084636,COL16A1,284,2.31564,2,-5.0620,95,0.36359,18,-2.5431,91,0.49695
ENSG00000121753,ADGRB2,284,2.02233,1,-5.5810,2,-5.1053,66,-0.5695,99,0.33383
ENSG00000184007,PTP4A2,284,0.07181,127,-1.1543,3,-6.4115,162,-1.0041,438,1.52635
ENSG00000121774,KHDRBS1,284,1.30209,110,-0.2444,280,1.27695,50,-1.7543,135,0.11410
ENSG00000084623,EIF3I,284,2.16148,1,-5.4806,80,-0.0334,40,-1.3456,90,0.27082
ENSG00000175130,MARCKSL1,284,-0.6493,69,-2.7417,153,-1.5774,220,-1.2858,759,1.93556
ENSG00000160058,BSDC1,284,2.83471,1,-5.0352,77,0.40913,24,-1.6951,52,-0.3299
ENSG00000162521,RBBP4,284,2.00002,85,-0.0539,91,0.05216,39,-1.5069,88,0.00234
ENSG00000134684,YARS,284,2.66578,1,-5.1402,131,1.15981,25,-1.7515,51,-0.5136
ENSG00000121905,HPCA,284,1.96232,1,-5.6245,2,-5.1536,69,-0.5286,103,0.35045
ENSG00000121900,TMEM54,284,2.58830,1,-5.1900,2,-4.7181,46,-0.7325,65,-0.0438
ENSG00000134686,PHC2,284,1.87541,130,0.51338,105,0.16928,26,-2.2625,101,0.18369
ENSG00000116544,DLGAP3,284,3.56927,1,-4.6341,2,-4.1615,34,-0.5413,23,-1.3695
ENSG00000116560,SFPQ,284,0.85091,496,1.84420,79,-1.1466,50,-2.1770,191,0.33549
ENSG00000020129,NCDN,284,1.23389,1,-6.1957,66,-1.0886,70,-1.2400,195,1.11207
ENSG00000126067,PSMB2,284,1.95474,30,-1.6596,19,-2.3338,28,-2.1162,128,1.01257
ENSG00000116871,MAP7D1,284,1.05917,69,-1.1621,107,-0.4985,60,-1.6691,215,1.10281
ENSG00000054118,THRAP3,284,2.10889,1,-5.5182,231,1.70946,25,-2.1515,77,-0.1841
ENSG00000163875,MEAF6,284,2.49663,109,0.71917,5,-3.7603,13,-2.9126,77,0.26458
ENSG00000197982,C1orf122,284,0.17665,185,-0.4894,169,-0.6287,199,-0.4974,322,0.65258
ENSG00000174574,AKIRIN1,284,2.36776,1,-5.3367,177,1.45311,32,-1.5396,59,-0.5210
ENSG00000168653,NDUFS5,284,-0.2335,95,-1.8837,574,0.90106,219,-0.8126,425,0.70205
ENSG00000127603,MACF1,284,0.94685,139,-0.2025,318,1.14301,106,-0.7877,147,-0.1848
ENSG00000090621,PABPC4,284,2.29765,86,0.20052,115,0.65963,29,-1.7559,62,-0.4587
ENSG00000116983,HPCAL4,284,1.42611,47,-1.4089,36,-1.8122,119,-0.0159,119,-0.0131
ENSG00000131236,CAP1,284,1.65926,46,-1.2614,138,0.42390,49,-1.4348,121,0.34454
ENSG00000131238,PPT1,284,1.38105,13,-3.3609,323,1.61798,49,-1.6969,132,0.18425
ENSG00000049089,COL9A2,284,2.48097,2,-5.1645,8,-3.1591,35,-1.3069,81,0.38512
ENSG00000065978,YBX1,284,0.08795,678,1.55165,825,1.92035,96,-1.8719,209,-0.5672
ENSG00000117394,SLC2A1,284,0.10463,197,-0.4602,350,0.44217,72,-2.3289,413,1.36918
ENSG00000066322,ELOVL1,284,1.19108,21,-2.7868,131,-0.0753,27,-2.8202,221,1.50430
ENSG00000142949,PTPRF,284,1.61623,1,-5.8889,143,0.44859,71,-0.8259,117,0.19671
ENSG00000126091,ST3GAL3,284,3.54304,2,-4.5539,2,-4.1743,35,-0.5100,23,-1.3676
ENSG00000117408,IPO13,284,1.57024,35,-1.7226,162,0.60689,32,-2.2107,144,0.72559
ENSG00000117410,ATP6V0B,284,0.33492,129,-0.8809,175,-0.4232,88,-1.7600,363,1.42928
ENSG00000117411,B4GALT2,284,2.40843,1,-5.3091,2,-4.8373,44,-0.9805,81,0.29385
ENSG00000117419,ERI3,284,1.50813,114,-0.0125,2,-5.4618,77,-0.7892,134,0.40124
ENSG00000187147,RNF220,284,1.66235,7,-3.9682,59,-0.8916,27,-2.4016,162,1.30059
ENSG00000142937,RPS8,284,-2.5265,2083,0.49952,2980,1.09874,812,-1.2099,1938,0.65812
ENSG00000117450,PRDX1,284,-0.5500,182,-1.2185,1054,1.60856,226,-1.1281,486,0.48959
ENSG00000085998,POMGNT1,284,1.78159,13,-3.0092,178,0.95535,31,-2.0976,118,0.46376
ENSG00000173660,UQCRH,284,-0.0602,113,-1.4625,660,1.33385,179,-0.9723,353,0.47590
ENSG00000123472,ATPAF1,284,1.69056,32,-1.7746,123,0.27333,60,-1.0556,113,0.22129
ENSG00000159658,EFCAB14,284,1.51198,65,-0.8561,151,0.44471,49,-1.5915,136,0.45014
ENSG00000162368,CMPK1,284,1.21745,55,-1.3701,439,2.02477,55,-1.6665,125,-0.1877
ENSG00000162374,ELAVL4,284,2.26875,1,-5.4050,2,-4.9333,44,-1.0849,93,0.48263
ENSG00000123091,RNF11,284,0.79782,59,-1.6201,37,-2.3263,118,-0.7641,245,1.00784
ENSG00000085832,EPS15,284,1.82471,1,-5.7282,29,-1.8267,60,-0.9278,121,0.61010
ENSG00000078618,NRDC,284,2.90858,1,-4.9906,111,1.05623,18,-2.0731,45,-0.5606
ENSG00000169213,RAB3B,284,2.30885,1,-5.3772,2,-4.9054,72,-0.1167,67,-0.2908
ENSG00000134717,BTF3L4,284,2.31896,29,-1.4636,232,1.91868,29,-1.7198,48,-0.9608
ENSG00000162378,ZYG11B,284,2.12409,2,-5.4974,2,-5.0357,58,-0.6992,95,0.34664
ENSG00000116171,SCP2,284,1.21198,147,0.12183,282,1.20090,50,-1.8301,143,0.13681
ENSG00000162384,CZIB,284,2.20445,48,-0.7814,147,0.99646,43,-1.1600,61,-0.6144
ENSG00000116209,TMEM59,284,0.26027,101,-1.3156,469,1.09153,102,-1.5905,325,0.84448
ENSG00000157216,SSBP3,284,1.72164,59,-0.8327,215,1.22105,56,-1.1528,89,-0.3301
ENSG00000116133,DHCR24,284,0.94809,2,-5.9939,296,1.02222,30,-2.8857,239,1.25405
ENSG00000162407,PLPP3,284,0.66099,79,-1.3169,84,-1.2272,239,0.55981,170,-0.2365
ENSG00000177606,JUN,284,0.99898,3,-5.6966,639,2.54152,27,-2.9758,162,0.12954
ENSG00000162599,NFIA,284,0.40963,366,0.83026,317,0.59273,136,-0.9319,224,0.04865
ENSG00000162434,JAK1,284,2.23938,1,-5.4255,94,0.29441,30,-1.7499,88,0.29950
ENSG00000162433,AK4,284,2.74405,1,-5.0910,58,-0.0971,52,-0.3570,38,-1.0256
ENSG00000116675,DNAJC6,284,1.39009,1,-6.0690,2,-5.5977,42,-1.9402,203,1.63359
ENSG00000213625,LEPROT,284,2.26975,1,-5.4043,190,1.49897,36,-1.4487,62,-0.5112
ENSG00000184588,PDE4B,284,2.01366,35,-1.3907,2,-5.1158,42,-1.3790,113,0.68259
ENSG00000142864,SERBP1,284,1.17750,172,0.34146,279,1.15001,59,-1.5715,138,-0.0141
ENSG00000116729,WLS,284,1.23984,1,-6.1917,259,1.08100,56,-1.6237,167,0.60730
ENSG00000116754,SRSF11,284,1.12562,114,-0.3451,272,1.05486,54,-1.7881,165,0.38361
ENSG00000132485,ZRANB2,284,1.91234,1,-5.6623,210,1.35353,30,-2.0192,99,0.16640
ENSG00000172260,NEGR1,284,2.71398,1,-5.1098,2,-4.6378,44,-0.7070,58,-0.1864
ENSG00000154027,AK5,284,1.66102,66,-0.7230,103,-0.0370,38,-1.8700,133,0.61704
ENSG00000077254,USP33,284,2.84496,2,-5.0204,23,-1.4315,21,-1.9182,65,0.21145
ENSG00000180488,MIGA1,284,2.74127,1,-5.0927,2,-4.6207,16,-2.3670,79,0.64279
ENSG00000137941,TTLL7,284,1.46219,40,-1.6310,53,-1.2218,27,-2.5691,186,1.41645
ENSG00000142875,PRKACB,284,0.66052,122,-0.6682,20,-3.3284,106,-1.1121,281,1.21272
ENSG00000174021,GNG5,284,1.26902,1,-6.1662,303,1.38715,65,-1.3348,145,0.26272
ENSG00000117155,SSX2IP,284,2.96485,1,-4.9574,119,1.21715,21,-1.7791,38,-0.8747
ENSG00000153904,DDAH1,284,0.63840,2,-6.6614,10,-4.3234,204,0.15609,235,0.55943
ENSG00000097033,SH3GLB1,284,2.27509,75,-0.0451,113,0.61072,26,-1.9565,70,-0.2365
ENSG00000183291,SELENOF,284,1.10866,115,-0.3442,148,0.04344,64,-1.5217,185,0.68945
ENSG00000143013,LMO4,284,0.68127,248,0.46492,74,-1.3978,124,-0.8057,225,0.51725
ENSG00000197147,LRRC8B,284,2.75461,55,-0.1766,2,-4.6124,28,-1.4740,58,-0.1654
ENSG00000162664,ZNF326,284,2.77785,1,-5.0700,2,-4.5980,40,-0.8435,57,-0.1502
ENSG00000122406,RPL5,284,-1.2540,530,-0.3035,2353,2.26533,280,-1.5568,689,0.16839
ENSG00000117528,ABCD3,284,2.64001,33,-1.0451,46,-0.5368,32,-1.3499,58,-0.2629
