Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,14,-0.9116,20,-0.4419,37,0.56462,40,0.71931,35,0.46394,26,0.01355,18,-0.5642,19,-0.4773,25,-0.0567
ENSG00000188976,NOC2L,48,-0.8430,74,-0.1598,65,-0.3532,164,1.18743,155,1.08381,69,-0.2797,29,-1.5811,58,-0.5489,75,-0.1402
ENSG00000188290,HES4,205,1.11941,41,-1.4707,55,-1.0194,64,-0.8058,123,0.24407,86,-0.3349,92,-0.2358,136,0.40389,155,0.62338
ENSG00000187608,ISG15,108,-0.1710,97,-0.3379,96,-0.3598,128,0.09958,123,0.04136,162,0.49247,74,-0.7572,144,0.30123,148,0.34900
ENSG00000188157,AGRN,45,0.24693,36,-0.1053,29,-0.4431,18,-1.1833,49,0.38628,20,-0.9725,55,0.60207,42,0.13986,52,0.49191
ENSG00000078808,SDF4,66,-0.5646,94,-0.0028,114,0.32160,85,-0.1710,103,0.14578,78,-0.2961,166,0.95789,62,-0.6476,79,-0.2863
ENSG00000176022,B3GALT6,31,-0.4716,37,-0.1950,60,0.57543,63,0.67459,50,0.28140,38,-0.1553,26,-0.7518,36,-0.2596,38,-0.1847
ENSG00000160087,UBE2J2,36,-1.0118,91,0.46897,83,0.30712,104,0.68439,96,0.55099,70,0.02653,32,-1.1696,44,-0.7028,62,-0.1503
ENSG00000162572,SCNN1D,18,-0.5578,26,0.04111,27,0.10911,27,0.08963,29,0.22593,26,0.05459,28,0.18747,14,-0.9115,32,0.40731
ENSG00000131584,ACAP3,192,-0.2960,347,0.67458,270,0.25591,207,-0.1771,287,0.35352,185,-0.3535,254,0.15221,149,-0.6998,191,-0.3101
ENSG00000127054,INTS11,48,-0.9060,95,0.17284,115,0.49553,98,0.23390,107,0.37538,54,-0.7153,99,0.24820,77,-0.1509,73,-0.2479
ENSG00000224051,CPTP,61,-0.0478,75,0.29211,78,0.35307,82,0.44796,67,0.12301,34,-0.9634,35,-0.8944,72,0.22426,59,-0.0830
ENSG00000107404,DVL1,180,0.60585,157,0.37535,79,-0.7280,106,-0.2595,91,-0.5067,120,-0.0675,142,0.20632,83,-0.6409,167,0.47753
ENSG00000175756,AURKAIP1,161,-0.1705,164,-0.1415,185,0.05788,122,-0.6025,177,-0.0182,164,-0.1363,196,0.15193,250,0.55482,190,0.09794
ENSG00000221978,CCNL2,97,0.65493,65,-0.0144,33,-1.0810,48,-0.4764,96,0.64296,46,-0.5480,71,0.13810,55,-0.2688,77,0.26014
ENSG00000242485,MRPL20,164,-0.0721,136,-0.3624,137,-0.3585,207,0.31400,195,0.21460,138,-0.3409,207,0.30863,150,-0.2172,207,0.30971
ENSG00000179403,VWA1,9,-2.1669,34,-0.2322,13,-1.6976,22,-0.9385,31,-0.3826,49,0.35807,101,1.65212,15,-1.5011,82,1.24435
ENSG00000160072,ATAD3B,30,0.32043,21,-0.2625,20,-0.3166,33,0.46098,38,0.73103,18,-0.4792,20,-0.2996,22,-0.1354,18,-0.4444
ENSG00000205090,TMEM240,89,-0.5576,102,-0.3358,158,0.36935,209,0.84551,180,0.58340,82,-0.6848,127,0.01458,111,-0.2011,78,-0.7522
ENSG00000160075,SSU72,171,-0.3940,238,0.13696,196,-0.1779,226,0.05192,258,0.26755,253,0.23416,177,-0.3424,234,0.10933,218,-0.0082
ENSG00000228594,FNDC10,13,-2.3180,65,0.06824,84,0.49881,73,0.27237,86,0.53397,50,-0.3285,64,0.05579,51,-0.2976,71,0.22281
ENSG00000272106,AL691432.2,10,-2.2272,72,0.85549,59,0.51228,25,-0.8559,43,-0.0200,53,0.32187,31,-0.5268,48,0.15291,50,0.21756
ENSG00000197530,MIB2,80,0.66463,26,-1.1318,42,-0.3838,34,-0.6988,85,0.76745,52,-0.0497,42,-0.3875,60,0.19624,61,0.20630
ENSG00000189339,SLC35E2B,27,-0.3924,62,0.96546,23,-0.6569,55,0.76677,36,0.06838,22,-0.7272,28,-0.3559,27,-0.4249,34,-0.0494
ENSG00000008130,NADK,39,0.01323,42,0.13352,47,0.32674,25,-0.6617,31,-0.3587,39,0.01749,49,0.41528,45,0.25208,29,-0.4273
ENSG00000078369,GNB1,469,0.25388,423,0.08398,395,-0.0273,392,-0.0394,371,-0.1293,390,-0.0506,337,-0.2852,415,0.04993,426,0.09436
ENSG00000187730,GABRD,86,-0.6713,220,0.86486,195,0.65209,117,-0.1922,156,0.27933,57,-1.3045,119,-0.1568,174,0.46439,60,-1.2122
ENSG00000067606,PRKCZ,159,-0.2604,155,-0.3066,124,-0.6568,257,0.52493,299,0.78549,196,0.07389,144,-0.4220,132,-0.5609,221,0.26809
ENSG00000162585,FAAP20,75,0.10475,34,-1.1172,37,-1.0054,91,0.43156,54,-0.4172,97,0.54241,66,-0.0872,55,-0.3691,121,0.91765
ENSG00000157933,SKI,58,-0.6101,103,0.30889,122,0.58633,81,-0.0895,68,-0.3552,73,-0.2494,105,0.32698,106,0.35099,54,-0.7350
ENSG00000157916,RER1,90,0.21013,76,-0.0731,68,-0.2508,67,-0.2764,77,-0.0544,70,-0.2057,95,0.29409,68,-0.2544,104,0.45039
ENSG00000157911,PEX10,54,0.40535,23,-0.9385,38,-0.1826,47,0.17837,35,-0.3158,43,0.02258,45,0.10588,45,0.08332,51,0.30993
ENSG00000149527,PLCH2,17,-1.1987,43,0.21272,51,0.49573,35,-0.1255,31,-0.2763,50,0.47927,23,-0.7408,51,0.48951,37,-0.0409
ENSG00000197921,HES5,16,-2.6923,120,0.32709,22,-2.2628,43,-1.2854,27,-1.9566,42,-1.3085,349,2.36476,47,-1.1584,220,1.39475
ENSG00000272449,AL139246.5,8,-1.7862,47,0.92385,9,-1.6079,5,-2.4937,13,-1.1612,14,-1.0706,78,1.87677,26,-0.0718,45,0.83391
ENSG00000157870,PRXL2B,100,-0.5151,170,0.33788,111,-0.3567,176,0.39320,157,0.20764,144,0.06721,151,0.14623,158,0.21588,78,-0.8958
ENSG00000177133,PRDM16-DT,27,-0.9752,68,0.49952,24,-1.1285,14,-1.9075,2,-4.5437,61,0.31438,107,1.30663,58,0.25214,89,0.98283
ENSG00000158109,TPRG1L,88,-0.8610,159,0.08274,178,0.26108,215,0.58558,210,0.53909,130,-0.2442,122,-0.3495,131,-0.2320,130,-0.2389
ENSG00000130764,LRRC47,50,-0.6137,84,0.21713,82,0.17591,91,0.34592,109,0.64917,44,-0.8072,66,-0.1705,56,-0.4290,81,0.14317
ENSG00000196581,AJAP1,55,-0.0806,92,0.78985,88,0.71062,58,0.01683,42,-0.5119,34,-0.8114,49,-0.2569,38,-0.6364,61,0.10181
ENSG00000069424,KCNAB2,269,-0.3098,365,0.18558,461,0.57731,288,-0.1983,367,0.19401,286,-0.2115,240,-0.4900,426,0.44304,231,-0.5436
ENSG00000116254,CHD5,372,-0.3039,445,-0.0146,449,-0.0004,620,0.53318,633,0.56935,356,-0.3717,411,-0.1435,410,-0.1466,348,-0.4095
ENSG00000116251,RPL22,687,0.45003,335,-0.7071,392,-0.4610,659,0.38116,316,-0.7949,773,0.65222,358,-0.6022,677,0.42565,511,-0.0380
ENSG00000116237,ICMT,74,0.70382,65,0.48536,44,-0.1434,47,-0.0501,38,-0.3999,32,-0.6255,43,-0.1793,40,-0.2983,52,0.11671
ENSG00000158292,GPR153,9,-1.8498,22,-0.5186,33,0.15106,30,-0.0120,26,-0.2670,33,0.14018,20,-0.6161,63,1.24213,37,0.32364
ENSG00000097021,ACOT7,97,-0.8465,181,0.14052,277,0.86381,217,0.44288,288,0.93572,100,-0.7976,98,-0.8246,120,-0.5133,114,-0.5866
ENSG00000215788,TNFRSF25,36,-0.1205,30,-0.3905,101,1.66768,28,-0.4956,31,-0.3645,24,-0.7403,24,-0.7574,36,-0.1226,40,0.04434
ENSG00000171680,PLEKHG5,30,-1.2525,139,1.21597,121,0.97100,34,-1.0776,60,-0.2186,77,0.19533,52,-0.4239,70,0.04978,31,-1.2358
ENSG00000162408,NOL9,37,-0.5176,37,-0.5151,63,0.31357,46,-0.1867,57,0.15628,49,-0.0786,56,0.11671,77,0.65529,44,-0.2704
ENSG00000162413,KLHL21,95,1.21194,43,-0.1370,35,-0.4363,43,-0.1366,52,0.16810,25,-0.9851,53,0.21095,28,-0.8171,47,0.00630
ENSG00000007923,DNAJC11,67,0.28725,47,-0.2600,43,-0.4012,64,0.22661,79,0.58272,40,-0.5210,59,0.08113,63,0.19088,40,-0.5313
ENSG00000171735,CAMTA1,336,0.42669,199,-0.4210,230,-0.1905,330,0.39546,293,0.19750,185,-0.5381,227,-0.2161,279,0.11937,255,-0.0236
ENSG00000049245,VAMP3,37,-0.1287,36,-0.1630,21,-0.9901,22,-0.9149,17,-1.2835,47,0.27909,52,0.45194,54,0.49147,72,0.99608
