"snn_kOpt","cell_type_class","cell_type_broad","cell_type_fine","cell_type_anno","n","prop","median_sum","median_detected","median_Mito_percent","median_scDblFinder.score","passALL_metricQC"
"k13c01","glia","Endo","Endo.1","Endo",1448,0.0115129878906902,6972,2873,0.0795228659661461,0.00122881401330233,TRUE
"k13c02","neuron","Excit","Excit.2","Excit.L5",2235,0.0177703922207822,57008,8821,0.111635459481403,0.00236709206365049,TRUE
"k13c03","glia","Astro","Astro.2","Astro.2",7938,0.063114708478107,3367.5,1899,0.139453853010291,0.000751511135604233,TRUE
"k13c04","neuron","Inhib","Inhib.2","Inhib.Pvalb",1363,0.0108371564192063,41165,7923,0.116135221793027,0.00378827983513474,TRUE
"k13c05","glia","Micro","Micro.1","Micro.1",10462,0.0831829277019345,4201.5,2164,0.0578745572008124,0.000770697370171547,TRUE
"k13c06","glia","Oligo","Oligo.2","Oligo.2",16236,0.129091762011911,8162,2994,0.0698134430713157,0.0018233236623928,TRUE
"k13c07","neuron","Inhib","Inhib.1","Inhib.Vip",7535,0.0599104722074246,19072,5608,0.101365452268797,0.00274951988831162,TRUE
"k13c08","neuron","Inhib","Inhib.3","Inhib.Lamp5_Lhx6",1234,0.00981148277424844,34249.5,7298.5,0.0947018847016545,0.00451101106591523,TRUE
"k13c09","glia","Oligo","Oligo.1","Oligo.1",30595,0.243259574941759,3636,1842,0.115273775216138,0.000990125234238803,TRUE
"k13c10","glia","Astro","Astro.1","Astro.1",14207,0.112959267239666,8824,3491,0.0763941940412529,0.00101168162655085,TRUE
"k13c11","neuron","Excit","Excit.4","Excit.L6b",897,0.00713200976377702,68541,9095,0.133516591399961,0.00208178465254605,TRUE
"k13c12","glia","OPC","OPC.1","OPC",14717,0.117014256068569,8214,3266,0.0571537435702038,0.00112519890535623,TRUE
"k13c13","neuron","Excit","Excit.3","Excit.L2_3.2",2209,0.017563667300093,72874,9498,0.100393766662577,0.00159267953131348,TRUE
"k13c14","neuron","Excit","Excit.8","Excit.L5_6_NP",152,0.00120854569018295,49046.5,8421.5,0.104109969518625,0.047508716583252,TRUE
"k13c15","neuron","Excit","Excit.1","Excit.L2_3.1",8671,0.0689427610498446,27638,6506,0.120288692862871,0.0015696962364018,TRUE
"k13c16","neuron","Neu","Neu.1","Inhib.Sst",815,0.00648003116775727,33886,7145,0.0947811148628636,0.00371794821694493,TRUE
"k13c17","neuron","Excit","Excit.9","Inhib.Pax6",125,0.000993869811005717,65886,9176,0.119176828619464,0.0360816270112991,TRUE
"k13c18","glia","Micro","Micro.2","Micro.2",3066,0.0243776387243482,2035,1317,0.123704990282645,0.000751511135604233,TRUE
"k13c19","neuron","Excit","Excit.6","Excit.L2_3.3",609,0.00484213371921985,61717,9080,0.0327139492279508,0.00129733025096357,TRUE
"k13c20","neuron","Neu","Neu.2","Inhib.Chandelier",303,0.00240914042187786,34203,7041,0.17790987295142,0.0146487327292562,TRUE
"k13c21","neuron","Excit","Excit.5","Excit.L6_CT",625,0.00496934905502858,70322,9087,0.0909077249027062,0.00204705214127898,TRUE
"k13c22","neuron","Excit","Excit.7","Excit.L4_5",241,0.00191618099561902,63691,9154,0.0369902018976834,0.00510669872164726,TRUE
"k13c23","glia","Oligo","Oligo.3","choird_plexis",88,0.000699684346948025,442.5,397,0.549568531665615,0.000424371944973245,FALSE
