chip,BrNum,experiment,Run,date,chip2
c0061389,Br1039,LFF-ERC,Run2,20260417,183516
c0061389,Br1556,LFF-ERC,Run2,20260417,183516
c0061389,Br5367,LFF-ERC,Run2,20260417,183516
c0061389,Br5599,LFF-ERC,Run2,20260417,183516
c0102273,Br1706,LFF-ERC,Run1,20260410,173740
c0102273,Br5415,LFF-ERC,Run1,20260410,173740
c0102273,Br5941,LFF-ERC,Run1,20260410,173740
c0102273,Br6538,LFF-ERC,Run1,20260410,173740
c0102447,Br2582,LFF-ERC,Run1,20260410,173739
c0102447,Br5426,LFF-ERC,Run1,20260410,173739
c0102447,Br5517,LFF-ERC,Run1,20260410,173740
c0102447,Br6098,LFF-ERC,Run1,20260410,173739
c0102694,Br5161,LFF-ERC,Run2,20260417,183516
c0102694,Br5460,LFF-ERC,Run2,20260417,183516
c0102694,Br5634,LFF-ERC,Run2,20260417,183516
c0102694,Br5854,LFF-ERC,Run2,20260417,183516
