design	model	source_dir	run_hash	FDRthr	medSelFDR	n_mediators_screened	n_validated_mediators	validated_genes_total	mediated_max	baselineDEGs_unique	outcomeDEGs_loss_total	outcomeDEGs_gain_total	n_donors_unique
blue	LC_ERC	out-lc_astro	b4560b6bbaf4d146168cb1a9de0988ee	0.1	0.1	287	15	40	6	1115	215333	27847	19
green	ERC_Astro	out-erc_astro	0d4f2dec005aebff128c2046639e6cc8	0.05	0.05	88	9	619	205	1022	69114	12864	29,30
orange	NM_bin+NM_int	orange_combined	ef4411cb4788136a62c31a01868e0df8;1d8a363c6b01e9d727ed23c40b170720	0.1	0.1	215	8	24	14	1115	147499	43991	19
orange	NM_bin	out-lc_nm	ef4411cb4788136a62c31a01868e0df8	0.1	0.1	159	6	22	14	1115	107188	32669	19
orange	NM_int	out-lc_nm_int	1d8a363c6b01e9d727ed23c40b170720	0.1	0.1	56	2	2	1	1115	40311	11322	19
