cluster_sn,cluster_xenium,n_genes,cor,p_value,n_genes_fdr05,cor_fdr05,p_value_fdr05,FDR,FDR_fdr05
Astro.1,Vasc~SpX3,124,0.3460896931549961,9.098116358613193e-5,NA,NA,NA,0.0010471117644606006,NA
Astro.1,L1a~SpX6,149,0.37119535643025575,3.7286351511470825e-6,NA,NA,NA,1.317451086738636e-4,NA
Astro.1,L1b~SpX7,260,0.2486623038347176,5.3098279040701934e-5,NA,NA,NA,8.495280154212417e-4,NA
Astro.1,L2.3~SpX4,251,0.2053849364446974,0.0010886967302843691,NA,NA,NA,0.00639014393696502,NA
Astro.1,Inhib~SpX5,245,0.3181021468963436,4.2283737589886713e-7,NA,NA,NA,2.988050789685328e-5,NA
Astro.1,L5~SpX1,263,0.11118704532921,0.07185575385114996,NA,NA,NA,0.1557350124391574,NA
Astro.1,L6~SpX9,179,0.16459941832485928,0.027780639661809763,NA,NA,NA,0.07376901719537668,NA
Astro.1,WMtz~SpX8,195,0.32803735292689634,3.2449165987174457e-6,NA,NA,NA,1.317451086738636e-4,NA
Astro.1,WM~SpX2,130,0.19271326933318766,0.028185332041629766,NA,NA,NA,0.07376901719537668,NA
Astro.2,Vasc~SpX3,134,0.2543897056073019,0.0030939872201798963,NA,NA,NA,0.015617268825669953,NA
Astro.2,L1a~SpX6,167,0.2636997949024498,5.98601257613719e-4,13,0.18681318681318684,0.5413410495364169,0.004093660213358337,0.6441344935873332
Astro.2,L1b~SpX7,186,0.2296630596440843,0.0016542600653977066,14,-0.12087912087912088,0.6817682306946782,0.009229029838534573,0.7210759433266801
Astro.2,L2.3~SpX4,171,0.2796337629298966,2.2421207957646868e-4,10,0.2848484848484848,0.4273596988757013,0.002066650472617885,0.6216141074555656
Astro.2,Inhib~SpX5,177,0.2905031076331781,9.384492228656326e-5,11,0.5272727272727272,0.10012881323486947,0.0010471117644606006,0.20025762646973894
Astro.2,L5~SpX1,184,0.2181175473406407,0.0029911077055711573,13,0.24725274725274726,0.41496991657317106,0.015466215453197204,0.6216141074555656
Astro.2,L6~SpX9,181,0.2875619776172262,9.26620391019265e-5,13,0.4010989010989011,0.17577353736078105,0.0010471117644606006,0.3124862886413885
Astro.2,WMtz~SpX8,179,0.2976670223672923,5.6100906678761246e-5,12,0.7832167832167833,0.0041154500202930395,8.495280154212417e-4,0.010974533387448105
Astro.2,WM~SpX2,139,0.3505339827516868,2.6285327830136213e-5,NA,NA,NA,5.065899545444434e-4,NA
Astro.3,L5~SpX1,151,0.20271523178807951,0.012668697867736226,NA,NA,NA,0.04552142284678102,NA
Astro.3,L6~SpX9,139,8.579471826265693e-4,0.9920126720176502,NA,NA,NA,0.9920126720176502,NA
Astro.3,WMtz~SpX8,118,0.16276810593859445,0.07826081965658009,NA,NA,NA,0.1643174999202318,NA
Astro.3,WM~SpX2,116,0.015876677046092337,0.8654971917519378,NA,NA,NA,0.9220372093035719,NA
Astro.4,Vasc~SpX3,132,-0.043354395704737196,0.6211660695760125,NA,NA,NA,0.7556189054939422,NA
Astro.4,L1a~SpX6,163,0.14631098253722824,0.06242572694089714,NA,NA,NA,0.14230380765021713,NA
Astro.4,WMtz~SpX8,79,0.11740506329113926,0.3021271900522738,NA,NA,NA,0.4460756358561234,NA
Astro.4,WM~SpX2,152,0.17159425638502177,0.03464496578856144,NA,NA,NA,0.08640862055500029,NA
Astro.5,Vasc~SpX3,76,0.2909090909090909,0.01102698788025428,NA,NA,NA,0.04030554190713633,NA
Astro.5,L1a~SpX6,83,0.15979597833844084,0.14878342004638714,NA,NA,NA,0.26067838884160394,NA
Astro.5,L1b~SpX7,82,0.1850981160414014,0.09593157355102822,NA,NA,NA,0.18658251002585305,NA
Astro.5,L2.3~SpX4,75,-0.027908961593172115,0.8117699277097543,NA,NA,NA,0.8924172178964193,NA
Astro.5,Inhib~SpX5,79,0.07344206426484909,0.5193011627112221,NA,NA,NA,0.6665528487644234,NA
Astro.5,L5~SpX1,83,0.14363376852357163,0.19477716987669672,NA,NA,NA,0.31521190850274583,NA
Astro.5,L6~SpX9,81,0.1637759710930443,0.14381114288847038,NA,NA,NA,0.25482865457270293,NA
Astro.5,WMtz~SpX8,83,0.2607992947399353,0.017486454477594653,NA,NA,NA,0.0547853821846715,NA
Astro.5,WM~SpX2,78,0.28739614815564174,0.010962807417988382,NA,NA,NA,0.04030554190713633,NA
Macro,Vasc~SpX3,76,0.37927546138072454,7.912720143169762e-4,NA,NA,NA,0.0050833232434908775,NA
Macro,L1a~SpX6,60,0.35676576826896367,0.005377336750041898,NA,NA,NA,0.02374990397935172,NA
Macro,L1b~SpX7,58,0.07428712048971056,0.5784979792980518,NA,NA,NA,0.7256897728472602,NA
Macro,L5~SpX1,54,0.028320945302077374,0.8385772404336959,NA,NA,NA,0.911683974215095,NA
Macro,WMtz~SpX8,61,0.2668429402432575,0.03793761770257346,NA,NA,NA,0.09244568911431694,NA
Macro,WM~SpX2,44,0.2741367159971811,0.07199071329734634,NA,NA,NA,0.1557350124391574,NA
Micro.2,Vasc~SpX3,145,0.1139466225791214,0.1721642584244079,NA,NA,NA,0.28076017527672675,NA
Micro.2,L1a~SpX6,160,0.12343255595921715,0.11986839025534218,NA,NA,NA,0.22291314679063634,NA
Micro.2,L1b~SpX7,181,0.20721065306700664,0.0052016032885147155,NA,NA,NA,0.023462551003513184,NA
Micro.2,L2.3~SpX4,172,0.1847163951012091,0.01538240653753066,NA,NA,NA,0.050954221655570314,NA
Micro.2,Inhib~SpX5,162,0.26803196901889886,5.883634930211693e-4,NA,NA,NA,0.004093660213358337,NA
Micro.2,L5~SpX1,202,0.001551283721857959,0.9825113264903171,NA,NA,NA,0.9871677782746314,NA
Micro.2,L6~SpX9,180,-0.006845890305256335,0.9272645373595056,NA,NA,NA,0.9669470787921766,NA
Micro.2,WMtz~SpX8,199,0.010985229176183949,0.8775123874119186,NA,NA,NA,0.9255354533896853,NA
Micro.2,WM~SpX2,159,0.25693515643658943,0.0011152609701306875,NA,NA,NA,0.00639014393696502,NA
Micro.3,L1a~SpX6,108,0.19590919050749284,0.04230061023220009,NA,NA,NA,0.10076100414861144,NA
Micro.3,L1b~SpX7,91,0.1459786590221373,0.16709446721789506,NA,NA,NA,0.2789293468519193,NA
Micro.3,L5~SpX1,96,-0.007107976125881715,0.9451498005941407,NA,NA,NA,0.972678435562902,NA
Micro.3,WMtz~SpX8,95,0.07070268756998879,0.4953013879234717,NA,NA,NA,0.652198100868174,NA
Micro.3,WM~SpX2,98,0.05283425460155946,0.6048033823904705,NA,NA,NA,0.7411463414264725,NA
Micro.5,Vasc~SpX3,55,-0.028787878787878786,0.8343862063131757,NA,NA,NA,0.911683974215095,NA
Micro.5,L1a~SpX6,61,0.1822316234796404,0.15949471218215827,NA,NA,NA,0.2740758854867847,NA
Micro.5,L1b~SpX7,66,0.11620916397035802,0.3519171763319538,NA,NA,NA,0.4973762758824947,NA
Micro.5,L2.3~SpX4,65,0.020148601398601397,0.873204321021871,NA,NA,NA,0.9255354533896853,NA
Micro.5,Inhib~SpX5,65,0.0673513986013986,0.5931442170830175,NA,NA,NA,0.735360081997659,NA
Micro.5,L5~SpX1,69,0.08684691267811473,0.47708227387807794,NA,NA,NA,0.6321340128884533,NA
Micro.5,L6~SpX9,67,-0.009697501795833667,0.9378741568451399,NA,NA,NA,0.9698991280544861,NA
Micro.5,WMtz~SpX8,69,0.03653635367190355,0.7651824706087571,NA,NA,NA,0.8537825461529289,NA
Micro.5,WM~SpX2,59,0.33091759205143195,0.010779293695012293,NA,NA,NA,0.04030554190713633,NA
OPC.2,Vasc~SpX3,145,0.09885844748858447,0.23650389997144142,NA,NA,NA,0.3713987169921895,NA
OPC.2,L1a~SpX6,168,0.2665607078320114,4.994233319092574e-4,NA,NA,NA,0.004072221014029329,NA
OPC.2,L1b~SpX7,184,0.159432490223652,0.030732793253233838,NA,NA,NA,0.07849821891187438,NA
OPC.2,L2.3~SpX4,188,0.10464920978062404,0.1528168695872412,NA,NA,NA,0.265550625840124,NA
OPC.2,Inhib~SpX5,186,0.21069705206327594,0.0039570570950596745,NA,NA,NA,0.018642135647836688,NA
