"","SpX","cell_type_anno","mod","n_genes","n_FDR05","n_pval05","nUP","nDown"
"1","Vasc~SpX3","Astro.1","carrier",125,0,14,6,8
"2","Vasc~SpX3","Astro.2","carrier",166,0,11,6,5
"3","Vasc~SpX3","Astro.4","carrier",210,0,9,5,4
"4","Vasc~SpX3","Astro.5","carrier",283,0,22,13,9
"5","Vasc~SpX3","Macro","carrier",279,0,10,5,5
"6","Vasc~SpX3","Micro.2","carrier",203,0,8,1,7
"7","Vasc~SpX3","Micro.5","carrier",199,0,11,6,5
"8","Vasc~SpX3","OPC.2","carrier",165,0,16,5,11
"9","Vasc~SpX3","OPC.5","carrier",129,1,10,6,4
"10","Vasc~SpX3","Oligo.1","carrier",113,0,5,1,4
"11","Vasc~SpX3","Oligo.2","carrier",88,0,2,2,0
"12","Vasc~SpX3","Oligo.3","carrier",245,0,6,4,2
"13","Vasc~SpX3","Oligo.4","carrier",173,0,18,7,11
"14","Vasc~SpX3","Vasc.Endo","carrier",349,0,18,10,8
"15","Vasc~SpX3","Vasc.PC","carrier",347,0,14,8,6
"16","Vasc~SpX3","Vasc.VLMC","carrier",316,0,10,5,5
"17","Vasc~SpX3","Excit.L2","carrier",203,1,16,5,11
"18","Vasc~SpX3","Excit.L2_5.1","carrier",104,1,14,6,8
"19","L1a~SpX6","Astro.1","carrier",150,0,19,11,8
"20","L1a~SpX6","Astro.2","carrier",240,0,20,9,11
"21","L1a~SpX6","Astro.4","carrier",303,0,4,3,1
"22","L1a~SpX6","Astro.5","carrier",319,0,23,14,9
"23","L1a~SpX6","Macro","carrier",133,0,8,2,6
"24","L1a~SpX6","Micro.2","carrier",226,0,24,15,9
"25","L1a~SpX6","Micro.3","carrier",182,0,3,2,1
"26","L1a~SpX6","Micro.5","carrier",219,0,18,5,13
"27","L1a~SpX6","OPC.2","carrier",206,0,15,7,8
"28","L1a~SpX6","OPC.4","carrier",152,0,4,2,2
"29","L1a~SpX6","OPC.5","carrier",149,0,7,5,2
"30","L1a~SpX6","Oligo.1","carrier",217,0,17,7,10
"31","L1a~SpX6","Oligo.2","carrier",192,0,4,1,3
"32","L1a~SpX6","Oligo.3","carrier",277,0,4,2,2
"33","L1a~SpX6","Oligo.4","carrier",295,0,14,7,7
"34","L1a~SpX6","Vasc.Endo","carrier",243,0,11,4,7
