Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5to7,Feature log2 fold change topic 5to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000228794,LINC01128,6,-2.1461,17,-0.6381,22,-0.2540,37,0.94942,15,-0.7830,33,0.45121
ENSG00000188976,NOC2L,25,-1.0107,35,-0.4500,40,-0.3053,53,0.24674,49,0.07593,77,0.82389
ENSG00000188290,HES4,58,-0.6260,69,-0.3437,94,0.16477,121,0.81578,43,-1.0823,53,-0.7551
ENSG00000187608,ISG15,178,-0.2361,196,-0.0825,212,0.05251,264,0.57416,135,-0.6645,130,-0.7304
ENSG00000188157,AGRN,30,-0.8074,41,-0.3298,37,-0.5143,74,0.97276,37,-0.4847,44,-0.1874
ENSG00000131591,C1orf159,13,0.04311,14,0.23470,9,-0.5067,14,0.20273,9,-0.4628,16,0.40309
ENSG00000078808,SDF4,65,-0.2303,59,-0.3815,69,-0.1454,71,-0.1119,94,0.36933,105,0.55912
ENSG00000176022,B3GALT6,13,-1.3522,28,-0.1733,17,-0.9683,38,0.44046,43,0.53986,47,0.69288
ENSG00000160087,UBE2J2,27,-0.8415,41,-0.2152,51,0.16259,48,0.07381,62,0.47073,43,-0.1251
ENSG00000131584,ACAP3,77,-0.1567,86,0.02773,71,-0.3205,89,0.11536,71,-0.2700,118,0.54995
ENSG00000169972,PUSL1,6,-1.2539,10,-0.5556,11,-0.4182,15,0.13048,28,1.13405,16,0.21445
ENSG00000127054,INTS11,38,-0.5570,48,-0.2023,53,-0.0576,64,0.36954,40,-0.4801,66,0.30293
ENSG00000224051,CPTP,9,-1.8766,26,-0.2359,20,-0.6939,41,0.69413,49,0.79461,26,-0.2413
ENSG00000107404,DVL1,44,-0.5953,85,0.46353,72,0.20615,62,-0.0747,60,-0.1143,60,-0.1188
ENSG00000175756,AURKAIP1,187,0.09306,189,0.11252,200,0.23103,159,-0.2211,139,-0.3813,198,0.18522
ENSG00000221978,CCNL2,46,-0.2136,46,-0.2131,37,-0.5945,74,0.82056,38,-0.5207,46,-0.2161
ENSG00000242485,MRPL20,145,-0.3082,140,-0.3651,219,0.42402,170,-0.0733,152,-0.2308,196,0.18394
ENSG00000235098,ANKRD65,41,0.62597,21,-0.4863,35,0.39116,21,-0.5660,29,0.01856,30,0.11108
ENSG00000179403,VWA1,157,2.87317,28,-0.3784,23,-0.7918,12,-1.9105,39,0.12002,18,-1.0859
ENSG00000160072,ATAD3B,8,-0.5274,9,-0.3651,10,-0.2375,15,0.58762,7,-0.7841,15,0.38075
ENSG00000197785,ATAD3A,25,0.09958,12,-1.0071,20,-0.2532,20,-0.3464,32,0.51865,41,0.96215
ENSG00000205090,TMEM240,20,-1.0459,30,-0.4086,38,-0.0770,47,0.38078,40,0.03734,48,0.32907
ENSG00000160075,SSU72,104,-0.7278,139,-0.2715,199,0.35968,163,-0.0306,172,0.06275,184,0.17429
ENSG00000228594,FNDC10,11,-1.9381,40,-0.0697,40,-0.0746,57,0.76502,43,0.06995,27,-0.6619
ENSG00000272106,AL691432.2,17,-0.4819,14,-0.7841,25,0.10631,21,-0.2184,33,0.50855,35,0.64397
ENSG00000197530,MIB2,35,-0.4965,57,0.29054,53,0.19373,37,-0.4932,61,0.39884,59,0.33383
ENSG00000215790,SLC35E2A,18,-1.6151,50,-0.0551,63,0.37472,52,0.02336,52,0.00972,62,0.31247
ENSG00000008130,NADK,13,-1.2278,24,-0.3038,39,0.55107,25,-0.2938,31,0.10218,41,0.54554
ENSG00000078369,GNB1,234,-1.0056,436,-0.0325,483,0.15492,525,0.37557,396,-0.1886,396,-0.1881
ENSG00000187730,GABRD,19,-2.8642,66,-1.0613,128,-0.0397,189,0.89916,127,-0.0528,140,0.11224
ENSG00000067606,PRKCZ,89,-1.2477,196,-0.0294,191,-0.0774,242,0.44580,189,-0.0870,210,0.08947
ENSG00000162585,FAAP20,91,0.25951,65,-0.2917,92,0.31213,86,0.21938,50,-0.7099,53,-0.5953
ENSG00000157933,SKI,29,0.56090,19,-0.1290,19,-0.1784,21,-0.0073,30,0.61992,9,-1.3483
ENSG00000157916,RER1,70,-0.0150,52,-0.4762,77,0.17694,73,0.07055,79,0.17888,60,-0.2505
ENSG00000157911,PEX10,37,0.22307,28,-0.2211,29,-0.2114,40,0.49954,13,-1.3312,34,0.07626
ENSG00000149527,PLCH2,18,0.29139,15,0.04738,8,-1.0768,26,1.51421,3,-2.1166,2,-2.8157
ENSG00000157881,PANK4,4,-1.8030,3,-1.9010,17,0.49585,15,0.29712,18,0.48162,14,0.07968
