region,neighbor,reference,scale,Z,Z_real
ALL,Astro.1,Astro.1,25,-8.24,-13.419101051476993
ALL,Astro.1,Astro.4,950,-4.593475387295857,-4.593475387295857
ALL,Astro.1,Macro,762.5,-4.692721114727292,-4.692721114727292
ALL,Astro.1,Oligo.1,2300,-4.515990073524129,-4.515990073524129
ALL,Astro.1,Oligo.2,2085.714285714286,-4.898544776047197,-4.898544776047197
ALL,Astro.1,Oligo.3,1780,-4.532606213519057,-4.532606213519057
ALL,Astro.1,Oligo.4,3150,-4.401296381326191,-4.401296381326191
ALL,Astro.1,Vasc.Endo,433.3333333333333,-4.7448714430415455,-4.7448714430415455
ALL,Astro.1,Vasc.PC,354.54545454545456,-4.5513690927461985,-4.5513690927461985
ALL,Astro.1,Vasc.VLMC,388.8888888888889,-5.026115922312323,-5.026115922312323
ALL,Astro.2,Astro.1,2037.5,4.303647735964102,4.303647735964102
ALL,Astro.2,Astro.2,25,-8.24,-15.080784465012123
ALL,Astro.2,Astro.4,2120,-4.421515631736653,-4.421515631736653
ALL,Astro.2,Macro,1000,-4.2917920708812485,-4.2917920708812485
ALL,Astro.2,Oligo.1,3500,-4.827428604424675,-4.827428604424675
ALL,Astro.2,Oligo.2,2180,-4.408389362036207,-4.408389362036207
ALL,Astro.2,Oligo.4,3750,-4.449953093545734,-4.449953093545734
ALL,Astro.2,Vasc.Endo,470,-4.4435677157738045,-4.4435677157738045
ALL,Astro.2,Vasc.PC,875,-4.573014093102024,-4.573014093102024
ALL,Astro.2,Vasc.VLMC,807.6923076923077,-4.642780973096015,-4.642780973096015
ALL,Astro.3,Astro.3,25,-5.937452726843966,-5.937452726843966
ALL,Astro.4,Astro.1,2030.769230769231,-4.603638703112087,-4.603638703112087
ALL,Astro.4,Astro.2,2214.285714285714,-3.030834340588969,-3.030834340588969
ALL,Astro.4,Astro.5,1780,4.2953859662165,4.2953859662165
ALL,Astro.4,OPC.5,3750,-4.692020051004136,-4.692020051004136
ALL,Astro.4,Oligo.1,3110,3.578278027795895,3.578278027795895
ALL,Astro.4,Oligo.2,3020,3.6047646262680635,3.6047646262680635
ALL,Astro.4,Oligo.4,2566.6666666666665,4.8334922951554065,4.8334922951554065
ALL,Astro.4,Excit.L2,2208.3333333333335,-4.630035015815187,-4.630035015815187
ALL,Astro.4,Excit.L2_5.1,3250,-4.421261997752136,-4.421261997752136
ALL,Astro.4,Excit.L2_5.2,3000,-5.008431467895047,-5.008431467895047
ALL,Astro.4,Inhib.Vip,925,-3.3199840722760454,-3.3199840722760454
ALL,Astro.5,Astro.2,2131.25,4.309933170526875,4.309933170526875
ALL,Astro.5,Astro.5,25,-8.24,-12.883343861570536
ALL,Astro.5,Macro,811.1111111111111,-4.407192056434548,-4.407192056434548
ALL,Astro.5,Oligo.1,3700,-4.7714773143164475,-4.7714773143164475
ALL,Astro.5,Oligo.2,3587.5,-4.724595460236034,-4.724595460236034
ALL,Astro.5,Vasc.Endo,580,-4.496995005148633,-4.496995005148633
ALL,Astro.5,Vasc.PC,627.2727272727273,-4.656445287178242,-4.656445287178242
ALL,Astro.5,Vasc.VLMC,460,-4.481533468380669,-4.481533468380669
ALL,Macro,Astro.1,36.66666666666667,-8.24,-11.020846173779013
ALL,Macro,Astro.2,28.571428571428573,-8.24,-9.181989928292577
ALL,Macro,Astro.5,71.42857142857142,-8.24,-9.147795817497197
ALL,Macro,Macro,466.6666666666667,8.24,8.491878212911844
ALL,Macro,Micro.2,160.41666666666669,-5.38681419236129,-5.38681419236129
ALL,Macro,Micro.5,72.91666666666667,-8.24,-8.373134482570988
ALL,Macro,OPC.2,737.5,-8.24,-8.267168416820546
ALL,Macro,OPC.4,233.33333333333331,-4.7718062755070125,-4.7718062755070125
ALL,Macro,OPC.5,25,-7.898023190285828,-7.898023190285828
ALL,Macro,Oligo.1,822.7272727272726,-4.745125759740336,-4.745125759740336
ALL,Macro,Oligo.2,1090,-4.74010012420473,-4.74010012420473
ALL,Macro,Oligo.3,37.5,-8.24,-9.688092158704675
ALL,Macro,Oligo.4,510.71428571428567,-5.932618413946759,-5.932618413946759
ALL,Macro,Oligo.5,2500,-4.368297557702184,-4.368297557702184
ALL,Macro,Vasc.Endo,190.3846153846154,-7.023420624943028,-7.023420624943028
ALL,Macro,Excit.L2,25,-8.24,-26.049912060679112
ALL,Macro,Excit.L2_5.1,25,-8.24,-9.557164326347168
ALL,Macro,Excit.L2_5.2,790.9090909090909,-4.9007291156308375,-4.9007291156308375
ALL,Macro,Excit.L5.1,925,-5.300253072918236,-5.300253072918236
ALL,Macro,Excit.L5.2,267.85714285714283,-4.816744960209948,-4.816744960209948
ALL,Macro,Inhib.Pax6,225,-4.483643800837626,-4.483643800837626
ALL,Macro,Inhib.Lamp5_Lhx6,68.18181818181819,-6.1199431539129066,-6.1199431539129066
ALL,Macro,Inhib.Pvalb,47.727272727272734,-6.290935244284431,-6.290935244284431
