source,target,interaction,ligand_complex,receptor_complex,n_pass_magnitude_rank,n_pass_specificity_rank,n_test,mean_mean,mean_rank,ligand_t,ligand_DEG_adj.P.Val,ligand_logFC,receptor_t,receptor_DEG_adj.P.Val,receptor_logFC,L_DEG,R_DEG,bivairate_mean_Inhib,bivairate_mean_L1,bivairate_mean_L2.3,bivairate_mean_L5,bivairate_mean_L6,bivairate_mean_LD,bivairate_mean_Vasc,bivairate_mean_WM.uf,bivairate_mean_WM
Excit.L2,Oligo.3,IL1RAPL1 -> PTPRD,IL1RAPL1,PTPRD,27,0,27,NA,NA,0.1481004601948399,0.9957708113007498,0.02287058584075652,-3.7685050360980075,0.024521812904413826,-0.4930256714129069,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Excit.L2,Oligo.3,NLGN1 -> NRXN1,NLGN1,NRXN1,26,0,27,0.18589245434782609,186,-0.7401889973177913,0.9633380976643174,-0.11051197140719449,3.2736819718718397,0.03976012192167532,1.1528137127407296,FALSE,TRUE,0.23238961040624892,0.1131231988522881,0.28472226366019604,0.2668847685691713,0.17644259509652924,0.23567695959106968,0.10060407473891786,0.043829101461884255,0.07488302362586807
Excit.L2,Oligo.3,NLGN1 -> NRXN3,NLGN1,NRXN3,27,0,27,0.16224667713043478,255,-0.7401889973177913,0.9633380976643174,-0.11051197140719449,-4.059949698834393,0.0191014879581087,-0.6839984412857048,FALSE,TRUE,0.20398295554113585,0.09840455865965703,0.25288360424326894,0.22681206489982617,0.14924504471223252,0.20921398544483946,0.09092246240751847,0.04173685366164199,0.0676317805882277
Excit.L2,Oligo.3,NRG3 -> ERBB3,NRG3,ERBB3,25,1,25,0.07259996335294118,661,-0.23259948756445026,0.9907731629158334,-0.031946644753762854,-3.195438064449939,0.042949678319291126,-0.6011629289093059,FALSE,TRUE,0.0852443444726916,0.04489815835066647,0.07994267356502908,0.10924493068500071,0.07963520198374835,0.08364345983802299,0.03599179090728363,0.028059938334868723,0.05490320358092884
Excit.L2,Oligo.3,NTRK3 -> PTPRD,NTRK3,PTPRD,27,0,27,0.20489468206896552,155,0.733289713022162,0.9633380976643174,0.08126656640253405,-3.7685050360980075,0.024521812904413826,-0.4930256714129069,FALSE,TRUE,0.25815544663380563,0.14986290367252592,0.29681939759686965,0.2943581183934561,0.2244481529447895,0.25000800130549755,0.13431224395437788,0.07665961687800889,0.10880147520146381
Excit.L2_5.1,Oligo.3,IL1RAPL1 -> PTPRD,IL1RAPL1,PTPRD,30,0,30,NA,NA,1.3630970607168824,0.6792934509254769,0.2079858520537723,-3.7685050360980075,0.024521812904413826,-0.4930256714129069,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Excit.L2_5.1,Oligo.3,NLGN1 -> NRXN1,NLGN1,NRXN1,23,0,30,0.18589245434782609,186,0.08705884847287516,0.9865690371409979,0.012347197285714095,3.2736819718718397,0.03976012192167532,1.1528137127407296,FALSE,TRUE,0.23238961040624892,0.1131231988522881,0.28472226366019604,0.2668847685691713,0.17644259509652924,0.23567695959106968,0.10060407473891786,0.043829101461884255,0.07488302362586807
Excit.L2_5.1,Oligo.3,NLGN1 -> NRXN3,NLGN1,NRXN3,30,0,30,0.16224667713043478,255,0.08705884847287516,0.9865690371409979,0.012347197285714095,-4.059949698834393,0.0191014879581087,-0.6839984412857048,FALSE,TRUE,0.20398295554113585,0.09840455865965703,0.25288360424326894,0.22681206489982617,0.14924504471223252,0.20921398544483946,0.09092246240751847,0.04173685366164199,0.0676317805882277
Excit.L2_5.1,Oligo.3,NRG3 -> ERBB3,NRG3,ERBB3,26,0,28,0.07259996335294118,661,-0.45669916526716886,0.9256016432161901,-0.05632907457460501,-3.195438064449939,0.042949678319291126,-0.6011629289093059,FALSE,TRUE,0.0852443444726916,0.04489815835066647,0.07994267356502908,0.10924493068500071,0.07963520198374835,0.08364345983802299,0.03599179090728363,0.028059938334868723,0.05490320358092884
Excit.L5.1,Oligo.3,IL1RAPL1 -> PTPRD,IL1RAPL1,PTPRD,23,0,24,NA,NA,1.7375216698629,0.8456942738151986,0.3395858247876493,-3.7685050360980075,0.024521812904413826,-0.4930256714129069,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
