"","source","target","n","p_target","p_source"
"1","Astro.1","Astro.1",2,0.00763358778625954,0.00664451827242525
"2","Astro.1","Astro.2",1,0.00381679389312977,0.00735294117647059
"3","Astro.1","Astro.3",3,0.0114503816793893,0.0132743362831858
"4","Astro.1","Astro.4",2,0.00763358778625954,0.0119047619047619
"5","Astro.1","OPC.1",6,0.0229007633587786,0.0157068062827225
"6","Astro.1","OPC.2",2,0.00763358778625954,0.00738007380073801
"7","Astro.1","OPC.3",10,0.0381679389312977,0.0218818380743982
"8","Astro.1","OPC.4",9,0.0343511450381679,0.0206896551724138
"9","Astro.1","Oligo.1",2,0.00763358778625954,0.0121212121212121
"10","Astro.1","Oligo.2",2,0.00763358778625954,0.0104166666666667
"11","Astro.1","Oligo.3",1,0.00381679389312977,0.0099009900990099
"12","Astro.1","Oligo.4",2,0.00763358778625954,0.0169491525423729
"13","Astro.1","Oligo.5",1,0.00381679389312977,0.0087719298245614
"14","Astro.1","Vasc.Endo",1,0.00381679389312977,0.0116279069767442
"15","Astro.1","Vasc.VLMC",2,0.00763358778625954,0.0256410256410256
"16","Astro.1","Excit.L2",47,0.179389312977099,0.0359052711993888
"17","Astro.1","Excit.L2_5.1",23,0.0877862595419847,0.0268378063010502
"18","Astro.1","Excit.L5.1",38,0.145038167938931,0.0360873694207028
"19","Astro.1","Excit.L6b",32,0.122137404580153,0.0325865580448065
"20","Astro.1","Inhib.Lamp5_Lhx6",15,0.0572519083969466,0.0216763005780347
"21","Astro.1","Inhib.Pvalb",17,0.0648854961832061,0.0226666666666667
"22","Astro.1","Inhib.Vip",16,0.0610687022900763,0.023021582733813
"23","Astro.1","Inhib.Chandelier",9,0.0343511450381679,0.0398230088495575
"24","Astro.1","Inhib.Sst",19,0.0725190839694656,0.0225118483412322
"25","Astro.2","Astro.1",1,0.00847457627118644,0.00332225913621262
"26","Astro.2","OPC.1",1,0.00847457627118644,0.00261780104712042
"27","Astro.2","OPC.2",1,0.00847457627118644,0.003690036900369
"28","Astro.2","OPC.3",4,0.0338983050847458,0.0087527352297593
"29","Astro.2","OPC.4",3,0.0254237288135593,0.00689655172413793
"30","Astro.2","Excit.L2",25,0.211864406779661,0.0190985485103132
"31","Astro.2","Excit.L2_5.1",10,0.0847457627118644,0.0116686114352392
"32","Astro.2","Excit.L5.1",20,0.169491525423729,0.0189933523266857
"33","Astro.2","Excit.L6b",18,0.152542372881356,0.0183299389002037
"34","Astro.2","Inhib.Lamp5_Lhx6",7,0.0593220338983051,0.0101156069364162
"35","Astro.2","Inhib.Pvalb",7,0.0593220338983051,0.00933333333333333
"36","Astro.2","Inhib.Vip",9,0.076271186440678,0.0129496402877698
"37","Astro.2","Inhib.Chandelier",3,0.0254237288135593,0.0132743362831858
"38","Astro.2","Inhib.Sst",9,0.076271186440678,0.0106635071090047
"39","Astro.3","Astro.1",2,0.0102040816326531,0.00664451827242525
"40","Astro.3","OPC.1",4,0.0204081632653061,0.0104712041884817
"41","Astro.3","OPC.2",1,0.00510204081632653,0.003690036900369
"42","Astro.3","OPC.3",7,0.0357142857142857,0.0153172866520788
"43","Astro.3","OPC.4",7,0.0357142857142857,0.0160919540229885
"44","Astro.3","Oligo.1",1,0.00510204081632653,0.00606060606060606
"45","Astro.3","Oligo.2",1,0.00510204081632653,0.00520833333333333
"46","Astro.3","Oligo.3",1,0.00510204081632653,0.0099009900990099
"47","Astro.3","Oligo.4",1,0.00510204081632653,0.00847457627118644
"48","Astro.3","Oligo.5",1,0.00510204081632653,0.0087719298245614
"49","Astro.3","Excit.L2",37,0.188775510204082,0.0282658517952636
"50","Astro.3","Excit.L2_5.1",16,0.0816326530612245,0.0186697782963827
"51","Astro.3","Excit.L5.1",28,0.142857142857143,0.0265906932573599
"52","Astro.3","Excit.L6b",29,0.147959183673469,0.0295315682281059
"53","Astro.3","Inhib.Lamp5_Lhx6",11,0.0561224489795918,0.0158959537572254
"54","Astro.3","Inhib.Pvalb",13,0.0663265306122449,0.0173333333333333
"55","Astro.3","Inhib.Vip",13,0.0663265306122449,0.018705035971223
"56","Astro.3","Inhib.Chandelier",5,0.0255102040816327,0.0221238938053097
"57","Astro.3","Inhib.Sst",18,0.0918367346938776,0.0213270142180095
"58","Astro.4","Astro.1",2,0.0117647058823529,0.00664451827242525
"59","Astro.4","Astro.2",1,0.00588235294117647,0.00735294117647059
"60","Astro.4","Astro.3",1,0.00588235294117647,0.00442477876106195
"61","Astro.4","OPC.1",5,0.0294117647058824,0.0130890052356021
"62","Astro.4","OPC.2",1,0.00588235294117647,0.003690036900369
"63","Astro.4","OPC.3",8,0.0470588235294118,0.0175054704595186
"64","Astro.4","OPC.4",7,0.0411764705882353,0.0160919540229885
"65","Astro.4","Oligo.1",1,0.00588235294117647,0.00606060606060606
"66","Astro.4","Oligo.2",1,0.00588235294117647,0.00520833333333333
"67","Astro.4","Vasc.Endo",1,0.00588235294117647,0.0116279069767442
"68","Astro.4","Vasc.VLMC",1,0.00588235294117647,0.0128205128205128
"69","Astro.4","Excit.L2",30,0.176470588235294,0.0229182582123759
"70","Astro.4","Excit.L2_5.1",18,0.105882352941176,0.0210035005834306
"71","Astro.4","Excit.L5.1",23,0.135294117647059,0.0218423551756885
"72","Astro.4","Excit.L6b",22,0.129411764705882,0.0224032586558045
"73","Astro.4","Inhib.Lamp5_Lhx6",12,0.0705882352941176,0.0173410404624277
"74","Astro.4","Inhib.Pvalb",11,0.0647058823529412,0.0146666666666667
"75","Astro.4","Inhib.Vip",12,0.0705882352941176,0.0172661870503597
"76","Astro.4","Inhib.Sst",13,0.0764705882352941,0.0154028436018957
"77","Astro.5","OPC.1",1,0.0166666666666667,0.00261780104712042
"78","Astro.5","OPC.3",3,0.05,0.00656455142231947
"79","Astro.5","OPC.4",3,0.05,0.00689655172413793
"80","Astro.5","Excit.L2",14,0.233333333333333,0.0106951871657754
"81","Astro.5","Excit.L2_5.1",5,0.0833333333333333,0.0058343057176196
"82","Astro.5","Excit.L5.1",9,0.15,0.00854700854700855
"83","Astro.5","Excit.L6b",11,0.183333333333333,0.0112016293279022
"84","Astro.5","Inhib.Lamp5_Lhx6",2,0.0333333333333333,0.00289017341040462
"85","Astro.5","Inhib.Pvalb",3,0.05,0.004
"86","Astro.5","Inhib.Vip",3,0.05,0.00431654676258993
"87","Astro.5","Inhib.Sst",6,0.1,0.00710900473933649
"88","Macro","Oligo.2",1,0.0909090909090909,0.00520833333333333
"89","Macro","Excit.L2",3,0.272727272727273,0.00229182582123759
"90","Macro","Excit.L6b",1,0.0909090909090909,0.0010183299389002
"91","Macro","Inhib.Lamp5_Lhx6",2,0.181818181818182,0.00289017341040462
"92","Macro","Inhib.Pvalb",2,0.181818181818182,0.00266666666666667
"93","Macro","Inhib.Vip",1,0.0909090909090909,0.00143884892086331
"94","Macro","Inhib.Sst",1,0.0909090909090909,0.00118483412322275
"95","Micro.1","Oligo.1",1,0.0196078431372549,0.00606060606060606
"96","Micro.1","Oligo.2",1,0.0196078431372549,0.00520833333333333
"97","Micro.1","Excit.L2",14,0.274509803921569,0.0106951871657754
"98","Micro.1","Excit.L2_5.1",3,0.0588235294117647,0.00350058343057176
"99","Micro.1","Excit.L5.1",11,0.215686274509804,0.0104463437796771
"100","Micro.1","Excit.L6b",10,0.196078431372549,0.010183299389002
"101","Micro.1","Inhib.Lamp5_Lhx6",2,0.0392156862745098,0.00289017341040462
"102","Micro.1","Inhib.Pvalb",3,0.0588235294117647,0.004
