"SpD_row","SpD_col","Jacc","match_domain","pair"
"L1~Sp09D05","L1~Sp10D06",0.885885399805762,"L1","k09_k10"
"L2~Sp09D01","L2~Sp10D01",0.755507403394727,"L2","k09_k10"
"L3_Inhib~Sp09D02","L3~Sp10D02",0.613763254706773,"L3","k09_k10"
"LD~Sp09D09","L5_LD~Sp10D03",0.280448986429888,"L5_LD","k09_k10"
"L5~Sp09D03","L5_LD~Sp10D03",0.442961706685709,"L5_LD","k09_k10"
"L6~Sp09D04","L6a~Sp10D04",0.410138944824809,"L6a","k09_k10"
"Vasc~Sp09D08","Vasc~Sp10D09",0.960668633235005,"Vasc","k09_k10"
"WM~Sp09D06","WMd~Sp10D07",0.963046005646902,"WMd","k09_k10"
"WMuf~Sp09D07","WMuf~Sp10D08",0.958304270324731,"WMuf","k09_k10"
"L1~Sp09D05","L1~Sp11D06",0.893594523902276,"L1","k09_k11"
"L2~Sp09D01","L2~Sp11D01",0.936340953536988,"L2","k09_k11"
"L3_Inhib~Sp09D02","L3~Sp11D02",0.83743842364532,"L3","k09_k11"
"L5~Sp09D03","L5~Sp11D04",0.912771392081737,"L5","k09_k11"
"L6~Sp09D04","L6~Sp11D05",0.926686217008798,"L6","k09_k11"
"LD~Sp09D09","LD~Sp11D03",0.80555356245964,"LD","k09_k11"
"Vasc~Sp09D08","Vasc~Sp11D09",0.957058823529412,"Vasc","k09_k11"
"WM~Sp09D06","WMtz~Sp11D11",0.490982563795555,"WMtz","k09_k11"
"WMuf~Sp09D07","WMuf~Sp11D08",0.933994959042218,"WMuf","k09_k11"
"Inhib~Sp10D10","Inhib~Sp11D10",0.77266081871345,"Inhib","k10_k11"
"L1~Sp10D06","L1~Sp11D06",0.895239654984169,"L1","k10_k11"
"L2~Sp10D01","L2~Sp11D01",0.785647367434888,"L2","k10_k11"
"L3~Sp10D02","L3~Sp11D02",0.69691796208105,"L3","k10_k11"
"L5_LD~Sp10D03","L5~Sp11D04",0.439710171345242,"L5","k10_k11"
"L6a~Sp10D04","L6~Sp11D05",0.393825910931174,"L6","k10_k11"
"L6b~Sp10D05","L6~Sp11D05",0.398658391323428,"L6","k10_k11"
"Vasc~Sp10D09","Vasc~Sp11D09",0.949990345626569,"Vasc","k10_k11"
"WMd~Sp10D07","WMtz~Sp11D11",0.501494098311669,"WMtz","k10_k11"
"WMuf~Sp10D08","WMuf~Sp11D08",0.918500154942671,"WMuf","k10_k11"
