SpD_preprint,SpD_update,Jacc,n
Vasc~Sp09D08,Vasc~Sp11D09,0.7645585472761428,4884
L1~Sp09D05,Vasc~Sp11D09,0.002258001178087571,46
L2.3~Sp09D01,Vasc~Sp11D09,1.2103606874848704e-4,2
LD~Sp09D02,Vasc~Sp11D09,6.346385733324871e-4,20
Inhib~Sp09D09,Vasc~Sp11D09,0,0
L5~Sp09D03,Vasc~Sp11D09,1.199760047990402e-4,2
L6~Sp09D04,Vasc~Sp11D09,1.6316540893330614e-4,4
WM.uf~Sp09D07,Vasc~Sp11D09,0.0030837759122837073,54
WM~Sp09D06,Vasc~Sp11D09,0.002503201769705437,43
Vasc~Sp09D08,L1~Sp11D06,0.012573932092004381,287
L1~Sp09D05,L1~Sp11D06,0.5974051698524314,12064
L2.3~Sp09D01,L1~Sp11D06,0.0010940532909828834,31
LD~Sp09D02,L1~Sp11D06,0.058470398750549074,2396
Inhib~Sp09D09,L1~Sp11D06,0.02518837459634015,585
L5~Sp09D03,L1~Sp11D06,7.019514249613927e-4,20
L6~Sp09D04,L1~Sp11D06,0.010280919169746312,370
WM.uf~Sp09D07,L1~Sp11D06,0.027823412212939984,796
WM~Sp09D06,L1~Sp11D06,0.012049451506181438,346
Vasc~Sp09D08,L2~Sp11D01,0.0026690391459074734,54
L1~Sp09D05,L2~Sp11D01,0.0044365572315882874,130
L2.3~Sp09D01,L2~Sp11D01,0.5939586843911877,9517
LD~Sp09D02,L2~Sp11D01,0.10199755401549124,3753
Inhib~Sp09D09,L2~Sp11D01,0.01849245255545309,381
L5~Sp09D03,L2~Sp11D01,0.004929577464788733,126
L6~Sp09D04,L2~Sp11D01,0.0017027123909666626,57
WM.uf~Sp09D07,L2~Sp11D01,0.0018092043270136822,48
WM~Sp09D06,L2~Sp11D01,1.1436413540713633e-4,3
Vasc~Sp09D08,Inhib~Sp11D10,3.4750376462411677e-4,3
L1~Sp09D05,Inhib~Sp11D10,0.0012387387387387387,22
L2.3~Sp09D01,Inhib~Sp11D10,7.199942400460797e-5,1
LD~Sp09D02,Inhib~Sp11D10,4.154261580004154e-4,12
Inhib~Sp09D09,Inhib~Sp11D10,0.3389757567063549,2363
L5~Sp09D03,Inhib~Sp11D10,7.129616426636247e-4,10
L6~Sp09D04,Inhib~Sp11D10,4.569966182250251e-5,1
WM.uf~Sp09D07,Inhib~Sp11D10,3.350308228357009e-4,5
WM~Sp09D06,Inhib~Sp11D10,1.3714599190838648e-4,2
Vasc~Sp09D08,LD~Sp11D02,0.005870020964360587,140
L1~Sp09D05,LD~Sp11D02,0.029451969678140923,948
L2.3~Sp09D01,LD~Sp11D02,0.00998100500777068,289
LD~Sp09D02,LD~Sp11D02,0.48421935267482813,14437
Inhib~Sp09D09,LD~Sp11D02,0.03792146640881191,902
L5~Sp09D03,LD~Sp11D02,0.008094944090004802,236
L6~Sp09D04,LD~Sp11D02,0.019019210771167423,695
WM.uf~Sp09D07,LD~Sp11D02,0.0021178728614447864,64
WM~Sp09D06,LD~Sp11D02,0.002075174883689795,62
Vasc~Sp09D08,L5a~Sp11D03,0.004119406354043225,73
L1~Sp09D05,L5a~Sp11D03,0.002717087877321621,73
L2.3~Sp09D01,L5a~Sp11D03,0.06560636182902585,1419
LD~Sp09D02,L5a~Sp11D03,0.10521883077280515,3623
Inhib~Sp09D09,L5a~Sp11D03,0.061965198414977316,1079
L5~Sp09D03,L5a~Sp11D03,0.2881261801621682,5188
L6~Sp09D04,L5a~Sp11D03,0.002907822041291073,90
WM.uf~Sp09D07,L5a~Sp11D03,7.478499314470896e-4,18
WM~Sp09D06,L5a~Sp11D03,5.899953643221375e-4,14
Vasc~Sp09D08,L5b~Sp11D04,0.008084035240584762,167
L1~Sp09D05,L5b~Sp11D04,0.006210971597394749,185
L2.3~Sp09D01,L5b~Sp11D04,0.006289550856613675,163
LD~Sp09D02,L5b~Sp11D04,0.04560376638249141,1792
Inhib~Sp09D09,L5b~Sp11D04,0.0639149777558082,1293
L5~Sp09D03,L5b~Sp11D04,0.2870533961523361,5849
L6~Sp09D04,L5b~Sp11D04,0.1736823975198071,5042
WM.uf~Sp09D07,L5b~Sp11D04,0.0018842132486053128,51
WM~Sp09D06,L5b~Sp11D04,0.002471169686985173,66
Vasc~Sp09D08,L6~Sp11D05,0.008205476791610022,169
L1~Sp09D05,L6~Sp11D05,0.020122096790696088,590
L2.3~Sp09D01,L6~Sp11D05,0.0015782585264454538,41
LD~Sp09D02,L6~Sp11D05,0.008406046454467249,342
Inhib~Sp09D09,L6~Sp11D05,0.009595935838938802,204
L5~Sp09D03,L6~Sp11D05,0.006346153846153846,165
L6~Sp09D04,L6~Sp11D05,0.5796024521642207,12480
WM.uf~Sp09D07,L6~Sp11D05,0.00947619758245038,254
WM~Sp09D06,L6~Sp11D05,0.011472492522055204,303
Vasc~Sp09D08,WMuf~Sp11D08,0.012600610602275882,227
L1~Sp09D05,WMuf~Sp11D08,0.011859459858868732,321
L2.3~Sp09D01,WMuf~Sp11D08,2.9801183532717445e-4,7
LD~Sp09D02,WMuf~Sp11D08,0.002134193951382021,82
Inhib~Sp09D09,WMuf~Sp11D08,0.0016924053310767928,32
L5~Sp09D03,WMuf~Sp11D08,5.501713995513987e-4,13
L6~Sp09D04,WMuf~Sp11D08,0.00822873975409836,257
WM.uf~Sp09D07,WMuf~Sp11D08,0.7797040475845061,10749
WM~Sp09D06,WMuf~Sp11D08,0.014127609625220089,337
Vasc~Sp09D08,WMpv~Sp11D11,0.011157894736842104,159
L1~Sp09D05,WMpv~Sp11D11,0.04336463501063076,979
L2.3~Sp09D01,WMpv~Sp11D11,5.085952598921778e-5,1
LD~Sp09D02,WMpv~Sp11D11,6.349389592773241e-4,22
Inhib~Sp09D09,WMpv~Sp11D11,0.004388006116614587,66
L5~Sp09D03,WMpv~Sp11D11,3.534996465003535e-4,7
L6~Sp09D04,WMpv~Sp11D11,0.016989041700375084,462
WM.uf~Sp09D07,WMpv~Sp11D11,0.021513865587683804,436
