SpD,offset,Jacc,n
Vasc~Sp09D08,Os1,0.002221957703448002,56
L1~Sp09D05,Os1,0.009832697387731142,335
L2.3~Sp09D01,Os1,0.42497548218372017,9100
LD~Sp09D02,Os1,0.21418473767037421,8030
Inhib~Sp09D09,Os1,0.03666280602260474,918
L5~Sp09D03,Os1,0.009449492954036612,287
L6~Sp09D04,Os1,0.0028126464920047918,108
WM.uf~Sp09D07,Os1,0.0064754856614246065,203
WM~Sp09D06,Os1,1.6024100246771143e-4,5
Vasc~Sp09D08,Os2,0.0031394466294073,91
L1~Sp09D05,Os2,0.013039675598314383,492
L2.3~Sp09D01,Os2,0.06130208977371089,1983
LD~Sp09D02,Os2,0.3071665121208107,11594
Inhib~Sp09D09,Os2,0.10745369337201517,2889
L5~Sp09D03,Os2,0.17181021004690367,5055
L6~Sp09D04,Os2,0.011374498183903651,476
WM.uf~Sp09D07,Os2,0.006402048655569782,225
WM~Sp09D06,Os2,0.0015727316919733495,55
Vasc~Sp09D08,Os3,0.003281305427456545,74
L1~Sp09D05,Os3,0.008474845262656721,267
L2.3~Sp09D01,Os3,0.007516623301532235,208
LD~Sp09D02,Os3,0.0609538887789432,2464
Inhib~Sp09D09,Os3,0.07528468028214466,1633
L5~Sp09D03,Os3,0.26596801879121873,5888
L6~Sp09D04,Os3,0.18816242713301537,5681
WM.uf~Sp09D07,Os3,0.004131944444444444,119
WM~Sp09D06,Os3,0.002631578947368421,75
Vasc~Sp09D08,Os4,0.016241610738255034,242
L1~Sp09D05,Os4,0.20041516334700737,4055
L2.3~Sp09D01,Os4,0,0
LD~Sp09D02,Os4,0.00805785712251929,283
Inhib~Sp09D09,Os4,0.010397397461248964,163
L5~Sp09D03,Os4,6.819953234606392e-4,14
L6~Sp09D04,Os4,0.01592470655596908,445
WM.uf~Sp09D07,Os4,0.14650192554557123,2739
WM~Sp09D06,Os4,0.048938180733078034,984
Vasc~Sp09D08,Os5,0.0037145650048875855,76
L1~Sp09D05,Os5,0.02302336802922727,668
L2.3~Sp09D01,Os5,0.001825739035854407,47
LD~Sp09D02,Os5,0.008653085443037974,350
Inhib~Sp09D09,Os5,0.013072519083969466,274
L5~Sp09D03,Os5,0.009497119725984743,244
L6~Sp09D04,Os5,0.5323868275424113,11737
WM.uf~Sp09D07,Os5,0.022290809327846366,585
WM~Sp09D06,Os5,0.012926913221402074,338
Vasc~Sp09D08,Os6,0.004754579779051881,102
L1~Sp09D05,Os6,0.4164244521337947,9026
L2.3~Sp09D01,Os6,0.004383335830960587,117
LD~Sp09D02,Os6,0.09534536501034654,3640
Inhib~Sp09D09,Os6,0.042783505154639176,913
L5~Sp09D03,Os6,0.004022795843110962,108
L6~Sp09D04,Os6,0.012539640976404528,431
WM.uf~Sp09D07,Os6,0.029653183465207424,802
WM~Sp09D06,Os6,0.00728804248306171,199
Vasc~Sp09D08,Os7,0.00926856504745952,166
L1~Sp09D05,Os7,0.011819803746654773,318
L2.3~Sp09D01,Os7,2.1436227224008573e-4,5
LD~Sp09D02,Os7,9.921671018276762e-4,38
Inhib~Sp09D09,Os7,0.0037425149700598802,70
L5~Sp09D03,Os7,2.130288441054919e-4,5
L6~Sp09D04,Os7,0.012902599922390377,399
WM.uf~Sp09D07,Os7,0.028748733535967578,681
WM~Sp09D06,Os7,0.7349075678798382,10177
Vasc~Sp09D08,Os8,0.004170019752725145,57
L1~Sp09D05,Os8,0.003289906566653507,75
L2.3~Sp09D01,Os8,5.268981505874914e-5,1
LD~Sp09D02,Os8,6.771676726041513e-4,23
Inhib~Sp09D09,Os8,0.0027808676307007787,40
L5~Sp09D03,Os8,4.184538131603724e-4,8
L6~Sp09D04,Os8,0.005592215635834918,150
WM.uf~Sp09D07,Os8,0.5245602010509481,6888
WM~Sp09D06,Os8,0.013757213520197856,267
Vasc~Sp09D08,Os9,0.786627479794269,5353
L1~Sp09D05,Os9,0.005997072295414837,127
L2.3~Sp09D01,Os9,5.746465923457074e-4,10
LD~Sp09D02,Os9,0.0017612705867812008,57
Inhib~Sp09D09,Os9,0.001168133322949926,15
L5~Sp09D03,Os9,4.558404558404558e-4,8
L6~Sp09D04,Os9,0.001458530432040366,37
WM.uf~Sp09D07,Os9,0.014739041962272452,268
WM~Sp09D06,Os9,0.0036583337952441662,66
